g.name	raw.score	z.score	p.value	q.value
AJUBA	11.926119	7.270805	0.000000	0.000000
DTD2	11.362524	6.816273	0.000000	0.000000
AL139353.1	11.120429	6.621027	0.000000	0.000001
KIAA0391	10.703261	6.284586	0.000000	0.000004
SRP54	10.425553	6.060618	0.000000	0.000014
C14orf119	10.263791	5.930159	0.000000	0.000024
HECTD1	10.257862	5.925378	0.000000	0.000024
DHRS1	9.856828	5.601949	0.000000	0.000135
BCL2L2	9.807854	5.562452	0.000000	0.000144
NOP9	9.797911	5.554433	0.000000	0.000144
RPN2	9.725063	5.495682	0.000000	0.000183
TINF2	9.674402	5.454825	0.000000	0.000207
LTB4R2	9.652364	5.437051	0.000000	0.000207
HOMEZ	9.646848	5.432603	0.000000	0.000207
PCK2	9.550812	5.355151	0.000000	0.000294
TM9SF1	9.511133	5.323150	0.000000	0.000329
PPP1R3E	9.309926	5.160879	0.000001	0.000727
BCL2L2-PABPN1	9.296835	5.150322	0.000001	0.000727
IPO4	9.217106	5.086021	0.000001	0.000957
MELTF	9.203361	5.074936	0.000001	0.000957
STRN3	9.194469	5.067765	0.000001	0.000957
AL136295.4	9.181338	5.057175	0.000001	0.000966
CBLN3	9.158184	5.038502	0.000001	0.001017
DHRS2	9.145920	5.028611	0.000001	0.001027
THTPA	9.045786	4.947854	0.000002	0.001477
PCIF1	9.034604	4.938836	0.000002	0.001487
NEDD8-MDP1	9.021948	4.928629	0.000002	0.001508
ABHD4	8.965667	4.883239	0.000003	0.001819
AP4S1	8.894593	4.825919	0.000003	0.002253
KHNYN	8.894027	4.825462	0.000004	0.002253
G3BP1	8.872548	4.808140	0.000004	0.002372
NBPF1	8.857940	4.796359	0.000004	0.002434
C6orf47	8.849910	4.789883	0.000004	0.002437
RAB40C	8.840449	4.782252	0.000004	0.002456
PRKAR1A	8.760660	4.717904	0.000006	0.003187
APOM	8.755079	4.713403	0.000006	0.003187
GMPR2	8.750850	4.709992	0.000006	0.003187
AP1G2	8.728470	4.691943	0.000007	0.003380
NEDD8	8.719216	4.684479	0.000007	0.003413
DAD1	8.711158	4.677981	0.000007	0.003433
LMLN2	8.665157	4.640882	0.000008	0.003983
FBXO33	8.657711	4.634876	0.000009	0.004000
ZFHX2	8.624941	4.608448	0.000010	0.004417
ARL6IP6	8.613154	4.598942	0.000010	0.004513
EMC9	8.599607	4.588016	0.000011	0.004642
SLC22A7	8.588145	4.578772	0.000011	0.004739
AHCY	8.546126	4.544885	0.000013	0.005322
PNN	8.545303	4.544221	0.000013	0.005322
AL096870.1	8.525400	4.528169	0.000014	0.005610
TOR1AIP1	8.498066	4.506125	0.000016	0.006075
ACIN1	8.487329	4.497465	0.000016	0.006195
DPM1	8.475094	4.487598	0.000017	0.006354
RNF31	8.465838	4.480134	0.000017	0.006382
AL136295.5	8.463639	4.478360	0.000018	0.006382
IRF2BP1	8.433466	4.454026	0.000020	0.006906
LTB4R	8.431823	4.452701	0.000020	0.006906
TSSK4	8.411239	4.436100	0.000021	0.007236
CIDEB	8.409139	4.434407	0.000021	0.007236
PPM1B	8.386684	4.416297	0.000023	0.007710
HEXIM2	8.379743	4.410699	0.000024	0.007773
IMP4	8.310171	4.354590	0.000030	0.009753
SEC23A	8.305748	4.351023	0.000031	0.009753
PSMB5	8.299262	4.345792	0.000032	0.009753
ZNFX1	8.297476	4.344352	0.000032	0.009753
