g.name	raw.score	z.score	p.value	q.value
DUSP5	10.760000	28.704384	0.000000	0.000000
MAP2K3	10.462222	27.889831	0.000000	0.000000
HEXIM1	9.766611	25.987031	0.000000	0.000000
TRPV2	7.305278	19.254210	0.000000	0.000000
MYEOV	6.904333	18.157452	0.000000	0.000000
VGF	6.771722	17.794703	0.000000	0.000000
TMC1	6.710889	17.628297	0.000000	0.000000
ZNF683	6.495833	17.040026	0.000000	0.000000
FSCN1	6.357278	16.661016	0.000000	0.000000
TNFRSF1A	6.153333	16.103139	0.000000	0.000000
CAV1	5.803944	15.147408	0.000000	0.000000
AP1AR	5.675722	14.796664	0.000000	0.000000
PPM1A	5.645333	14.713538	0.000000	0.000000
C6orf47	5.502833	14.323738	0.000000	0.000000
DNAJC7	5.357333	13.925732	0.000000	0.000000
BTBD19	5.326056	13.840173	0.000000	0.000000
KCNN4	4.894611	12.659985	0.000000	0.000000
MYL12A	4.795778	12.389632	0.000000	0.000000
TNFRSF12A	4.439000	11.413689	0.000000	0.000000
MXI1	4.409222	11.332234	0.000000	0.000000
LEPROT	4.349056	11.167652	0.000000	0.000000
ADM	4.314500	11.073127	0.000000	0.000000
TTF1	4.305611	11.048812	0.000000	0.000000
SFRP2	4.227833	10.836056	0.000000	0.000000
LEPR	4.172000	10.683328	0.000000	0.000000
AKAP4	4.079222	10.429540	0.000000	0.000000
AC092143.1	4.076056	10.420878	0.000000	0.000000
DOCK5	3.921389	9.997797	0.000000	0.000000
TMEM219	3.910278	9.967403	0.000000	0.000000
SAMD4A	3.586778	9.082489	0.000000	0.000000
PINLYP	3.539833	8.954076	0.000000	0.000000
HMOX2	3.533167	8.935840	0.000000	0.000000
SERPINH1	3.439278	8.679013	0.000000	0.000000
RRP8	3.379000	8.514126	0.000000	0.000000
ACSL3	3.356389	8.452275	0.000000	0.000000
PEAR1	3.352111	8.440574	0.000000	0.000000
DNAJC9	3.346500	8.425225	0.000000	0.000000
ITGBL1	3.334222	8.391640	0.000000	0.000000
YME1L1	3.287722	8.264442	0.000000	0.000000
ARID5B	3.271611	8.220371	0.000000	0.000000
ENAM	3.244500	8.146210	0.000000	0.000000
RTN4	3.115667	7.793795	0.000000	0.000000
ABCA9	3.093500	7.733159	0.000000	0.000000
NXPE1	3.045722	7.602466	0.000000	0.000000
ORC2	3.031278	7.562954	0.000000	0.000000
SRF	3.024000	7.543047	0.000000	0.000000
SLC1A7	3.018944	7.529217	0.000000	0.000000
GALNT12	2.985222	7.436972	0.000000	0.000000
ILK	2.967722	7.389102	0.000000	0.000000
GRB2	2.830444	7.013588	0.000000	0.000000
IMPDH2	2.809167	6.955384	0.000000	0.000000
LRRC17	2.795667	6.918455	0.000000	0.000000
IRF2BP2	2.775111	6.862227	0.000000	0.000000
IQUB	2.774111	6.859491	0.000000	0.000000
GIP	2.767556	6.841559	0.000000	0.000000
TMOD1	2.766500	6.838672	0.000000	0.000000
PRR14L	2.743222	6.774997	0.000000	0.000000
MASTL	2.721667	6.716033	0.000000	0.000000
MRC2	2.701667	6.661324	0.000000	0.000000
GAS2L3	2.683056	6.610415	0.000000	0.000000
SENP2	2.676333	6.592026	0.000000	0.000000
SLC44A4	2.617833	6.432003	0.000000	0.000000
SMS	2.613889	6.421214	0.000000	0.000000
NOCT	2.610667	6.412399	0.000000	0.000000
HEXB	2.556056	6.263014	0.000000	0.000000
NYAP1	2.531722	6.196452	0.000000	0.000001
ATP8B1	2.518833	6.161195	0.000000	0.000001
ANKRD52	2.486556	6.072901	0.000000	0.000001
MTDH	2.438889	5.942512	0.000000	0.000002
SLC9A5	2.432944	5.926252	0.000000	0.000003
TDG	2.424889	5.904216	0.000000	0.000003
RUFY1	2.376000	5.770484	0.000000	0.000006
MYCBPAP	2.375056	5.767900	0.000000	0.000006
DYRK1A	2.373500	5.763645	0.000000	0.000006
LRRC49	2.340444	5.673224	0.000000	0.000011
PSMC2	2.293611	5.545114	0.000000	0.000022
ACTRT3	2.232333	5.377493	0.000000	0.000054
MAST1	2.213556	5.326127	0.000000	0.000070
SOSTDC1	2.209444	5.314881	0.000000	0.000073
MAP3K14	2.191278	5.265188	0.000000	0.000094
PSTPIP1	2.174833	5.220205	0.000000	0.000117
CTGF	2.166667	5.197866	0.000001	0.000130
SNX33	2.165000	5.193307	0.000001	0.000132
AC023055.1	2.163167	5.188292	0.000001	0.000134
FLNC	2.161944	5.184948	0.000001	0.000134
NRP2	2.158444	5.175374	0.000001	0.000140
GUCA1B	2.155111	5.166256	0.000001	0.000145
MAP2K4	2.153167	5.160937	0.000001	0.000147
ISCU	2.152222	5.158354	0.000001	0.000147
HEATR6	2.139056	5.122337	0.000001	0.000175
IL13RA1	2.134444	5.109724	0.000001	0.000185
L34079.1	2.131278	5.101062	0.000001	0.000191
GPR68	2.127333	5.090272	0.000001	0.000200
SLC35G6	2.123444	5.079634	0.000001	0.000209
IL13RA2	2.120611	5.071884	0.000001	0.000215
SAMD14	2.101944	5.020822	0.000001	0.000275
PDLIM4	2.087611	4.981614	0.000002	0.000331
NAA25	2.072667	4.940735	0.000002	0.000402
WFS1	2.065444	4.920979	0.000002	0.000438
NFE2L3	2.031944	4.829342	0.000003	0.000674
TOP1	2.031667	4.828582	0.000003	0.000674
PLGRKT	2.022444	4.803355	0.000004	0.000754
UQCRC1	2.021278	4.800164	0.000004	0.000758
CYP2E1	2.014833	4.782535	0.000004	0.000817
RECK	1.994000	4.725547	0.000006	0.001062
HIST1H1A	1.983333	4.696369	0.000006	0.001207
BRAT1	1.977000	4.679044	0.000007	0.001297
SHC4	1.962333	4.638925	0.000008	0.001538
GSE1	1.962167	4.638469	0.000008	0.001538
UTP11	1.959722	4.631782	0.000009	0.001572
DNAJB14	1.932722	4.557925	0.000012	0.002188
ERBB3	1.921444	4.527076	0.000014	0.002494
CR2	1.920556	4.524644	0.000014	0.002500
HBP1	1.909833	4.495314	0.000016	0.002829
KRTAP4-2	1.899333	4.466592	0.000019	0.003189
ELP3	1.890056	4.441213	0.000021	0.003541
DGKG	1.878833	4.410516	0.000024	0.004021
IL4	1.874500	4.398662	0.000025	0.004201
PRKAR2B	1.873667	4.396383	0.000025	0.004208
ARHGEF12	1.861889	4.364165	0.000029	0.004806
AC008403.1	1.858778	4.355655	0.000030	0.004947
PRRT3	1.850222	4.332252	0.000034	0.005432
ST3GAL1	1.837389	4.297147	0.000039	0.006269
C18orf32	1.825000	4.263258	0.000045	0.007190
GXYLT2	1.809444	4.220707	0.000054	0.008487
PDE6G	1.809333	4.220403	0.000054	0.008487
DNER	1.804889	4.208245	0.000057	0.008864
SP140L	1.802389	4.201407	0.000059	0.009051
C2CD2	1.800944	4.197456	0.000060	0.009132
TMSB4X	1.792389	4.174052	0.000066	0.009995
