g.name	raw.score	z.score	p.value	q.value
OCEL1	36.540361	50.382739	0.000000	0.000000
EFNA2	32.159401	44.183511	0.000000	0.000000
LRRC25	24.770658	33.728154	0.000000	0.000000
C19orf24	16.207243	21.610588	0.000000	0.000000
ZBTB42	14.858837	19.702542	0.000000	0.000000
FUT6	13.909819	18.359646	0.000000	0.000000
UBA52	11.720270	15.261348	0.000000	0.000000
FIGNL2	10.505488	13.542384	0.000000	0.000000
PEAK3	8.340035	10.478185	0.000000	0.000000
CDC42EP2	7.617532	9.455816	0.000000	0.000000
FSCN1	7.252861	8.939792	0.000000	0.000000
USE1	7.092178	8.712419	0.000000	0.000000
PLIN5	6.964522	8.531781	0.000000	0.000000
IFI30	6.943936	8.502650	0.000000	0.000000
ACER1	6.845059	8.362737	0.000000	0.000000
TNRC18	6.693020	8.147595	0.000000	0.000000
RPS16	6.309943	7.605526	0.000000	0.000000
ZNF592	5.829136	6.925166	0.000000	0.000000
NACA	5.670312	6.700423	0.000000	0.000000
POP4	5.369911	6.275344	0.000000	0.000001
PARD6B	5.049792	5.822364	0.000000	0.000016
ATP5MGL	5.010879	5.767300	0.000000	0.000022
ZFP36	5.000230	5.752232	0.000000	0.000023
EGLN1	4.880988	5.583499	0.000000	0.000056
SHKBP1	4.835064	5.518516	0.000000	0.000078
AC009133.6	4.805891	5.477234	0.000000	0.000094
RANBP6	4.780215	5.440902	0.000000	0.000110
AC008982.1	4.755074	5.405327	0.000000	0.000128
COLGALT1	4.732725	5.373702	0.000000	0.000147
AC120114.4	4.714728	5.348235	0.000000	0.000163
TMEM250	4.403903	4.908406	0.000002	0.001504
LGALS7	4.354708	4.838793	0.000003	0.002046
EXOC3L1	4.282639	4.736812	0.000005	0.003233
SUPT5H	4.266913	4.714560	0.000006	0.003486
WDR88	4.261896	4.707460	0.000006	0.003502
CEBPA	4.239649	4.675979	0.000007	0.003946
SELENOV	4.190980	4.607112	0.000010	0.005286
TCTEX1D4	4.172886	4.581508	0.000011	0.005642
TYROBP	4.172851	4.581459	0.000011	0.005642
TMEM259	4.146255	4.543824	0.000013	0.006531
STAT3	4.116040	4.501068	0.000016	0.007731
ACTN4	4.095173	4.471541	0.000018	0.008616
SYCN	4.085550	4.457923	0.000019	0.008943
ZNF771	4.079842	4.449846	0.000020	0.009060
TMEM147	4.061696	4.424169	0.000022	0.009928
