g.name	raw.score	z.score	p.value	q.value
PTPN6	16.690150	6.613131	0.000000	0.000003
ZFP36	15.950563	6.238859	0.000000	0.000014
DUSP22	15.713292	6.118786	0.000000	0.000020
PLEKHG2	15.145374	5.831389	0.000000	0.000082
TMC6	14.968008	5.741631	0.000000	0.000110
SCIMP	14.829936	5.671759	0.000000	0.000137
JUNB	14.637055	5.574151	0.000000	0.000203
RFTN1	14.552126	5.531172	0.000000	0.000226
CIRBP	14.256357	5.381497	0.000000	0.000454
PROB1	14.139047	5.322131	0.000000	0.000531
BHLHE40	14.124668	5.314854	0.000000	0.000531
TSPOAP1	14.068245	5.286301	0.000000	0.000566
NFKBIE	13.957418	5.230216	0.000000	0.000702
UBC	13.871637	5.186807	0.000001	0.000817
IRF2BP2	13.771415	5.136089	0.000001	0.000991
IZUMO4	13.725937	5.113074	0.000001	0.001045
C12orf57	13.652728	5.076027	0.000001	0.001188
HIST1H3D	13.586611	5.042568	0.000001	0.001329
TMC8	13.454460	4.975692	0.000002	0.001760
ODF3B	13.209418	4.851687	0.000003	0.003038
HDLBP	13.194585	4.844181	0.000003	0.003038
RHOH	13.092900	4.792722	0.000004	0.003715
MFSD11	13.026689	4.759216	0.000005	0.004171
TNFSF9	12.948828	4.719814	0.000006	0.004818
LAPTM5	12.821650	4.655455	0.000008	0.006254
CSK	12.795372	4.642157	0.000008	0.006396
ZFP36L1	12.717735	4.602868	0.000010	0.007386
ZFP91-CNTF	12.700316	4.594053	0.000010	0.007417
SLC35B2	12.616557	4.551666	0.000013	0.008693
MZB1	12.562231	4.524174	0.000014	0.009394
CHI3L2	12.553700	4.519857	0.000015	0.009394
ZFP91	12.526310	4.505996	0.000016	0.009688
