g.name	raw.score	z.score	p.value	q.value
CLU	2.676236	14.701231	0.000000	0.000000
ZFP36	2.525125	13.786832	0.000000	0.000000
MSANTD3	2.480718	13.518115	0.000000	0.000000
ACBD6	2.335912	12.641872	0.000000	0.000000
DOT1L	2.280556	12.306900	0.000000	0.000000
DKK1	2.245259	12.093316	0.000000	0.000000
ADM	2.116171	11.312183	0.000000	0.000000
KDM6B	2.102356	11.228587	0.000000	0.000000
ZC3H12A	2.060519	10.975418	0.000000	0.000000
CD82	1.983616	10.510066	0.000000	0.000000
TNFRSF12A	1.883431	9.903828	0.000000	0.000000
RAD1	1.833880	9.603987	0.000000	0.000000
CLDN6	1.808884	9.452736	0.000000	0.000000
JUNB	1.791037	9.344739	0.000000	0.000000
PHLDB1	1.768356	9.207495	0.000000	0.000000
ELFN2	1.767838	9.204358	0.000000	0.000000
SLC25A11	1.764560	9.184523	0.000000	0.000000
FBXL20	1.757611	9.142473	0.000000	0.000000
GIP	1.718458	8.905553	0.000000	0.000000
GYPC	1.709403	8.850756	0.000000	0.000000
ENC1	1.670218	8.613640	0.000000	0.000000
BHLHE40	1.669579	8.609774	0.000000	0.000000
MELTF	1.662037	8.564138	0.000000	0.000000
HSPA5	1.646389	8.469448	0.000000	0.000000
MAFK	1.609009	8.243258	0.000000	0.000000
GPRIN1	1.590440	8.130891	0.000000	0.000000
PARP10	1.576157	8.044466	0.000000	0.000000
MTMR11	1.570977	8.013117	0.000000	0.000000
EGR1	1.559491	7.943613	0.000000	0.000000
PITPNM1	1.556157	7.923442	0.000000	0.000000
TBC1D22A	1.550773	7.890861	0.000000	0.000000
MEF2D	1.547690	7.872203	0.000000	0.000000
MMP19	1.512458	7.659012	0.000000	0.000000
ST6GALNAC4	1.511352	7.652316	0.000000	0.000000
ZBTB38	1.463060	7.360095	0.000000	0.000000
PANX1	1.454319	7.307203	0.000000	0.000000
FOXK1	1.446824	7.261847	0.000000	0.000000
HJV	1.427731	7.146315	0.000000	0.000000
HOXA4	1.409009	7.033023	0.000000	0.000000
CSDC2	1.397963	6.966180	0.000000	0.000000
MAPRE2	1.394685	6.946346	0.000000	0.000000
MFSD11	1.392736	6.934552	0.000000	0.000000
TRIM25	1.370287	6.798709	0.000000	0.000000
BCL10	1.359565	6.733827	0.000000	0.000000
CNTF	1.357093	6.718867	0.000000	0.000000
TGFBI	1.351259	6.683568	0.000000	0.000000
DDAH1	1.335769	6.589831	0.000000	0.000000
AP2M1	1.334708	6.583416	0.000000	0.000000
BNIP3	1.327667	6.540805	0.000000	0.000000
MAP3K14	1.324366	6.520831	0.000000	0.000000
NEK6	1.323097	6.513155	0.000000	0.000000
SEMA4B	1.318190	6.483459	0.000000	0.000000
GABARAP	1.317750	6.480798	0.000000	0.000000
RANGAP1	1.317463	6.479061	0.000000	0.000000
HMGA1	1.302611	6.389190	0.000000	0.000000
ENO3	1.301537	6.382691	0.000000	0.000000
MACC1	1.299338	6.369384	0.000000	0.000000
FBXO24	1.299157	6.368291	0.000000	0.000000
MMRN2	1.295787	6.347896	0.000000	0.000000
ATF3	1.295454	6.345879	0.000000	0.000000
UBC	1.286898	6.294108	0.000000	0.000000
MTHFR	1.284009	6.276627	0.000000	0.000000
ARID3B	1.283079	6.270996	0.000000	0.000000
DCUN1D2	1.282944	6.270184	0.000000	0.000000
MAP2K3	1.281134	6.259230	0.000000	0.000000
TMCO3	1.272046	6.204237	0.000000	0.000001
NUMB	1.266755	6.172216	0.000000	0.000001
LRP4	1.263972	6.155379	0.000000	0.000001
PJA2	1.250875	6.076126	0.000000	0.000001
TRIM55	1.248556	6.062091	0.000000	0.000001
ITPRIPL2	1.248037	6.058953	0.000000	0.000001
ECSIT	1.241005	6.016399	0.000000	0.000002
