g.name	raw.score	z.score	p.value	q.value
RBM39	2.844745	18.022360	0.000000	0.000000
IREB2	2.644281	16.639194	0.000000	0.000000
ZNF341	2.585780	16.235548	0.000000	0.000000
COASY	2.408518	15.012472	0.000000	0.000000
CDK12	2.154795	13.261824	0.000000	0.000000
THTPA	1.935753	11.750475	0.000000	0.000000
DCAF11	1.752791	10.488065	0.000000	0.000000
SLC39A7	1.686906	10.033477	0.000000	0.000000
RNF167	1.665979	9.889084	0.000000	0.000000
ATP5PB	1.648747	9.770185	0.000000	0.000000
RPS19	1.627894	9.626303	0.000000	0.000000
CYB5D1	1.612138	9.517588	0.000000	0.000000
TTC32	1.601493	9.444136	0.000000	0.000000
ZFHX2	1.591174	9.372937	0.000000	0.000000
ERCC6L2	1.579206	9.290365	0.000000	0.000000
TMEM18	1.551741	9.100856	0.000000	0.000000
GORASP2	1.547116	9.068948	0.000000	0.000000
PNN	1.541913	9.033050	0.000000	0.000000
RBM15	1.520813	8.887459	0.000000	0.000000
RPS11	1.510922	8.819215	0.000000	0.000000
ASXL1	1.502354	8.760095	0.000000	0.000000
PHF12	1.498293	8.732076	0.000000	0.000000
MAPK14	1.478764	8.597329	0.000000	0.000000
LPXN	1.470240	8.538513	0.000000	0.000000
SNX5	1.459123	8.461810	0.000000	0.000000
NANP	1.450721	8.403836	0.000000	0.000000
MGME1	1.449827	8.397667	0.000000	0.000000
SLC25A11	1.340169	7.641049	0.000000	0.000000
COX11	1.321558	7.512637	0.000000	0.000000
STXBP4	1.292290	7.310695	0.000000	0.000000
MED1	1.284641	7.257915	0.000000	0.000000
FASTKD2	1.269203	7.151399	0.000000	0.000000
PPP4R3B	1.253537	7.043307	0.000000	0.000000
CDC5L	1.251139	7.026759	0.000000	0.000000
MAK16	1.249835	7.017761	0.000000	0.000000
PPIL3	1.247662	7.002769	0.000000	0.000000
DHRS2	1.239722	6.947983	0.000000	0.000000
LSM3	1.239012	6.943085	0.000000	0.000000
NRL	1.237926	6.935588	0.000000	0.000000
NIF3L1	1.227372	6.862772	0.000000	0.000000
RPL10A	1.220560	6.815767	0.000000	0.000000
BANP	1.219724	6.809999	0.000000	0.000000
MBTPS1	1.184698	6.568325	0.000000	0.000000
RXRB	1.164695	6.430313	0.000000	0.000000
ARPC4	1.138365	6.248637	0.000000	0.000001
MDH1B	1.136615	6.236564	0.000000	0.000001
TUBGCP5	1.131715	6.202754	0.000000	0.000001
TRAPPC6B	1.123801	6.148152	0.000000	0.000001
GRK4	1.120419	6.124812	0.000000	0.000001
DDX20	1.119282	6.116970	0.000000	0.000001
EXOC8	1.100793	5.989396	0.000000	0.000003
TMEM79	1.094896	5.948709	0.000000	0.000003
CLPTM1	1.090825	5.920621	0.000000	0.000004
MDH2	1.089105	5.908750	0.000000	0.000004
ZNF345	1.076100	5.819018	0.000000	0.000006
STYXL1	1.073045	5.797941	0.000000	0.000007
VMP1	1.068415	5.765992	0.000000	0.000008
SMG5	1.066099	5.750016	0.000000	0.000009
NOP14	1.065358	5.744900	0.000000	0.000009
SPAG16	1.063879	5.734697	0.000000	0.000010
ANKFY1	1.060137	5.708879	0.000000	0.000011
NSUN3	1.056464	5.683535	0.000000	0.000012
QRICH1	1.055453	5.676557	0.000000	0.000013
DENR	1.054664	5.671113	0.000000	0.000013
RPL23A	1.051516	5.649398	0.000000	0.000014
RPL27A	1.050292	5.640950	0.000000	0.000015
MOB4	1.045924	5.610812	0.000000	0.000017
