g.name	raw.score	z.score	p.value	q.value
NQO1	2.170234	9.156535	0.000000	0.000000
WDR81	2.094417	8.761512	0.000000	0.000000
RBM39	1.912626	7.814354	0.000000	0.000000
IFRD1	1.818708	7.325024	0.000000	0.000000
IL1R1	1.792869	7.190396	0.000000	0.000000
HLA-DMA	1.768032	7.060995	0.000000	0.000000
SLC26A1	1.758418	7.010900	0.000000	0.000000
AL132780.3	1.749028	6.961981	0.000000	0.000000
AJUBA	1.743099	6.931085	0.000000	0.000000
GPX2	1.731610	6.871226	0.000000	0.000000
SRXN1	1.724830	6.835904	0.000000	0.000000
TRIB3	1.709458	6.755814	0.000000	0.000000
GCLC	1.697989	6.696057	0.000000	0.000000
SRSF2	1.695191	6.681477	0.000000	0.000000
ZMYND8	1.685388	6.630404	0.000000	0.000000
GPI	1.659461	6.495320	0.000000	0.000000
HMOX1	1.634548	6.365519	0.000000	0.000001
ID1	1.614078	6.258865	0.000000	0.000001
BRD2	1.608650	6.230587	0.000000	0.000001
UBC	1.581601	6.089655	0.000000	0.000003
ADRM1	1.558309	5.968301	0.000000	0.000007
PSMB5	1.519256	5.764830	0.000000	0.000021
EIF6	1.509189	5.712375	0.000000	0.000027
OSER1	1.480615	5.563501	0.000000	0.000060
TTC6	1.479371	5.557021	0.000000	0.000060
NFKBIA	1.452925	5.419233	0.000000	0.000122
ABHD4	1.452010	5.414464	0.000000	0.000122
FOXA1	1.441440	5.359392	0.000000	0.000159
GCLM	1.434416	5.322794	0.000000	0.000187
EGLN3	1.427590	5.287230	0.000000	0.000218
FTH1	1.417669	5.235543	0.000000	0.000277
SPTSSA	1.414843	5.220819	0.000000	0.000290
DCAF11	1.413756	5.215157	0.000000	0.000290
FECH	1.404904	5.169033	0.000001	0.000358
PNN	1.401942	5.153602	0.000001	0.000377
CLTC	1.378407	5.030979	0.000001	0.000681
CTGF	1.377647	5.027018	0.000001	0.000681
RAB5IF	1.356361	4.916118	0.000002	0.001151
DHRS1	1.343865	4.851011	0.000003	0.001539
NOP9	1.342984	4.846420	0.000003	0.001539
LTB4R2	1.336395	4.812092	0.000004	0.001773
NRL	1.332580	4.792212	0.000004	0.001906
NFS1	1.323307	4.743900	0.000005	0.002295
TINF2	1.323258	4.743644	0.000005	0.002295
ROMO1	1.310605	4.677718	0.000007	0.003063
ZNFX1	1.305170	4.649400	0.000008	0.003421
TM4SF1	1.300377	4.624429	0.000009	0.003761
PPP1R3E	1.297706	4.610514	0.000010	0.003851
FTL	1.297698	4.610471	0.000010	0.003851
BCL2L1	1.293962	4.591009	0.000011	0.004129
THTPA	1.287001	4.554738	0.000012	0.004694
ARHGAP5	1.286968	4.554569	0.000012	0.004694
IPO4	1.285461	4.546713	0.000013	0.004775
ZFHX2	1.283948	4.538831	0.000013	0.004859
DAD1	1.279970	4.518104	0.000015	0.005242
SNX5	1.277646	4.505996	0.000016	0.005439
MGME1	1.274759	4.490958	0.000017	0.005659
CBLN3	1.274485	4.489527	0.000017	0.005659
SGK2	1.272791	4.480703	0.000017	0.005789
OSGIN1	1.270926	4.470986	0.000018	0.005947
MFSD11	1.259450	4.411195	0.000024	0.007631
BCL2L2-PABPN1	1.257890	4.403068	0.000025	0.007784
PROC	1.253427	4.379814	0.000027	0.008486
C14orf119	1.246543	4.343944	0.000032	0.009770
