g.name	raw.score	z.score	p.value	q.value
SAMD8	11.805108	34.493520	0.000000	0.000000
RRP1	10.098703	29.372811	0.000000	0.000000
MLLT6	8.666185	25.074000	0.000000	0.000000
SINHCAF	7.543317	21.704416	0.000000	0.000000
CCDC116	7.272402	20.891433	0.000000	0.000000
LATS1	7.254326	20.837187	0.000000	0.000000
GLIS2	6.442403	18.400709	0.000000	0.000000
AC007731.5	5.701334	16.176853	0.000000	0.000000
WSCD2	5.529895	15.662385	0.000000	0.000000
HIST1H1A	5.424504	15.346120	0.000000	0.000000
FSCN3	4.793870	13.453667	0.000000	0.000000
EFNA1	4.654708	13.036058	0.000000	0.000000
KCNK5	4.567586	12.774614	0.000000	0.000000
ATP2A3	4.519103	12.629124	0.000000	0.000000
PPP1R15A	3.967279	10.973170	0.000000	0.000000
APOC1	3.927094	10.852578	0.000000	0.000000
NRDC	3.907087	10.792540	0.000000	0.000000
TNRC6B	3.890617	10.743116	0.000000	0.000000
DPM3	3.865169	10.666749	0.000000	0.000000
TAS1R2	3.857968	10.645141	0.000000	0.000000
LRFN1	3.843258	10.600998	0.000000	0.000000
LRRN2	3.841881	10.596864	0.000000	0.000000
SDF2L1	3.727857	10.254694	0.000000	0.000000
CSTB	3.607195	9.892602	0.000000	0.000000
RPL35A	3.470781	9.483242	0.000000	0.000000
QRFP	3.416346	9.319888	0.000000	0.000000
OXCT2	3.409476	9.299273	0.000000	0.000000
RAB36	3.400872	9.273453	0.000000	0.000000
KLHL12	3.217247	8.722416	0.000000	0.000000
FBXO44	3.103980	8.382517	0.000000	0.000000
RSPH14	3.085635	8.327464	0.000000	0.000000
ICAM5	3.076356	8.299620	0.000000	0.000000
MED1	3.001265	8.074282	0.000000	0.000000
EPB41	2.991345	8.044513	0.000000	0.000000
UAP1L1	2.986392	8.029648	0.000000	0.000000
ARVCF	2.965181	7.965998	0.000000	0.000000
SEPT5	2.874872	7.694990	0.000000	0.000000
VKORC1	2.783511	7.420830	0.000000	0.000000
C12orf73	2.773585	7.391041	0.000000	0.000000
CLIC1	2.766322	7.369246	0.000000	0.000000
HIST1H3J	2.680504	7.111716	0.000000	0.000000
MSH5	2.617124	6.921522	0.000000	0.000000
BCL7B	2.598114	6.864476	0.000000	0.000000
CDT1	2.591399	6.844324	0.000000	0.000000
GAS8	2.549016	6.717139	0.000000	0.000000
SLC34A3	2.500610	6.571878	0.000000	0.000000
FBXO9	2.474804	6.494437	0.000000	0.000000
HIST1H2AM	2.459286	6.447871	0.000000	0.000000
FAM78A	2.442283	6.396846	0.000000	0.000000
ASPDH	2.406835	6.290470	0.000000	0.000000
UBXN6	2.350623	6.121787	0.000000	0.000001
DDAH2	2.347439	6.112230	0.000000	0.000001
TDG	2.303811	5.981307	0.000000	0.000003
LTN1	2.255129	5.835221	0.000000	0.000006
PUS7	2.237276	5.781647	0.000000	0.000008
IQCE	2.214221	5.712460	0.000000	0.000012
MSH5-SAPCD1	2.175437	5.596074	0.000000	0.000022
ASIC3	2.156416	5.538994	0.000000	0.000029
MRGBP	2.156288	5.538610	0.000000	0.000029
NBEAL2	2.146620	5.509598	0.000000	0.000034
CRB3	2.144264	5.502527	0.000000	0.000035
PSMB9	2.136147	5.478169	0.000000	0.000039
AIF1L	2.131608	5.464548	0.000000	0.000041
ATP6V1E1	2.128839	5.456239	0.000000	0.000043
ZNF280B	2.118443	5.425041	0.000000	0.000050
THEMIS2	2.092399	5.346888	0.000000	0.000075
SHMT2	2.073698	5.290768	0.000000	0.000099
BCL2L13	2.060326	5.250642	0.000000	0.000118
NUP43	2.060178	5.250197	0.000000	0.000118
ATP5MC3	2.059982	5.249608	0.000000	0.000118
CHAD	2.057640	5.242579	0.000000	0.000120
SGMS1	2.041051	5.192797	0.000001	0.000154
TMC6	2.035900	5.177340	0.000001	0.000165
WDR46	2.029724	5.158806	0.000001	0.000179
UBTD1	2.027072	5.150849	0.000001	0.000184
NEMF	2.023037	5.138742	0.000001	0.000193
YDJC	2.022310	5.136561	0.000001	0.000193
COPZ2	2.002404	5.076823	0.000001	0.000258
JUND	1.998663	5.065597	0.000001	0.000270
UCN2	1.995707	5.056727	0.000001	0.000278
BHLHE40	1.955211	4.935203	0.000002	0.000505
BCR	1.952134	4.925971	0.000002	0.000522
EPS8L3	1.940182	4.890103	0.000003	0.000615
HSPG2	1.929793	4.858928	0.000003	0.000707
NUP214	1.913750	4.810783	0.000004	0.000882
FIBCD1	1.904835	4.784032	0.000004	0.000991
FUT11	1.901414	4.773766	0.000004	0.001029
ITGA4	1.898188	4.764085	0.000005	0.001065
MUC12	1.878579	4.705239	0.000006	0.001391
MTHFR	1.875149	4.694947	0.000007	0.001444
RAD1	1.874278	4.692334	0.000007	0.001446
MTSS1L	1.871194	4.683078	0.000007	0.001494
TMEM107	1.850087	4.619739	0.000009	0.001984
ZYG11B	1.848546	4.615115	0.000009	0.002005
GNAZ	1.847320	4.611436	0.000010	0.002018
OST4	1.845875	4.607101	0.000010	0.002037
SNAP29	1.836434	4.578769	0.000011	0.002296
EPHB4	1.833106	4.568780	0.000012	0.002379
HIST1H3E	1.823994	4.541437	0.000013	0.002668
LY6G5C	1.818177	4.523983	0.000014	0.002858
LRRC74B	1.816939	4.520268	0.000015	0.002878
RASSF1	1.814384	4.512599	0.000015	0.002950
C21orf58	1.812419	4.506703	0.000016	0.003000
TBCCD1	1.808866	4.496040	0.000016	0.003115
HIST1H3C	1.808230	4.494133	0.000016	0.003115
UBC	1.804390	4.482608	0.000017	0.003249
CDC37	1.788156	4.433891	0.000021	0.003999
C14orf93	1.786806	4.429840	0.000022	0.004034
TRANK1	1.785599	4.426219	0.000022	0.004062
VAMP2	1.772213	4.386050	0.000027	0.004804
NDEL1	1.756959	4.340274	0.000032	0.005813
PPIE	1.753710	4.330525	0.000034	0.006010
CMBL	1.751551	4.324044	0.000035	0.006126
AIFM3	1.745048	4.304529	0.000038	0.006606
RTL10	1.737634	4.282282	0.000042	0.007205
CAPG	1.736669	4.279386	0.000042	0.007232
QSER1	1.727457	4.251742	0.000047	0.008067
MAFG	1.723275	4.239193	0.000050	0.008434
ZFP36L1	1.722637	4.237277	0.000050	0.008434
HIST1H4F	1.714561	4.213042	0.000056	0.009265
TNNT1	1.710950	4.202208	0.000058	0.009617
MYL12A	1.709918	4.199109	0.000059	0.009664
