g.name	raw.score	z.score	p.value	q.value
CCDC116	8.209259	27.394860	0.000000	0.000000
RSPH14	5.367722	17.449124	0.000000	0.000000
ERMN	5.022648	16.241322	0.000000	0.000000
RAB36	4.572685	14.666395	0.000000	0.000000
EPB41	3.781833	11.898314	0.000000	0.000000
ALAD	3.753759	11.800052	0.000000	0.000000
FAM78A	3.419148	10.628871	0.000000	0.000000
SDF2L1	3.391352	10.531580	0.000000	0.000000
FIBCD1	3.250611	10.038970	0.000000	0.000000
QRFP	3.200889	9.864936	0.000000	0.000000
YDJC	3.164796	9.738607	0.000000	0.000000
NUP214	3.142963	9.662188	0.000000	0.000000
CDC37	3.068796	9.402595	0.000000	0.000000
AIFM3	2.769037	8.353400	0.000000	0.000000
TLE6	2.737093	8.241591	0.000000	0.000000
LY6G5C	2.607907	7.789426	0.000000	0.000000
TMC6	2.563296	7.633282	0.000000	0.000000
RGL1	2.467815	7.299085	0.000000	0.000000
ZNF280A	2.467778	7.298955	0.000000	0.000000
NFIB	2.445352	7.220462	0.000000	0.000000
IGLL5	2.403463	7.073845	0.000000	0.000000
CEACAM16	2.389130	7.023677	0.000000	0.000000
LCK	2.360593	6.923794	0.000000	0.000000
ARVCF	2.325204	6.799928	0.000000	0.000000
PKM	2.288926	6.672951	0.000000	0.000000
DDAH2	2.239296	6.499241	0.000000	0.000000
SGMS1	2.225796	6.451990	0.000000	0.000000
RPP25	2.221019	6.435267	0.000000	0.000000
MAPK1	2.211167	6.400784	0.000000	0.000000
TMEM107	2.204407	6.377126	0.000000	0.000000
DIP2A	2.167333	6.247362	0.000000	0.000001
MYO18A	2.138556	6.146636	0.000000	0.000002
BCR	2.138537	6.146571	0.000000	0.000002
LRP12	2.098352	6.005918	0.000000	0.000003
AIF1L	2.085722	5.961713	0.000000	0.000004
CLIC1	2.085259	5.960092	0.000000	0.000004
CRB3	2.082648	5.950953	0.000000	0.000004
TUBB	2.071556	5.912128	0.000000	0.000005
NBEAL2	2.064204	5.886395	0.000000	0.000006
LAMB1	2.061741	5.877775	0.000000	0.000006
DAO	2.059722	5.870710	0.000000	0.000006
AC073111.3	2.055667	5.856515	0.000000	0.000007
SNAP29	2.048463	5.831301	0.000000	0.000008
HSPG2	2.031833	5.773095	0.000000	0.000010
PHF19	2.016352	5.718908	0.000000	0.000014
RHAG	2.007148	5.686694	0.000000	0.000016
TNNT1	2.001833	5.668091	0.000000	0.000018
MTHFR	1.983852	5.605154	0.000000	0.000025
MATN1	1.976870	5.580718	0.000000	0.000028
HIST1H2BK	1.964481	5.537355	0.000000	0.000035
TAL1	1.963241	5.533012	0.000000	0.000035
PIGV	1.960944	5.524975	0.000000	0.000036
MPC2	1.948148	5.480186	0.000000	0.000045
INMT-MINDY4	1.927389	5.407526	0.000000	0.000066
SLCO2B1	1.912241	5.354506	0.000000	0.000086
PPM1F	1.911056	5.350358	0.000000	0.000086
GNAZ	1.909185	5.343811	0.000000	0.000088
PSAP	1.903648	5.324431	0.000000	0.000096
SEPT5	1.886370	5.263956	0.000000	0.000130
LAMB3	1.871889	5.213269	0.000001	0.000166
ABCB10	1.868926	5.202899	0.000001	0.000173
AC021097.3	1.861278	5.176129	0.000001	0.000195
UNC5B	1.841685	5.107553	0.000001	0.000273
SEPT5-GP1BB	1.820074	5.031911	0.000001	0.000394
ANXA2R	1.809167	4.993734	0.000002	0.000470
C21orf58	1.808296	4.990687	0.000002	0.000470
AIDA	1.802778	4.971372	0.000002	0.000510
CAP1	1.789778	4.925870	0.000002	0.000629
MSH5	1.769278	4.854118	0.000003	0.000881
PPM1N	1.768463	4.851266	0.000003	0.000881
STPG1	1.759426	4.819635	0.000004	0.001012
AGAP3	1.756667	4.809977	0.000004	0.001045
AHNAK	1.753407	4.798569	0.000004	0.001089
COL16A1	1.739778	4.750864	0.000005	0.001345
SLC7A4	1.739093	4.748466	0.000005	0.001345
FAM155A	1.738352	4.745873	0.000005	0.001345
RASSF5	1.737019	4.741206	0.000005	0.001357
ABHD5	1.731019	4.720205	0.000006	0.001480
C14orf93	1.723148	4.692658	0.000007	0.001663
B3GALT4	1.719315	4.679241	0.000007	0.001749
C19orf81	1.717704	4.673602	0.000007	0.001773
HDDC3	1.716685	4.670037	0.000007	0.001781
SLC25A51	1.697778	4.603859	0.000010	0.002392
BORCS6	1.695278	4.595108	0.000010	0.002460
MYCL	1.686815	4.565487	0.000012	0.002785
EML2	1.684963	4.559005	0.000012	0.002835
TBCCD1	1.681870	4.548181	0.000013	0.002944
CSF3R	1.675944	4.527439	0.000014	0.003198
SELENON	1.672537	4.515513	0.000015	0.003337
LARGE2	1.669352	4.504364	0.000016	0.003470
FXYD1	1.668111	4.500022	0.000016	0.003500
CHST12	1.664759	4.488290	0.000017	0.003649
ADAMTS14	1.645167	4.419713	0.000023	0.004899
MSH5-SAPCD1	1.644333	4.416796	0.000023	0.004910
DGCR8	1.636741	4.390221	0.000026	0.005462
CNKSR1	1.630111	4.367017	0.000029	0.005983
TRAF5	1.626444	4.354183	0.000030	0.006262
C7orf43	1.618111	4.325015	0.000035	0.007034
THAP7	1.615315	4.315228	0.000036	0.007264
SERPINH1	1.612611	4.305765	0.000038	0.007491
NMB	1.611037	4.300255	0.000038	0.007581
CDT1	1.610500	4.298375	0.000039	0.007581
C3	1.603463	4.273745	0.000043	0.008343
HIST1H1A	1.601870	4.268171	0.000044	0.008462
MRNIP	1.598574	4.256633	0.000046	0.008804
SH3BGRL3	1.597556	4.253068	0.000047	0.008849
PI4KA	1.596963	4.250994	0.000048	0.008849
