g.name	raw.score	z.score	p.value	q.value
ERCC6L2	0.944483	14.180761	0.000000	0.000000
TTC32	0.816357	12.054733	0.000000	0.000000
ACADSB	0.804952	11.865498	0.000000	0.000000
IREB2	0.776588	11.394847	0.000000	0.000000
RBM39	0.765726	11.214605	0.000000	0.000000
RPS11	0.750964	10.969650	0.000000	0.000000
QRICH1	0.730399	10.628426	0.000000	0.000000
CYB5D1	0.726650	10.566215	0.000000	0.000000
COX11	0.722193	10.492257	0.000000	0.000000
DENR	0.697468	10.081991	0.000000	0.000000
GIPC2	0.694282	10.029127	0.000000	0.000000
STXBP4	0.692582	10.000907	0.000000	0.000000
ATP5PB	0.685950	9.890873	0.000000	0.000000
PUF60	0.684784	9.871512	0.000000	0.000000
BANP	0.683910	9.857024	0.000000	0.000000
IKZF5	0.680305	9.797192	0.000000	0.000000
GRK4	0.675661	9.720136	0.000000	0.000000
SLC25A11	0.626655	8.906982	0.000000	0.000000
TMEM18	0.615892	8.728376	0.000000	0.000000
COASY	0.615012	8.713785	0.000000	0.000000
TMEM79	0.610839	8.644535	0.000000	0.000000
MBTPS1	0.603949	8.530208	0.000000	0.000000
ANKFY1	0.590764	8.311428	0.000000	0.000000
PSMD5	0.584025	8.199610	0.000000	0.000000
NAA35	0.580198	8.136102	0.000000	0.000000
MAPK14	0.579848	8.130295	0.000000	0.000000
RPS19	0.569853	7.964444	0.000000	0.000000
MLX	0.567288	7.921889	0.000000	0.000000
NKTR	0.553563	7.694146	0.000000	0.000000
FBXL5	0.546944	7.584309	0.000000	0.000000
WDR77	0.545335	7.557623	0.000000	0.000000
FAM200B	0.538526	7.444636	0.000000	0.000000
POLDIP3	0.530044	7.303896	0.000000	0.000000
SMG5	0.525491	7.228349	0.000000	0.000000
AKAP1	0.524863	7.217914	0.000000	0.000000
GMPPA	0.519155	7.123211	0.000000	0.000000
SEC22C	0.518740	7.116324	0.000000	0.000000
ARF3	0.515733	7.066432	0.000000	0.000000
WDR74	0.514136	7.039923	0.000000	0.000000
MDH2	0.513611	7.031210	0.000000	0.000000
MED1	0.510892	6.986093	0.000000	0.000000
USP53	0.510027	6.971740	0.000000	0.000000
NOP14	0.508646	6.948834	0.000000	0.000000
RNF167	0.502019	6.838870	0.000000	0.000000
KAZALD1	0.493355	6.695110	0.000000	0.000000
LRSAM1	0.492287	6.677378	0.000000	0.000000
PPP4R3B	0.488921	6.621536	0.000000	0.000000
STYXL1	0.487130	6.591807	0.000000	0.000000
EDRF1	0.486326	6.578472	0.000000	0.000000
PPCDC	0.486232	6.576910	0.000000	0.000000
ABI1	0.484401	6.546522	0.000000	0.000000
YOD1	0.481543	6.499096	0.000000	0.000000
NOL11	0.480058	6.474462	0.000000	0.000000
SRSF10	0.476790	6.420229	0.000000	0.000000
RPL17	0.475850	6.404643	0.000000	0.000000
MRPS7	0.471033	6.324713	0.000000	0.000000
PTRH2	0.466649	6.251958	0.000000	0.000000
DNAJB4	0.464293	6.212873	0.000000	0.000001
SRRT	0.460430	6.148776	0.000000	0.000001
PHF12	0.459152	6.127568	0.000000	0.000001
FGFR1OP2	0.458181	6.111450	0.000000	0.000001
NCAPG	0.457749	6.104280	0.000000	0.000001
ATP5MC1	0.451379	5.998593	0.000000	0.000002
DHFR2	0.450176	5.978625	0.000000	0.000002
NCOA4	0.449953	5.974925	0.000000	0.000002
RPL23A	0.448982	5.958809	0.000000	0.000002
RPL17-C18orf32	0.443943	5.875195	0.000000	0.000004
MAD1L1	0.443620	5.869833	0.000000	0.000004
ENO4	0.440971	5.825886	0.000000	0.000005
MINOS1-NBL1	0.440674	5.820965	0.000000	0.000005
RPL12	0.436735	5.755598	0.000000	0.000007
TRIB1	0.435535	5.735679	0.000000	0.000008
DCTN2	0.434522	5.718870	0.000000	0.000008
ASXL1	0.434064	5.711271	0.000000	0.000009
INTS13	0.433842	5.707595	0.000000	0.000009
TRIM66	0.430833	5.657655	0.000000	0.000012
HHLA3	0.430680	5.655119	0.000000	0.000012
CDC20	0.429720	5.639194	0.000000	0.000013
