g.name	raw.score	z.score	p.value	q.value
LSM2	2.115443	15.191823	0.000000	0.000000
HSP90AB1	1.514378	10.303159	0.000000	0.000000
TPP1	1.476477	9.994898	0.000000	0.000000
HIST1H4I	1.157895	7.403763	0.000000	0.000000
GPR19	1.135356	7.220448	0.000000	0.000000
PRSS55	1.100409	6.936210	0.000000	0.000000
NAA38	1.026731	6.336961	0.000000	0.000002
HLA-DMA	0.977245	5.934475	0.000000	0.000020
PRR14	0.956898	5.768988	0.000000	0.000047
P2RY11	0.952130	5.730210	0.000000	0.000054
RFTN1	0.928731	5.539894	0.000000	0.000143
ATF3	0.926471	5.521513	0.000000	0.000147
TEX54	0.923666	5.498699	0.000000	0.000154
CCDC106	0.912923	5.411322	0.000000	0.000232
DUSP22	0.908650	5.376573	0.000000	0.000262
SLC35G6	0.888997	5.216727	0.000000	0.000576
EGR3	0.876663	5.116407	0.000001	0.000913
ZNF444	0.867368	5.040815	0.000001	0.001270
AC005837.2	0.857437	4.960035	0.000002	0.001807
MACC1	0.846545	4.871450	0.000003	0.002661
ATP5PO	0.844111	4.851658	0.000003	0.002796
HIST1H3D	0.836359	4.788606	0.000004	0.003625
N4BP1	0.823765	4.686171	0.000007	0.005643
MYCBP2	0.820842	4.662401	0.000008	0.006054
S100PBP	0.815412	4.618234	0.000009	0.007030
IRF2BP2	0.814297	4.609169	0.000010	0.007030
GPR15	0.813870	4.605694	0.000010	0.007030
SCIMP	0.812904	4.597838	0.000010	0.007038
