g.name	raw.score	z.score	p.value	q.value
RHOH	1.413486	10.138159	0.000000	0.000000
POLI	1.365929	9.748701	0.000000	0.000000
TRAF1	1.293214	9.153223	0.000000	0.000000
SEMA6A	1.233100	8.660930	0.000000	0.000000
GCSAM	1.222000	8.570029	0.000000	0.000000
HLA-DQA1	1.212029	8.488370	0.000000	0.000000
PPTC7	1.202200	8.407881	0.000000	0.000000
MACC1	1.190386	8.311131	0.000000	0.000000
UBA3	1.115800	7.700327	0.000000	0.000000
HIST1H4E	1.071843	7.340350	0.000000	0.000000
ZFP36	1.070886	7.332512	0.000000	0.000000
MAPKAPK2	1.070829	7.332044	0.000000	0.000000
IRF2BP2	1.000757	6.758209	0.000000	0.000000
ACTR3	0.984886	6.628233	0.000000	0.000000
ZFP91-CNTF	0.975600	6.552190	0.000000	0.000000
TMEM268	0.942286	6.279370	0.000000	0.000001
ADGRG5	0.931714	6.192798	0.000000	0.000002
ZFP91	0.930257	6.180865	0.000000	0.000002
HIST1H3B	0.928543	6.166826	0.000000	0.000002
NEK8	0.926571	6.150681	0.000000	0.000002
SCIMP	0.921857	6.112075	0.000000	0.000003
BHLHE40	0.919471	6.092537	0.000000	0.000003
CCR7	0.908757	6.004795	0.000000	0.000005
RAB8B	0.908643	6.003859	0.000000	0.000005
MTERF4	0.907343	5.993213	0.000000	0.000005
DCAF11	0.905529	5.978355	0.000000	0.000005
PPP1R18	0.900786	5.939515	0.000000	0.000006
PTGIR	0.890014	5.851304	0.000000	0.000010
MBP	0.889329	5.845689	0.000000	0.000010
CNN2	0.887586	5.831416	0.000000	0.000011
AP3M2	0.884329	5.804743	0.000000	0.000012
POGLUT1	0.879143	5.762275	0.000000	0.000015
KMT2B	0.878071	5.753501	0.000000	0.000015
MDFIC	0.876314	5.739111	0.000000	0.000016
TMEM107	0.874029	5.720393	0.000000	0.000017
NEK6	0.863157	5.631364	0.000000	0.000028
LAMP3	0.855171	5.565967	0.000000	0.000039
JUNB	0.849543	5.519873	0.000000	0.000049
BACH1	0.848729	5.513204	0.000000	0.000050
BCL2L11	0.848086	5.507940	0.000000	0.000050
MYCBP2	0.843071	5.466876	0.000000	0.000061
MSC	0.840971	5.449679	0.000000	0.000066
ZFP36L2	0.837014	5.417273	0.000000	0.000077
FILIP1	0.834486	5.396565	0.000000	0.000084
DARS	0.830314	5.362404	0.000000	0.000099
AD000671.1	0.823757	5.308706	0.000000	0.000128
IGF1	0.821886	5.293380	0.000000	0.000136
HES7	0.820271	5.280161	0.000000	0.000142
CFLAR	0.819971	5.277704	0.000000	0.000142
SMIM3	0.812300	5.214880	0.000000	0.000194
PCGF2	0.809371	5.190897	0.000001	0.000215
HOOK3	0.807729	5.177444	0.000001	0.000226
BCL2	0.807329	5.174168	0.000001	0.000226
BCAT1	0.798943	5.105495	0.000001	0.000316
TMEM39A	0.796671	5.086894	0.000001	0.000341
LRP12	0.789600	5.028984	0.000001	0.000449
HSPA1B	0.785757	4.997513	0.000002	0.000517
PPP1R2	0.783257	4.977040	0.000002	0.000563
ZKSCAN8	0.780714	4.956216	0.000002	0.000614
RFX7	0.775457	4.913164	0.000002	0.000747
NFKBIE	0.773400	4.896317	0.000002	0.000798
TMEM88	0.772371	4.887894	0.000003	0.000819
GPR31	0.763314	4.813722	0.000004	0.001150
VPS72	0.762771	4.809277	0.000004	0.001150
ACTRT3	0.762643	4.808224	0.000004	0.001150
ERO1B	0.762043	4.803310	0.000004	0.001153
E2F7	0.761814	4.801439	0.000004	0.001153
TMSB4X	0.761243	4.796759	0.000004	0.001162
NUBP1	0.760629	4.791728	0.000004	0.001173
ARHGDIB	0.759743	4.784475	0.000004	0.001198
ZC3H12C	0.756814	4.760492	0.000005	0.001324
UBC	0.756171	4.755228	0.000005	0.001339
AL034430.1	0.754057	4.737913	0.000005	0.001432
AL645941.2	0.753757	4.735456	0.000005	0.001432
IRF5	0.752671	4.726565	0.000006	0.001463
PAG1	0.752514	4.725278	0.000006	0.001463
DEPP1	0.750943	4.712409	0.000006	0.001535
ST7	0.750129	4.705741	0.000006	0.001564
TUBA8	0.742200	4.640812	0.000008	0.002092
ALPK1	0.741129	4.632037	0.000009	0.002141
ING1	0.740943	4.630517	0.000009	0.002141
CCDC102A	0.740200	4.624433	0.000009	0.002175
STK17B	0.734557	4.578222	0.000011	0.002656
ELOVL6	0.734271	4.575882	0.000011	0.002656
GPR84	0.726100	4.508964	0.000015	0.003557
AL096870.1	0.725429	4.503466	0.000016	0.003594
SLC15A4	0.725200	4.501594	0.000016	0.003594
THEMIS2	0.720614	4.464040	0.000019	0.004205
FOXN1	0.720186	4.460530	0.000019	0.004224
GM2A	0.717843	4.441344	0.000021	0.004550
