g.name	raw.score	z.score	p.value	q.value
ZNF227	9.086862	7.825618	0.000000	0.000000
IRF2BP2	9.006729	7.737510	0.000000	0.000000
CEP170	8.425011	7.097905	0.000000	0.000000
LSM14A	8.176065	6.824185	0.000000	0.000000
LDLRAP1	7.817277	6.429694	0.000000	0.000002
NBPF1	7.598238	6.188857	0.000000	0.000006
ZNF233	7.597103	6.187609	0.000000	0.000006
COX20	7.397805	5.968479	0.000000	0.000018
R3HDM1	6.937145	5.461978	0.000000	0.000294
MARS2	6.897763	5.418676	0.000000	0.000335
ECSIT	6.874107	5.392667	0.000000	0.000350
B3GALNT2	6.786568	5.296417	0.000000	0.000536
DNAH14	6.766557	5.274414	0.000000	0.000536
SDE2	6.748299	5.254339	0.000000	0.000536
SPRTN	6.748213	5.254244	0.000000	0.000536
SAR1B	6.623387	5.116997	0.000001	0.001025
GGPS1	6.475771	4.954691	0.000002	0.002184
ZNF608	6.425479	4.899395	0.000002	0.002708
NHP2	6.362570	4.830225	0.000003	0.003592
ENAH	6.341082	4.806599	0.000004	0.003644
RAB4B	6.336780	4.801869	0.000004	0.003644
SLC38A2	6.332154	4.796783	0.000004	0.003644
DDX19A	6.292723	4.753427	0.000005	0.004287
RPS16	6.270911	4.729445	0.000006	0.004500
ZFP36	6.263962	4.721804	0.000006	0.004500
MIA-RAB4B	6.252584	4.709295	0.000006	0.004500
MIA	6.252584	4.709295	0.000006	0.004500
SUPT5H	6.230162	4.684641	0.000007	0.004872
MAP7D1	6.201192	4.652788	0.000008	0.005458
TES	6.180088	4.629584	0.000009	0.005699
ZNF226	6.179660	4.629114	0.000009	0.005699
RLBP1	6.132907	4.577708	0.000011	0.006995
RAB4B-EGLN2	6.123068	4.566890	0.000012	0.007127
SENP8	6.108009	4.550332	0.000013	0.007460
NIPBL	6.067333	4.505608	0.000016	0.008873
C19orf54	6.042672	4.478494	0.000018	0.009744
