g.name	raw.score	z.score	p.value	q.value
MYT1L	13.792376	8.172770	0.000000	0.000000
MEIS2	11.173370	6.277323	0.000000	0.000011
PIK3R3	11.011483	6.160160	0.000000	0.000015
LETM2	10.734415	5.959639	0.000000	0.000039
ZNF503	10.664705	5.909187	0.000000	0.000042
FOS	10.493277	5.785120	0.000000	0.000072
METTL11B	10.261696	5.617518	0.000000	0.000160
ZFHX3	10.216785	5.585015	0.000000	0.000167
GAD2	10.057920	5.470040	0.000000	0.000281
UBC	10.024612	5.445934	0.000000	0.000289
PSMG4	9.891384	5.349513	0.000000	0.000441
HIST1H4E	9.781509	5.269993	0.000000	0.000617
TOB2	9.672781	5.191304	0.000001	0.000860
TUBB2B	9.624439	5.156318	0.000001	0.000910
HIST1H2BG	9.619397	5.152669	0.000001	0.000910
SREBF2	9.527805	5.086381	0.000001	0.001198
HIST1H2AE	9.424393	5.011539	0.000001	0.001645
ID1	9.399224	4.993323	0.000002	0.001702
MUS81	9.316535	4.933479	0.000002	0.002170
HIST1H3E	9.259604	4.892276	0.000003	0.002495
DLX6	9.249061	4.884646	0.000003	0.002495
NBPF1	9.232223	4.872460	0.000003	0.002527
SCML4	9.202057	4.850628	0.000003	0.002688
TNRC18	9.153225	4.815287	0.000004	0.003056
NSD3	9.133896	4.801298	0.000004	0.003138
PSMB1	8.892581	4.626651	0.000009	0.006873
