g.name	raw.score	z.score	p.value	q.value
PDE4A	18.711630	10.244488	0.000000	0.000000
ARL2-SNX15	18.495966	10.114936	0.000000	0.000000
ARL2	18.119346	9.888698	0.000000	0.000000
C1QTNF6	16.912275	9.163599	0.000000	0.000000
LRIG2	16.618988	8.987419	0.000000	0.000000
MFSD3	15.821660	8.508458	0.000000	0.000000
EDN1	15.454001	8.287602	0.000000	0.000000
CLPB	15.444765	8.282054	0.000000	0.000000
NECTIN2	15.267501	8.175570	0.000000	0.000000
EPHA4	15.022237	8.028238	0.000000	0.000000
PLEKHG2	14.714677	7.843484	0.000000	0.000000
ABCC5	13.996214	7.411897	0.000000	0.000000
TMEM179B	13.863580	7.332223	0.000000	0.000000
TMEM170A	13.205452	6.936879	0.000000	0.000000
ACBD4	13.103336	6.875538	0.000000	0.000000
PLCD3	13.054624	6.846276	0.000000	0.000000
DAND5	13.049162	6.842995	0.000000	0.000000
TOR2A	12.787018	6.685523	0.000000	0.000000
TOMM6	12.567563	6.553694	0.000000	0.000000
FLVCR2	12.450419	6.483325	0.000000	0.000000
RNF224	12.426464	6.468935	0.000000	0.000000
PCNP	12.262523	6.370454	0.000000	0.000001
ZNF131	12.128964	6.290224	0.000000	0.000001
INTS8	12.103828	6.275124	0.000000	0.000001
EPHB3	12.047731	6.241427	0.000000	0.000001
ERCC4	11.984881	6.203672	0.000000	0.000001
NEURL3	11.928537	6.169826	0.000000	0.000002
KDELR1	11.865311	6.131845	0.000000	0.000002
WDR38	11.864657	6.131453	0.000000	0.000002
ABCA2	11.863679	6.130865	0.000000	0.000002
LPIN3	11.764685	6.071399	0.000000	0.000002
RAG1	11.763421	6.070639	0.000000	0.000002
SCO2	11.759332	6.068183	0.000000	0.000002
VEGFA	11.654312	6.005097	0.000000	0.000003
FAM241B	11.653273	6.004472	0.000000	0.000003
NUDT8	11.648642	6.001690	0.000000	0.000003
AKR1D1	11.616058	5.982117	0.000000	0.000004
ZYX	11.430179	5.870458	0.000000	0.000007
FIBP	11.385932	5.843878	0.000000	0.000008
SMIM5	11.311496	5.799164	0.000000	0.000010
DECR1	11.299093	5.791713	0.000000	0.000010
FAM136A	11.278456	5.779317	0.000000	0.000010
ADSSL1	11.242272	5.757581	0.000000	0.000011
COL13A1	11.234082	5.752661	0.000000	0.000012
EXT2	11.206966	5.736372	0.000000	0.000012
COL1A1	11.186383	5.724008	0.000000	0.000013
OTOS	11.082378	5.661531	0.000000	0.000018
YARS2	11.063424	5.650145	0.000000	0.000019
TYSND1	11.011791	5.619129	0.000000	0.000022
PDK2	10.974552	5.596759	0.000000	0.000025
SCRN2	10.954147	5.584501	0.000000	0.000026
DDX18	10.945384	5.579237	0.000000	0.000026
XXYLT1	10.878146	5.538847	0.000000	0.000032
STX16-NPEPL1	10.785130	5.482972	0.000000	0.000043
AP5B1	10.734990	5.452852	0.000000	0.000050
TM7SF2	10.728809	5.449139	0.000000	0.000050
B3GALNT2	10.685371	5.423046	0.000000	0.000056
OLFML3	10.606397	5.375605	0.000000	0.000072
TTC33	10.565420	5.350990	0.000000	0.000080
SARS2	10.529331	5.329311	0.000000	0.000089
AQP6	10.483170	5.301582	0.000000	0.000101
FMO5	10.448696	5.280873	0.000000	0.000111
PLEC	10.444762	5.278510	0.000000	0.000111
TAF7	10.436911	5.273793	0.000000	0.000112
CEACAM7	10.428343	5.268646	0.000000	0.000113
EHD1	10.409896	5.257565	0.000000	0.000118
SAAL1	10.398962	5.250997	0.000000	0.000120
SLC29A3	10.395543	5.248943	0.000000	0.000120
TMEM56	10.389632	5.245393	0.000000	0.000120
PPP5C	10.383028	5.241426	0.000000	0.000121
TEX48	10.368959	5.232974	0.000000	0.000125
ATP23	10.283440	5.181602	0.000001	0.000161
TIMM22	10.268364	5.172546	0.000001	0.000166
RGMB	10.256021	5.165131	0.000001	0.000171
KIAA1324	10.241118	5.156179	0.000001	0.000174
MISP3	10.240767	5.155968	0.000001	0.000174
FAM69A	10.181234	5.120206	0.000001	0.000207
TRAF6	10.150146	5.101531	0.000001	0.000225
PPP6R2	10.134613	5.092201	0.000001	0.000232
