g.name	raw.score	z.score	p.value	q.value
SIVA1	6.234000	8.545809	0.000000	0.000000
NR1D1	5.384381	7.205249	0.000000	0.000000
SAP25	5.289931	7.056223	0.000000	0.000000
UBC	5.277489	7.036591	0.000000	0.000000
MDP1	4.915303	6.465121	0.000000	0.000001
PRPSAP1	4.899346	6.439944	0.000000	0.000001
PABPN1	4.890668	6.426252	0.000000	0.000001
SCFD1	4.881311	6.411488	0.000000	0.000001
PCK1	4.797160	6.278710	0.000000	0.000002
ID1	4.792664	6.271617	0.000000	0.000002
TINF2	4.725179	6.165137	0.000000	0.000004
DCAF11	4.713404	6.146557	0.000000	0.000004
CLDN6	4.684970	6.101693	0.000000	0.000005
AC040162.1	4.677834	6.090434	0.000000	0.000005
AL136295.1	4.518346	5.838787	0.000000	0.000020
C16orf95	4.517782	5.837898	0.000000	0.000020
LCAT	4.455467	5.739575	0.000000	0.000030
ADRM1	4.453566	5.736576	0.000000	0.000030
TRIB1	4.451654	5.733559	0.000000	0.000030
DHRS1	4.447389	5.726829	0.000000	0.000030
THOC6	4.428416	5.696893	0.000000	0.000034
FBF1	4.419982	5.683586	0.000000	0.000035
NOP9	4.408725	5.665825	0.000000	0.000037
MAPK13	4.383193	5.625538	0.000000	0.000044
ZMYND8	4.357019	5.584241	0.000000	0.000051
TUBB3	4.354787	5.580719	0.000000	0.000051
SLC50A1	4.354255	5.579879	0.000000	0.000051
HCFC1R1	4.346025	5.566893	0.000000	0.000053
CHMP4A	4.304148	5.500819	0.000000	0.000074
VAMP5	4.297660	5.490581	0.000000	0.000075
CLCN6	4.283130	5.467655	0.000000	0.000081
CIRBP	4.281798	5.465554	0.000000	0.000081
AL121845.2	4.212312	5.355916	0.000000	0.000142
POLDIP3	4.191597	5.323232	0.000000	0.000164
CTDSP1	4.179636	5.304359	0.000000	0.000172
CDC7	4.179256	5.303759	0.000000	0.000172
DYNLRB1	4.160833	5.274691	0.000000	0.000195
RNPEPL1	4.153059	5.262425	0.000000	0.000203
CYREN	4.119052	5.208768	0.000001	0.000262
TAF9B	4.101405	5.180923	0.000001	0.000288
LBX2	4.101161	5.180539	0.000001	0.000288
IPO4	4.091611	5.165470	0.000001	0.000304
APOA2	4.084630	5.154455	0.000001	0.000314
TNFRSF6B	4.080972	5.148684	0.000001	0.000314
AJUBA	4.079369	5.146154	0.000001	0.000314
CLU	4.071829	5.134257	0.000001	0.000326
NFKBIA	4.062593	5.119684	0.000001	0.000344
LRRC45	3.973948	4.979817	0.000002	0.000683
NFS1	3.962686	4.962047	0.000002	0.000730
PSMB10	3.958423	4.955322	0.000002	0.000740
UCKL1	3.950632	4.943028	0.000002	0.000771
NRL	3.946654	4.936752	0.000002	0.000780
STK40	3.937880	4.922908	0.000002	0.000819
ROMO1	3.908968	4.877290	0.000003	0.001006
LIME1	3.904954	4.870957	0.000003	0.001018
C6orf47	3.895771	4.856467	0.000003	0.001073
AHSG	3.888431	4.844885	0.000003	0.001115
AL132780.3	3.876874	4.826651	0.000003	0.001197
ARHGDIA	3.865106	4.808083	0.000004	0.001287
AC092143.1	3.859542	4.799303	0.000004	0.001320
NEU1	3.848627	4.782081	0.000004	0.001410
DLG4	3.841547	4.770910	0.000005	0.001463
SREBF2	3.831982	4.755818	0.000005	0.001547
TGFBR2	3.823942	4.743132	0.000005	0.001618
TP53INP2	3.814114	4.727625	0.000006	0.001708
CD2BP2	3.812596	4.725230	0.000006	0.001708
EMC9	3.797578	4.701534	0.000006	0.001881
IGFBP1	3.780800	4.675061	0.000007	0.002098
FOSL2	3.778597	4.671586	0.000007	0.002102
PRMT5	3.759863	4.642027	0.000008	0.002377
GZF1	3.743759	4.616617	0.000009	0.002636
MTMR4	3.724487	4.586209	0.000011	0.002990
SLC2A4RG	3.722393	4.582905	0.000011	0.002994
CARHSP1	3.713576	4.568993	0.000012	0.003148
PA2G4	3.709711	4.562895	0.000012	0.003194
GSPT1	3.700710	4.548693	0.000013	0.003362
TM9SF1	3.632308	4.440766	0.000021	0.005350
SUPT4H1	3.631546	4.439562	0.000021	0.005350
NAT10	3.626607	4.431770	0.000022	0.005468
OTX1	3.609734	4.405148	0.000024	0.006074
LTB4R2	3.605796	4.398934	0.000025	0.006165
CDH24	3.597527	4.385887	0.000027	0.006449
KRT8	3.556588	4.321291	0.000035	0.008440
ASXL1	3.552961	4.315568	0.000036	0.008549
CBLN3	3.542776	4.299499	0.000039	0.009054
TNFAIP3	3.536408	4.289451	0.000040	0.009267
SPAG4	3.535904	4.288655	0.000040	0.009267
