g.name	raw.score	z.score	p.value	q.value
NFKBIA	5.458163	7.143802	0.000000	0.000000
PER2	5.352125	6.964750	0.000000	0.000000
ZMYND8	5.252800	6.797032	0.000000	0.000000
HOMEZ	5.198771	6.705800	0.000000	0.000000
PCK2	5.101942	6.542297	0.000000	0.000001
CEBPB	4.956713	6.297067	0.000000	0.000003
NFIL3	4.915158	6.226897	0.000000	0.000004
ID1	4.898900	6.199444	0.000000	0.000004
PPP1R3E	4.833810	6.089536	0.000000	0.000008
ZHX3	4.762286	5.968761	0.000000	0.000015
PRNP	4.741926	5.934382	0.000000	0.000016
AJUBA	4.727091	5.909331	0.000000	0.000017
AL121845.2	4.718118	5.894180	0.000000	0.000017
ADCY4	4.691814	5.849764	0.000000	0.000021
AL132780.3	4.659008	5.794369	0.000000	0.000027
LIME1	4.607735	5.707790	0.000000	0.000042
PNN	4.489617	5.508338	0.000000	0.000121
BCL2L2	4.479195	5.490741	0.000000	0.000125
NR1D1	4.463791	5.464730	0.000000	0.000137
PCK1	4.437443	5.420239	0.000000	0.000166
KHNYN	4.406507	5.368001	0.000000	0.000209
CBLN3	4.383093	5.328465	0.000000	0.000247
SLC2A4RG	4.378066	5.319977	0.000000	0.000247
BCL2L2-PABPN1	4.315941	5.215074	0.000000	0.000405
EMC9	4.313255	5.210539	0.000001	0.000405
TRAPPC6B	4.285099	5.162995	0.000001	0.000490
PRM2	4.282678	5.158906	0.000001	0.000490
TNNC2	4.277680	5.150468	0.000001	0.000491
EIF1	4.274134	5.144480	0.000001	0.000491
SNX21	4.210101	5.036355	0.000001	0.000823
CASC10	4.183122	4.990799	0.000002	0.001001
DHRS2	4.159699	4.951247	0.000002	0.001180
BCL2L1	4.136631	4.912296	0.000002	0.001387
THTPA	4.113875	4.873870	0.000003	0.001600
TOP1	4.112201	4.871044	0.000003	0.001600
BHLHE40	4.071041	4.801541	0.000004	0.002159
ZFHX2	4.068681	4.797556	0.000004	0.002159
RRBP1	4.042690	4.753669	0.000005	0.002592
PSMB5	4.024604	4.723130	0.000006	0.002919
FBXO33	4.008525	4.695978	0.000006	0.003234
AL096870.1	3.996036	4.674890	0.000007	0.003483
POFUT1	3.951906	4.600373	0.000010	0.004803
PLAGL2	3.930229	4.563769	0.000012	0.005548
PSME2	3.899880	4.512524	0.000015	0.006835
ZNFX1	3.897065	4.507769	0.000015	0.006835
MAP1LC3B	3.891106	4.497708	0.000016	0.006996
AP5S1	3.872925	4.467008	0.000019	0.007857
SPRED2	3.854108	4.435234	0.000021	0.008622
NOP9	3.852333	4.432237	0.000022	0.008622
TTC6	3.851446	4.430738	0.000022	0.008622
DYNLRB1	3.847149	4.423483	0.000022	0.008622
DHRS1	3.847079	4.423365	0.000022	0.008622
FOXA1	3.836617	4.405698	0.000024	0.009146
PCNA	3.829611	4.393868	0.000026	0.009456
LTB4R2	3.823924	4.384266	0.000027	0.009646
SS18L1	3.821504	4.380180	0.000027	0.009646
C6orf106	3.817848	4.374005	0.000028	0.009646
STK35	3.817264	4.373020	0.000028	0.009646
