g.name	raw.score	z.score	p.value	q.value
DUSP1	16.534916	24.105785	0.000000	0.000000
ID1	12.300103	17.630382	0.000000	0.000000
ZFP36	10.819425	15.366296	0.000000	0.000000
DDIT4	10.755133	15.267988	0.000000	0.000000
KRT86	9.501542	13.351136	0.000000	0.000000
AKR1B10	7.736549	10.652307	0.000000	0.000000
KRT7	7.688067	10.578174	0.000000	0.000000
FTH1	7.387513	10.118600	0.000000	0.000000
PLEKHG2	7.208513	9.844894	0.000000	0.000000
KRT8	6.902408	9.376832	0.000000	0.000000
HIST2H2AC	6.774058	9.180573	0.000000	0.000000
HIST2H2BE	6.677340	9.032684	0.000000	0.000000
CEBPB	6.171865	8.259767	0.000000	0.000000
WDR74	6.159628	8.241056	0.000000	0.000000
KRT18	6.150256	8.226726	0.000000	0.000000
MT2A	6.057455	8.084824	0.000000	0.000000
FTL	5.908181	7.856571	0.000000	0.000000
IGFBP4	5.893918	7.834761	0.000000	0.000000
FOSL2	5.887877	7.825525	0.000000	0.000000
BCL3	5.862314	7.786437	0.000000	0.000000
BOLA1	5.674437	7.499156	0.000000	0.000000
MAT2A	5.650642	7.462771	0.000000	0.000000
HIST2H2AB	5.642607	7.450486	0.000000	0.000000
UBC	5.487238	7.212912	0.000000	0.000000
CYP24A1	5.455261	7.164017	0.000000	0.000000
JUNB	5.087022	6.600947	0.000000	0.000000
TMSB10	5.084360	6.596877	0.000000	0.000000
SAT1	5.073400	6.580118	0.000000	0.000000
SUPT5H	4.926539	6.355554	0.000000	0.000000
RPS16	4.923865	6.351466	0.000000	0.000000
HIST1H1E	4.912465	6.334034	0.000000	0.000000
RHOB	4.905935	6.324048	0.000000	0.000001
HIST1H2BD	4.903158	6.319803	0.000000	0.000001
NFKBIA	4.898938	6.313350	0.000000	0.000001
EIF1	4.880917	6.285794	0.000000	0.000001
ERRFI1	4.848379	6.236041	0.000000	0.000001
KLF6	4.775495	6.124595	0.000000	0.000002
MYC	4.742065	6.073477	0.000000	0.000002
PON2	4.695332	6.002019	0.000000	0.000003
PCED1B	4.666000	5.957167	0.000000	0.000004
CLCF1	4.606778	5.866611	0.000000	0.000007
AMIGO2	4.580515	5.826453	0.000000	0.000008
PFN1	4.538693	5.762504	0.000000	0.000011
TRABD2A	4.533892	5.755163	0.000000	0.000012
POLR2A	4.513580	5.724103	0.000000	0.000014
RCC1	4.492036	5.691161	0.000000	0.000016
AP003419.1	4.484384	5.679460	0.000000	0.000017
ENO3	4.445180	5.619514	0.000000	0.000023
HIST1H2BC	4.411144	5.567470	0.000000	0.000030
ZBTB4	4.408560	5.563519	0.000000	0.000030
SERPINE1	4.407942	5.562575	0.000000	0.000030
ZFAND5	4.400484	5.551169	0.000000	0.000031
RPS19	4.318936	5.426476	0.000000	0.000061
C19orf33	4.312001	5.415872	0.000000	0.000063
HIST1H2AC	4.287407	5.378266	0.000000	0.000076
HEXIM1	4.252790	5.325333	0.000000	0.000099
ABCC3	4.237423	5.301836	0.000000	0.000110
ZFP36L2	4.221951	5.278177	0.000000	0.000122
RPS9	4.201295	5.246592	0.000000	0.000142
HIST1H4B	4.179845	5.213793	0.000000	0.000166
CD68	4.160513	5.184233	0.000001	0.000188
TTI2	4.159585	5.182814	0.000001	0.000188
PYGB	4.154409	5.174900	0.000001	0.000193
ZC3H12A	4.149011	5.166646	0.000001	0.000198
POLR2L	4.134169	5.143951	0.000001	0.000220
TSKU	4.114211	5.113433	0.000001	0.000253
MTUS1	4.112380	5.110634	0.000001	0.000253
BHLHE40	4.105021	5.099380	0.000001	0.000264
TNS4	4.102599	5.095677	0.000001	0.000265
EIF4A1	4.091067	5.078045	0.000001	0.000285
LAMA5	4.088362	5.073908	0.000001	0.000285
RPL13A	4.087694	5.072886	0.000001	0.000285
GSK3A	4.075844	5.054767	0.000001	0.000308
ITPKC	4.009197	4.952858	0.000002	0.000500
ZNFX1	4.008963	4.952500	0.000002	0.000500
TSPAN4	3.941387	4.849170	0.000003	0.000819
PKM	3.893838	4.776464	0.000004	0.001147
ID3	3.891985	4.773629	0.000004	0.001148
USP3	3.884288	4.761861	0.000005	0.001199
SREBF1	3.842457	4.697897	0.000006	0.001602
MCL1	3.840484	4.694881	0.000007	0.001605
MT1X	3.822185	4.666900	0.000007	0.001808
IRF2BP2	3.776734	4.597402	0.000010	0.002445
RPS11	3.776105	4.596439	0.000010	0.002445
RPL23A	3.763568	4.577270	0.000011	0.002639
TRIB1	3.756495	4.566454	0.000012	0.002740
HNRNPL	3.750383	4.557108	0.000012	0.002827
NEK8	3.730636	4.526913	0.000014	0.003205
RUSC2	3.713388	4.500540	0.000016	0.003570
CIRBP	3.706429	4.489898	0.000017	0.003703
TCIM	3.698951	4.478464	0.000018	0.003855
SOX12	3.680126	4.449679	0.000020	0.004336
DUSP5	3.673490	4.439533	0.000021	0.004488
SERTAD1	3.666748	4.429223	0.000022	0.004648
PAPPA	3.664981	4.426520	0.000022	0.004654
IGF2BP1	3.638969	4.386747	0.000026	0.005488
ALDH3B1	3.624684	4.364903	0.000029	0.005976
C12orf57	3.620632	4.358707	0.000030	0.006077
HNRNPUL1	3.609021	4.340953	0.000032	0.006499
FAM174B	3.602732	4.331337	0.000034	0.006697
AC073283.3	3.601459	4.329391	0.000034	0.006697
HIST1H3B	3.580483	4.297316	0.000039	0.007594
LDHA	3.579427	4.295701	0.000039	0.007594
TMSB4X	3.574438	4.288073	0.000041	0.007770
TM4SF1	3.573005	4.285882	0.000041	0.007770
CALM2	3.561561	4.268383	0.000044	0.008295
ABCC2	3.548608	4.248577	0.000048	0.008941
ZBTB37	3.538129	4.232553	0.000051	0.009481
