g.name	raw.score	z.score	p.value	q.value
PCK2	2.626050	7.452719	0.000000	0.000000
AL132780.3	2.624098	7.445698	0.000000	0.000000
PCK1	2.578420	7.281399	0.000000	0.000000
AJUBA	2.561737	7.221395	0.000000	0.000000
LTB4R2	2.339068	6.420486	0.000000	0.000002
EMC9	2.326486	6.375230	0.000000	0.000002
UGT1A1	2.321168	6.356104	0.000000	0.000002
TINF2	2.310817	6.318872	0.000000	0.000002
BPIFB2	2.291739	6.250251	0.000000	0.000003
CBLN3	2.282799	6.218093	0.000000	0.000003
THTPA	2.278248	6.201725	0.000000	0.000003
DHRS1	2.261492	6.141457	0.000000	0.000004
NOP9	2.259973	6.135991	0.000000	0.000004
ZFHX2	2.251096	6.104063	0.000000	0.000004
KHNYN	2.250940	6.103501	0.000000	0.000004
NFKBIA	2.170898	5.815603	0.000000	0.000022
PPP1R3E	2.152108	5.748019	0.000000	0.000031
BCL2L2-PABPN1	2.134074	5.683151	0.000000	0.000043
NEDD8	2.098983	5.556936	0.000000	0.000082
DHRS2	2.093511	5.537252	0.000000	0.000086
GMPR2	2.091371	5.529555	0.000000	0.000086
RNF31	2.089576	5.523100	0.000000	0.000086
PSME2	2.081377	5.493607	0.000000	0.000097
NEDD8-MDP1	2.072754	5.462592	0.000000	0.000110
HOMEZ	2.069900	5.452326	0.000000	0.000111
PSME1	2.055207	5.399479	0.000000	0.000143
DCAF11	2.045292	5.363815	0.000000	0.000161
AP1G2	2.044449	5.360783	0.000000	0.000161
BCL2L2	2.042962	5.355437	0.000000	0.000161
CDKN1A	2.041436	5.349947	0.000000	0.000161
ZMYND8	2.027996	5.301606	0.000000	0.000202
IPO4	2.012383	5.245448	0.000000	0.000258
NRL	2.011729	5.243094	0.000000	0.000258
LTB4R	2.005275	5.219882	0.000000	0.000283
CIDEB	2.001935	5.207868	0.000001	0.000293
RABGGTA	1.999915	5.200602	0.000001	0.000296
MSH5	1.921180	4.917404	0.000002	0.001206
PNN	1.916523	4.900652	0.000002	0.001261
TTC6	1.915099	4.895530	0.000002	0.001261
CLIC1	1.914241	4.892446	0.000003	0.001261
ACIN1	1.911081	4.881080	0.000003	0.001300
AL136295.5	1.908281	4.871009	0.000003	0.001333
MDP1	1.904892	4.858817	0.000003	0.001382
ID1	1.897712	4.832991	0.000003	0.001530
FOXA1	1.895250	4.824137	0.000004	0.001562
MSH5-SAPCD1	1.887648	4.796792	0.000004	0.001743
SP5	1.877391	4.759902	0.000005	0.002034
RBM39	1.872334	4.741711	0.000005	0.002172
SUN5	1.869148	4.730250	0.000006	0.002246
CHMP4A	1.866867	4.722046	0.000006	0.002288
C14orf119	1.860557	4.699351	0.000006	0.002496
AP4S1	1.851102	4.665343	0.000007	0.002871
AL136295.1	1.847821	4.653541	0.000008	0.002976
HECTD1	1.837402	4.616067	0.000009	0.003475
TRIB3	1.817474	4.544387	0.000013	0.004677
IRF9	1.816640	4.541388	0.000013	0.004677
AHCY	1.816074	4.539351	0.000013	0.004677
STRN3	1.810114	4.517915	0.000015	0.005065
TGM1	1.807397	4.508143	0.000015	0.005204
PABPN1	1.804743	4.498595	0.000016	0.005295
TP53INP2	1.804266	4.496882	0.000016	0.005295
AL121845.2	1.794074	4.460222	0.000019	0.006139
KCNH6	1.785224	4.428391	0.000022	0.006960
BCL2L1	1.784127	4.424445	0.000022	0.006972
TMEM37	1.782489	4.418553	0.000023	0.007046
FITM1	1.771521	4.379103	0.000027	0.008254
APOB	1.769722	4.372630	0.000028	0.008365
PRM3	1.760873	4.340801	0.000032	0.009467
