g.name	raw.score	z.score	p.value	q.value
ZFP36	2.410008	11.011097	0.000000	0.000000
PLEKHG2	2.080604	9.210349	0.000000	0.000000
BHLHE40	1.871480	8.067135	0.000000	0.000000
BCL3	1.840221	7.896253	0.000000	0.000000
DUSP1	1.688233	7.065386	0.000000	0.000000
MNT	1.522140	6.157406	0.000000	0.000008
SERTAD1	1.513961	6.112696	0.000000	0.000009
KDM6B	1.500761	6.040539	0.000000	0.000012
AP003419.1	1.489068	5.976614	0.000000	0.000015
CLCF1	1.469294	5.868515	0.000000	0.000026
MYC	1.444077	5.730662	0.000000	0.000053
MYADM	1.402698	5.504457	0.000000	0.000175
EID3	1.395517	5.465199	0.000000	0.000200
EGR1	1.392734	5.449987	0.000000	0.000202
AC008982.1	1.389349	5.431482	0.000000	0.000208
CHD2	1.384589	5.405462	0.000000	0.000225
ITPKC	1.338138	5.151528	0.000001	0.000808
AC006486.1	1.335801	5.138752	0.000001	0.000815
ALOXE3	1.333208	5.124578	0.000001	0.000830
ERF	1.330235	5.108327	0.000001	0.000833
IRF2BPL	1.329503	5.104327	0.000001	0.000833
HEXIM1	1.324830	5.078777	0.000001	0.000905
NEK8	1.319999	5.052367	0.000001	0.000990
KRT86	1.317123	5.036649	0.000001	0.001027
FOSB	1.314252	5.020954	0.000001	0.001067
GABARAP	1.306827	4.980361	0.000002	0.001236
ENO3	1.306038	4.976049	0.000002	0.001236
HNRNPUL1	1.288157	4.878297	0.000003	0.001930
ID1	1.285741	4.865094	0.000003	0.001987
PFN1	1.284440	4.857982	0.000003	0.001989
KCTD15	1.276528	4.814730	0.000004	0.002372
CEP95	1.274686	4.804658	0.000004	0.002412
TRAPPC9	1.270423	4.781352	0.000004	0.002616
WDR81	1.264928	4.751311	0.000005	0.002929
MFSD11	1.263403	4.742976	0.000005	0.002961
IGF2BP1	1.252302	4.682293	0.000007	0.003831
RPL23A	1.247813	4.657750	0.000008	0.004180
AXL	1.237959	4.603885	0.000010	0.005213
ERCC1	1.236097	4.593706	0.000010	0.005213
TRAF4	1.235997	4.593157	0.000010	0.005213
AMIGO2	1.230277	4.561890	0.000012	0.005869
SRSF2	1.224643	4.531089	0.000014	0.006590
RAB34	1.219959	4.505482	0.000016	0.007227
USP3	1.218874	4.499550	0.000016	0.007254
HNRNPL	1.217945	4.494475	0.000016	0.007256
ACTN4	1.212324	4.463745	0.000019	0.008146
RPS16	1.210169	4.451964	0.000020	0.008402
PCED1B	1.206405	4.431386	0.000022	0.009015
SUPT5H	1.205495	4.426413	0.000022	0.009027
GSK3A	1.202343	4.409181	0.000024	0.009547
NFKB2	1.200257	4.397777	0.000025	0.009841
