g.name	raw.score	z.score	p.value	q.value
WDR81	2.898381	14.480764	0.000000	0.000000
HMOX1	2.522689	12.310309	0.000000	0.000000
NCDN	2.468982	12.000031	0.000000	0.000000
TIGD6	2.066859	9.676881	0.000000	0.000000
TLCD2	1.831365	8.316381	0.000000	0.000000
ACTB	1.822430	8.264765	0.000000	0.000000
SLC7A11	1.743365	7.807988	0.000000	0.000000
HMGXB3	1.728324	7.721094	0.000000	0.000000
GATAD2B	1.685017	7.470900	0.000000	0.000000
ZNF3	1.673849	7.406377	0.000000	0.000000
ASF1A	1.625963	7.129728	0.000000	0.000000
MDC1	1.591055	6.928060	0.000000	0.000000
MNT	1.547934	6.678942	0.000000	0.000000
UBC	1.525433	6.548948	0.000000	0.000000
GCLM	1.475608	6.261095	0.000000	0.000002
RAB35	1.472086	6.240747	0.000000	0.000002
ULBP1	1.436132	6.033034	0.000000	0.000006
SLC2A1	1.424060	5.963292	0.000000	0.000008
CALR	1.418569	5.931567	0.000000	0.000009
AMPD3	1.411692	5.891841	0.000000	0.000011
NAA25	1.397332	5.808881	0.000000	0.000017
CNOT3	1.384304	5.733615	0.000000	0.000025
ABCB6	1.362364	5.606861	0.000000	0.000049
FECH	1.349324	5.531524	0.000000	0.000072
PARD6B	1.348048	5.524154	0.000000	0.000072
GPI	1.307988	5.292720	0.000000	0.000241
MAFG	1.305740	5.279734	0.000000	0.000241
IRF2BPL	1.304911	5.274942	0.000000	0.000241
GAPDH	1.304858	5.274636	0.000000	0.000241
NQO1	1.303203	5.265076	0.000000	0.000245
FBXO40	1.268805	5.066351	0.000001	0.000656
ADM	1.268128	5.062439	0.000001	0.000656
ATXN2L	1.260464	5.018164	0.000001	0.000796
CTIF	1.248406	4.948504	0.000002	0.001094
FTH1	1.218952	4.778337	0.000004	0.002432
ZFP36	1.214143	4.750559	0.000005	0.002702
FBXO30	1.213074	4.744383	0.000005	0.002709
IFRD1	1.197755	4.655879	0.000008	0.004001
SCAF1	1.184463	4.579089	0.000011	0.005439
C5orf38	1.184370	4.578551	0.000011	0.005439
RAB6A	1.182434	4.567365	0.000012	0.005588
IL1R1	1.180241	4.554699	0.000012	0.005782
TUBB	1.177760	4.540361	0.000013	0.006032
UCHL1	1.175369	4.526548	0.000014	0.006279
HLA-DMA	1.167557	4.481417	0.000017	0.007527
IRX2	1.166264	4.473952	0.000018	0.007617
BRD2	1.158607	4.429711	0.000022	0.009063
MAN1C1	1.157882	4.425524	0.000022	0.009063
