g.name	raw.score	z.score	p.value	q.value
AURKAIP1	69.859376	35.881325	0.000000	0.000000
P2RX6	38.064139	19.042248	0.000000	0.000000
REPIN1	37.424653	18.703570	0.000000	0.000000
GABARAP	31.813693	15.731949	0.000000	0.000000
EIF2S3	29.474020	14.492835	0.000000	0.000000
DGCR8	29.421941	14.465253	0.000000	0.000000
PPIL2	27.740079	13.574522	0.000000	0.000000
RING1	27.374733	13.381031	0.000000	0.000000
TXNDC2	26.587208	12.963950	0.000000	0.000000
RGS20	25.244000	12.252574	0.000000	0.000000
C6orf47	23.678020	11.423215	0.000000	0.000000
MTHFR	22.896802	11.009474	0.000000	0.000000
AL358472.7	22.646178	10.876741	0.000000	0.000000
CCDC88B	22.535218	10.817976	0.000000	0.000000
C1orf116	21.293356	10.160273	0.000000	0.000000
HSPA1L	20.770614	9.883424	0.000000	0.000000
HIST1H3D	19.415822	9.165912	0.000000	0.000000
ZNF747	19.395960	9.155393	0.000000	0.000000
AC142391.1	19.326109	9.118399	0.000000	0.000000
CCDC116	18.957525	8.923193	0.000000	0.000000
RPL13A	18.708119	8.791106	0.000000	0.000000
FAM136A	18.588762	8.727893	0.000000	0.000000
ECSCR	18.548614	8.706630	0.000000	0.000000
AC008982.1	18.415970	8.636381	0.000000	0.000000
HIST1H4E	18.403832	8.629952	0.000000	0.000000
PCBP3	17.537158	8.170953	0.000000	0.000000
MRPL40	17.258762	8.023512	0.000000	0.000000
SCARF2	17.240426	8.013801	0.000000	0.000000
C17orf99	16.404554	7.571115	0.000000	0.000000
C11orf58	16.283099	7.506791	0.000000	0.000000
MDM4	15.855168	7.280154	0.000000	0.000000
CLCN6	15.782267	7.241545	0.000000	0.000000
IFI35	15.521277	7.103322	0.000000	0.000000
HSPA1A	15.359436	7.017609	0.000000	0.000000
SERINC4	15.284287	6.977810	0.000000	0.000000
IKZF3	15.256267	6.962970	0.000000	0.000000
ASIC3	14.883426	6.765510	0.000000	0.000000
ZBED6CL	14.678366	6.656908	0.000000	0.000000
AC073111.3	14.596673	6.613643	0.000000	0.000000
MARCH6	14.333505	6.474266	0.000000	0.000000
HIST1H2AH	14.180832	6.393409	0.000000	0.000000
HIST1H3E	14.091109	6.345891	0.000000	0.000000
AQP10	13.763109	6.172179	0.000000	0.000001
UBE2D2	13.670149	6.122946	0.000000	0.000001
ELP5	13.662069	6.118667	0.000000	0.000001
NBPF1	13.389931	5.974540	0.000000	0.000003
