g.name	raw.score	z.score	p.value	q.value
RPS16	12.823036	8.862543	0.000000	0.000000
SUPT5H	12.296765	8.411982	0.000000	0.000000
NBPF1	12.250813	8.372640	0.000000	0.000000
LIN37	12.014927	8.170689	0.000000	0.000000
LTBP4	11.402642	7.646488	0.000000	0.000000
LSM14A	10.354723	6.749323	0.000000	0.000000
BORCS6	10.321662	6.721017	0.000000	0.000000
RAB34	9.907617	6.366537	0.000000	0.000002
CCDC187	9.846705	6.314388	0.000000	0.000002
SCGB2B2	9.608856	6.110756	0.000000	0.000006
DNAJC18	9.479887	6.000340	0.000000	0.000011
PUSL1	9.147529	5.715796	0.000000	0.000053
BBC3	9.121461	5.693478	0.000000	0.000056
ZNF233	9.060791	5.641536	0.000000	0.000070
HRH3	8.911114	5.513392	0.000000	0.000133
ISL2	8.862155	5.471476	0.000000	0.000153
VAMP2	8.854459	5.464887	0.000000	0.000153
PDXK	8.811478	5.428089	0.000000	0.000177
HPCAL1	8.772570	5.394779	0.000000	0.000194
ZNF227	8.769008	5.391729	0.000000	0.000194
CAPNS1	8.659700	5.298146	0.000000	0.000292
IRF2BP2	8.658560	5.297170	0.000000	0.000292
OVOL3	8.602453	5.249135	0.000000	0.000359
RABEP2	8.550350	5.204527	0.000001	0.000435
OCLN	8.528435	5.185765	0.000001	0.000458
SIL1	8.520735	5.179173	0.000001	0.000458
LYPD3	8.503091	5.164067	0.000001	0.000477
ECH1	8.477567	5.142215	0.000001	0.000514
HOXB5	8.454325	5.122316	0.000001	0.000550
FXYD1	8.415846	5.089373	0.000001	0.000629
MATR3	8.305388	4.994805	0.000002	0.000977
MAZ	8.298879	4.989233	0.000002	0.000977
NFKBID	8.222945	4.924222	0.000002	0.001308
PAK4	8.075128	4.797671	0.000004	0.002348
STX5	8.009640	4.741604	0.000005	0.002976
RAB3D	8.003033	4.735947	0.000005	0.002976
ZNF226	7.917382	4.662618	0.000008	0.004007
MXI1	7.913859	4.659602	0.000008	0.004007
GGPS1	7.909091	4.655520	0.000008	0.004007
ETV2	7.899472	4.647285	0.000008	0.004060
HNRNPH2	7.891912	4.640812	0.000008	0.004082
POP4	7.872536	4.624224	0.000009	0.004303
AC092073.1	7.865672	4.618347	0.000009	0.004318
C19orf47	7.782969	4.547542	0.000013	0.005838
DMKN	7.763602	4.530961	0.000014	0.006076
TMEM205	7.761223	4.528925	0.000014	0.006076
NMT1	7.741464	4.512008	0.000015	0.006420
STUB1	7.696424	4.473448	0.000018	0.007475
KMT2D	7.673545	4.453860	0.000020	0.007992
THAP8	7.665192	4.446708	0.000020	0.008022
PPP1R14A	7.662044	4.444014	0.000021	0.008022
GGN	7.648032	4.432017	0.000022	0.008298
B3GALNT2	7.641373	4.426316	0.000022	0.008350
RPS24	7.612161	4.401306	0.000025	0.009151
