g.name	raw.score	z.score	p.value	q.value
DUSP1	7.660279	15.957096	0.000000	0.000000
CYP24A1	6.805651	14.032794	0.000000	0.000000
FTL	6.468179	13.272934	0.000000	0.000000
DDIT4	6.132445	12.516987	0.000000	0.000000
ID1	5.507742	11.110390	0.000000	0.000000
AKR1B10	5.298111	10.638379	0.000000	0.000000
KRT86	5.203778	10.425978	0.000000	0.000000
FTH1	4.807571	9.533868	0.000000	0.000000
WDR74	4.612734	9.095167	0.000000	0.000000
FLOT1	4.290098	8.368713	0.000000	0.000000
HIST2H2BE	4.222843	8.217280	0.000000	0.000000
AMIGO2	4.156536	8.067980	0.000000	0.000000
PCED1B	4.148881	8.050744	0.000000	0.000000
ZFP36	4.137081	8.024176	0.000000	0.000000
TCIM	4.011740	7.741955	0.000000	0.000000
HIST2H2AC	3.998630	7.712436	0.000000	0.000000
RCC1	3.960781	7.627214	0.000000	0.000000
KRT7	3.912550	7.518616	0.000000	0.000000
RPL13A	3.835522	7.345177	0.000000	0.000000
EIF1	3.809233	7.285985	0.000000	0.000000
BCL3	3.802090	7.269901	0.000000	0.000000
IGFBP4	3.796990	7.258417	0.000000	0.000000
RPS16	3.773136	7.204707	0.000000	0.000000
BHLHE40	3.756300	7.166799	0.000000	0.000000
MAT2A	3.746407	7.144524	0.000000	0.000000
RPS19	3.636643	6.897378	0.000000	0.000000
SUPT5H	3.627818	6.877506	0.000000	0.000000
ZNFX1	3.617370	6.853982	0.000000	0.000000
HIST1H1E	3.584363	6.779663	0.000000	0.000000
IRF2BP2	3.509911	6.612023	0.000000	0.000000
RPS9	3.487746	6.562116	0.000000	0.000000
ZBTB4	3.441829	6.458728	0.000000	0.000000
RPL23A	3.439350	6.453146	0.000000	0.000000
DUSP5	3.421073	6.411993	0.000000	0.000000
POLR2A	3.420497	6.410697	0.000000	0.000000
RPS11	3.385003	6.330777	0.000000	0.000000
ENO3	3.371327	6.299985	0.000000	0.000001
HIST1H2BD	3.354723	6.262599	0.000000	0.000001
PAPPA	3.301081	6.141816	0.000000	0.000001
CEBPB	3.291295	6.119784	0.000000	0.000001
ABCC3	3.290953	6.119012	0.000000	0.000001
RBCK1	3.255243	6.038606	0.000000	0.000002
BOLA1	3.246084	6.017984	0.000000	0.000003
TTI2	3.243003	6.011048	0.000000	0.000003
HIST1H4B	3.236344	5.996055	0.000000	0.000003
PFN1	3.225575	5.971805	0.000000	0.000003
HIST2H2AB	3.224045	5.968361	0.000000	0.000003
RHOB	3.215362	5.948810	0.000000	0.000003
UBC	3.197630	5.908883	0.000000	0.000004
HEXIM1	3.142671	5.785137	0.000000	0.000009
PKM	3.128867	5.754057	0.000000	0.000010
PLEKHG2	3.124352	5.743889	0.000000	0.000010
