g.name	raw.score	z.score	p.value	q.value
POLR1D	4.076771	8.428095	0.000000	0.000000
BCL2L1	3.970881	8.163906	0.000000	0.000000
MAP7	3.759009	7.635299	0.000000	0.000000
CCDC186	3.736509	7.579161	0.000000	0.000000
MRS2	3.698467	7.484249	0.000000	0.000000
FAM228B	3.641148	7.341243	0.000000	0.000000
XKR7	3.640901	7.340625	0.000000	0.000000
LEMD3	3.639622	7.337434	0.000000	0.000000
ID1	3.516689	7.030723	0.000000	0.000000
SF3B6	3.496661	6.980754	0.000000	0.000000
DFFB	3.468429	6.910319	0.000000	0.000000
SERPINI1	3.465009	6.901786	0.000000	0.000000
LRRC8B	3.460242	6.889891	0.000000	0.000000
LNX2	3.451234	6.867418	0.000000	0.000000
FAM84B	3.433777	6.823864	0.000000	0.000000
ANKS1A	3.339806	6.589411	0.000000	0.000000
CEP104	3.310094	6.515281	0.000000	0.000000
C2orf15	3.278504	6.436466	0.000000	0.000000
AC079447.1	3.278504	6.436466	0.000000	0.000000
GSK3A	3.263090	6.398009	0.000000	0.000000
DLL4	3.247145	6.358228	0.000000	0.000001
PDCD10	3.175039	6.178328	0.000000	0.000002
EPS8L2	3.158920	6.138110	0.000000	0.000002
LRBA	3.158183	6.136273	0.000000	0.000002
TAF3	3.132271	6.071622	0.000000	0.000003
RIPK4	3.100616	5.992647	0.000000	0.000005
CYB5A	3.070133	5.916592	0.000000	0.000007
PARD6B	3.064588	5.902758	0.000000	0.000007
MFSD3	2.997577	5.735570	0.000000	0.000019
PTEN	2.987840	5.711277	0.000000	0.000021
ABHD18	2.974915	5.679030	0.000000	0.000025
SLC25A51	2.959609	5.640841	0.000000	0.000030
EXD2	2.941499	5.595658	0.000000	0.000036
MTIF3	2.939385	5.590383	0.000000	0.000036
IQANK1	2.938892	5.589155	0.000000	0.000036
FHDC1	2.894610	5.478674	0.000000	0.000065
F11R	2.841988	5.347386	0.000000	0.000129
CDS1	2.790074	5.217863	0.000000	0.000250
JRK	2.776671	5.184423	0.000001	0.000290
GNG8	2.772384	5.173726	0.000001	0.000299
TESK1	2.769732	5.167109	0.000001	0.000302
GDAP1	2.754767	5.129772	0.000001	0.000357
ACP1	2.711205	5.021089	0.000001	0.000606
KLLN	2.706869	5.010271	0.000001	0.000620
HSP90AA1	2.704812	5.005139	0.000001	0.000620
NMRK1	2.704077	5.003305	0.000001	0.000620
NIPAL3	2.680368	4.944151	0.000002	0.000815
FAM83H	2.628726	4.815308	0.000004	0.001497
DMGDH	2.571928	4.673601	0.000007	0.002833
FGD4	2.571434	4.672368	0.000007	0.002833
PPM1B	2.567033	4.661388	0.000008	0.002925
WDR20	2.553576	4.627813	0.000009	0.003354
FUCA1	2.533936	4.578812	0.000011	0.004124
GRK1	2.530812	4.571019	0.000012	0.004196
HOOK1	2.528806	4.566013	0.000012	0.004217
JPH1	2.517210	4.537083	0.000014	0.004726
AC010616.1	2.513916	4.528863	0.000014	0.004821
ACTB	2.499636	4.493235	0.000016	0.005565
SWSAP1	2.491050	4.471816	0.000018	0.006024
SCNN1G	2.482935	4.451569	0.000020	0.006479
FBXL19	2.481562	4.448143	0.000020	0.006479
SPIN1	2.479827	4.443814	0.000021	0.006500
BTBD17	2.477533	4.438091	0.000021	0.006563
KIFC2	2.474682	4.430978	0.000022	0.006669
CAMK2N1	2.470576	4.420732	0.000023	0.006842
TMEM165	2.469622	4.418353	0.000023	0.006842
NBPF1	2.464119	4.404625	0.000024	0.007074
POU4F1	2.463839	4.403924	0.000025	0.007074
ZFP62	2.462602	4.400838	0.000025	0.007074
IRF6	2.454675	4.381062	0.000027	0.007607
PIP4K2C	2.437757	4.338851	0.000033	0.009017
