g.name	raw.score	z.score	p.value	q.value
DUSP1	17.219063	20.503416	0.000000	0.000000
ZFP36	13.913801	16.356171	0.000000	0.000000
KRT86	11.259387	13.025572	0.000000	0.000000
DDIT4	10.608654	12.209070	0.000000	0.000000
ID1	10.492527	12.063361	0.000000	0.000000
FTH1	9.896825	11.315910	0.000000	0.000000
PLEKHG2	9.610685	10.956879	0.000000	0.000000
KRT7	9.232271	10.482067	0.000000	0.000000
CEBPB	7.928054	8.845614	0.000000	0.000000
RHOB	7.496678	8.304349	0.000000	0.000000
WDR74	6.953920	7.623329	0.000000	0.000000
EIF1	6.864283	7.510858	0.000000	0.000000
MAT2A	6.795283	7.424280	0.000000	0.000000
RPS16	6.761071	7.381353	0.000000	0.000000
FOSL2	6.737791	7.352144	0.000000	0.000000
RCC1	6.633495	7.221279	0.000000	0.000000
NFKBIA	6.520763	7.079829	0.000000	0.000000
SUPT5H	6.405798	6.935578	0.000000	0.000000
FTL	6.268293	6.763046	0.000000	0.000000
TMSB10	6.218336	6.700362	0.000000	0.000000
SERPINE1	6.174886	6.645844	0.000000	0.000000
AKR1B10	6.171950	6.642160	0.000000	0.000000
ZBTB4	6.070834	6.515285	0.000000	0.000000
TRABD2A	6.043272	6.480702	0.000000	0.000000
POLR2A	6.039746	6.476278	0.000000	0.000000
KRT8	6.034384	6.469550	0.000000	0.000000
UBC	6.023288	6.455627	0.000000	0.000000
ZNFX1	5.858069	6.248321	0.000000	0.000001
KRT18	5.802125	6.178125	0.000000	0.000001
ERRFI1	5.765783	6.132526	0.000000	0.000002
ZFAND5	5.709128	6.061438	0.000000	0.000003
RPL13A	5.671698	6.014473	0.000000	0.000003
KLF6	5.632284	5.965019	0.000000	0.000004
ZFP36L2	5.629118	5.961047	0.000000	0.000004
IGFBP4	5.620380	5.950083	0.000000	0.000005
HIST2H2BE	5.572101	5.889505	0.000000	0.000006
SAT1	5.479009	5.772699	0.000000	0.000012
RPS19	5.458515	5.746985	0.000000	0.000014
HEXIM1	5.386447	5.656558	0.000000	0.000023
NEK8	5.376093	5.643566	0.000000	0.000024
HIST2H2AC	5.373744	5.640619	0.000000	0.000024
AMIGO2	5.296213	5.543338	0.000000	0.000040
RPS9	5.259816	5.497669	0.000000	0.000051
PCED1B	5.224220	5.453006	0.000000	0.000063
SERTAD1	5.209400	5.434410	0.000000	0.000068
PYGB	5.197650	5.419666	0.000000	0.000072
ZC3H12A	5.164976	5.378669	0.000000	0.000088
RPS11	5.152466	5.362973	0.000000	0.000094
PFN1	5.108554	5.307874	0.000000	0.000124
PON2	5.100021	5.297168	0.000000	0.000128
MT2A	5.096043	5.292177	0.000000	0.000129
RPL23A	5.009992	5.184205	0.000001	0.000223
SRSF2	4.984275	5.151936	0.000001	0.000258
EIF4A1	4.945871	5.103749	0.000001	0.000325
C19orf33	4.937025	5.092650	0.000001	0.000333
YWHAQ	4.936252	5.091679	0.000001	0.000333
ENO3	4.902823	5.049735	0.000001	0.000405
SF3B6	4.893957	5.038611	0.000001	0.000421
LAMA5	4.840337	4.971332	0.000002	0.000579
FAM228B	4.837568	4.967857	0.000002	0.000580
TTI2	4.800836	4.921768	0.000002	0.000716
GSK3A	4.757479	4.867366	0.000003	0.000919
RBCK1	4.699908	4.795130	0.000004	0.001283
TRNP1	4.673731	4.762284	0.000005	0.001469
WDR81	4.671089	4.758969	0.000005	0.001469
SOX12	4.669519	4.757000	0.000005	0.001469
ZBTB37	4.643969	4.724941	0.000006	0.001684
TSKU	4.598290	4.667626	0.000007	0.002146
C11orf98	4.597908	4.667146	0.000007	0.002146
POLR2L	4.590471	4.657815	0.000008	0.002195
AP001458.2	4.589164	4.656174	0.000008	0.002195
RPLP1	4.578862	4.643249	0.000008	0.002298
GAPDH	4.576055	4.639726	0.000008	0.002304
CSKMT	4.570397	4.632627	0.000009	0.002349
ID3	4.534656	4.587782	0.000011	0.002850
USP3	4.527789	4.579165	0.000011	0.002926
SREBF1	4.522937	4.573077	0.000011	0.002969
BOLA1	4.512699	4.560231	0.000012	0.003108
HIST2H2AB	4.492404	4.534766	0.000014	0.003446
HNRNPL	4.485939	4.526654	0.000014	0.003530
CD68	4.476292	4.514550	0.000015	0.003683
PKM	4.468445	4.504704	0.000016	0.003803
AC073283.3	4.465123	4.500536	0.000016	0.003828
DUSP5	4.459585	4.493586	0.000016	0.003903
CLCF1	4.451913	4.483960	0.000017	0.004027
RPL13	4.444040	4.474082	0.000018	0.004160
JUNB	4.439644	4.468566	0.000018	0.004215
MCL1	4.426220	4.451723	0.000020	0.004492
TSPAN4	4.409843	4.431173	0.000022	0.004866
RPL23	4.407238	4.427905	0.000022	0.004883
POLDIP3	4.393530	4.410705	0.000024	0.005210
UNK	4.341042	4.344846	0.000032	0.006844
CALM2	4.339910	4.343425	0.000032	0.006844
AC135178.2	4.292145	4.283494	0.000041	0.008769
SNAPC5	4.286383	4.276263	0.000043	0.008949
LDHA	4.273426	4.260005	0.000046	0.009492
CAPNS1	4.262987	4.246907	0.000048	0.009933
