g.name	raw.score	z.score	p.value	q.value
TAF12	8.064418	12.892068	0.000000	0.000000
SULT2A1	7.564442	12.000705	0.000000	0.000000
SLC6A9	7.009526	11.011395	0.000000	0.000000
HIST1H4A	6.850811	10.728436	0.000000	0.000000
THUMPD1	6.071815	9.339633	0.000000	0.000000
P2RX6	6.065470	9.328320	0.000000	0.000000
FPR3	6.019133	9.245709	0.000000	0.000000
SEPT5-GP1BB	5.918659	9.066583	0.000000	0.000000
TXNRD2	5.691590	8.661763	0.000000	0.000000
ZKSCAN3	5.681888	8.644465	0.000000	0.000000
HES1	5.418843	8.175507	0.000000	0.000000
HIST1H2AD	5.269880	7.909932	0.000000	0.000000
BCR	5.244185	7.864124	0.000000	0.000000
SLC7A4	5.186104	7.760577	0.000000	0.000000
HIST1H3A	5.162763	7.718964	0.000000	0.000000
C6orf47	5.068795	7.551437	0.000000	0.000000
IL1R1	5.053213	7.523657	0.000000	0.000000
AL031777.3	5.007968	7.442993	0.000000	0.000000
RANBP1	4.998353	7.425853	0.000000	0.000000
RPL36	4.996337	7.422258	0.000000	0.000000
DDAH2	4.981277	7.395409	0.000000	0.000000
NXF3	4.967631	7.371079	0.000000	0.000000
ZFP36	4.936851	7.316206	0.000000	0.000000
HIST1H2BF	4.882233	7.218832	0.000000	0.000000
NUP214	4.857309	7.174397	0.000000	0.000000
HEPACAM2	4.823896	7.114827	0.000000	0.000000
HIST1H4K	4.814819	7.098646	0.000000	0.000000
MAMSTR	4.799012	7.070464	0.000000	0.000000
WDR78	4.776892	7.031028	0.000000	0.000000
SUSD1	4.771598	7.021591	0.000000	0.000000
GAMT	4.763486	7.007128	0.000000	0.000000
WDR31	4.752916	6.988283	0.000000	0.000000
MIER1	4.687213	6.871148	0.000000	0.000000
ZBTB22	4.664635	6.830895	0.000000	0.000000
MTHFR	4.551052	6.628399	0.000000	0.000000
GDF15	4.474851	6.492547	0.000000	0.000000
ZNF280A	4.416851	6.389144	0.000000	0.000000
KRT10	4.374530	6.313693	0.000000	0.000000
ZMYND8	4.357245	6.282877	0.000000	0.000001
TOR1AIP2	4.353349	6.275932	0.000000	0.000001
AIF1	4.346731	6.264132	0.000000	0.000001
AIF1L	4.324570	6.224624	0.000000	0.000001
FTH1	4.295365	6.172557	0.000000	0.000001
FIBCD1	4.281124	6.147169	0.000000	0.000001
FAM78A	4.278458	6.142414	0.000000	0.000001
SET	4.259197	6.108076	0.000000	0.000001
ARVCF	4.244225	6.081384	0.000000	0.000002
MAPK1	4.171743	5.952162	0.000000	0.000003
HDDC2	4.164225	5.938759	0.000000	0.000004
TOP3B	4.141526	5.898291	0.000000	0.000004
RWDD2B	4.118104	5.856534	0.000000	0.000006
IGLL5	4.112659	5.846826	0.000000	0.000006
F2RL3	4.089108	5.804840	0.000000	0.000007
FADS1	4.084779	5.797122	0.000000	0.000007
RAB32	4.076153	5.781742	0.000000	0.000008
GPT	4.039141	5.715757	0.000000	0.000011
HIST1H4B	4.034466	5.707423	0.000000	0.000012
ZNF77	4.029855	5.699203	0.000000	0.000012
CPED1	4.028859	5.697427	0.000000	0.000012
COMT	3.995614	5.638158	0.000000	0.000017
RECQL4	3.950723	5.558125	0.000000	0.000026
AC011499.1	3.938835	5.536931	0.000000	0.000028
YPEL1	3.919253	5.502020	0.000000	0.000034
CANT1	3.910064	5.485638	0.000000	0.000036
HOXB4	3.904739	5.476144	0.000000	0.000038
STRIP2	3.902185	5.471590	0.000000	0.000038
PBX2	3.879486	5.431123	0.000000	0.000047
ARID1A	3.869044	5.412507	0.000000	0.000051
PPIL2	3.861020	5.398201	0.000000	0.000054
DGCR8	3.856048	5.389338	0.000000	0.000056
HIST3H2BB	3.808731	5.304980	0.000000	0.000087
NAA11	3.791831	5.274851	0.000000	0.000100
BRD2	3.780884	5.255333	0.000000	0.000110
DDX39B	3.774088	5.243219	0.000000	0.000115
IFNGR1	3.763767	5.224818	0.000000	0.000125
FAM155A	3.750104	5.200460	0.000001	0.000140
CYP3A43	3.747614	5.196021	0.000001	0.000142
MAD2L1BP	3.739012	5.180684	0.000001	0.000151
TANGO2	3.701341	5.113524	0.000001	0.000211
EDARADD	3.686956	5.087878	0.000001	0.000237
KMT5A	3.685912	5.086016	0.000001	0.000237
ESYT2	3.676008	5.068360	0.000001	0.000255
FMC1	3.675285	5.067071	0.000001	0.000255
NDUFS2	3.666225	5.050918	0.000001	0.000272
CD14	3.665438	5.049515	0.000001	0.000272
RTN4	3.649373	5.020875	0.000001	0.000310
MRPL40	3.645502	5.013973	0.000001	0.000318
DNASE2	3.634024	4.993510	0.000002	0.000348
SDF2L1	3.619084	4.966876	0.000002	0.000390
LAMC3	3.618667	4.966131	0.000002	0.000390
GALNT5	3.616715	4.962651	0.000002	0.000392
PLEKHA4	3.608321	4.947687	0.000002	0.000417
CCDC12	3.607382	4.946012	0.000002	0.000417
ZNF184	3.570088	4.879525	0.000003	0.000571
ELOF1	3.554675	4.852045	0.000003	0.000646
ZNF280B	3.508618	4.769936	0.000005	0.000949
IRF1	3.507510	4.767960	0.000005	0.000949
MFSD11	3.503068	4.760041	0.000005	0.000975
TUBB2A	3.501912	4.757979	0.000005	0.000975
DYRK1A	3.497390	4.749917	0.000005	0.001003
LRRC14	3.483936	4.725931	0.000006	0.001112
FAM53C	3.469398	4.700012	0.000006	0.001244
HOXB9	3.464369	4.691048	0.000007	0.001285
AC073111.5	3.460281	4.683759	0.000007	0.001317
IRF2BP2	3.457020	4.677946	0.000007	0.001341
SLC2A1	3.452843	4.670499	0.000007	0.001375
KCNH2	3.447068	4.660203	0.000008	0.001429
CITED4	3.443815	4.654404	0.000008	0.001455
ID1	3.440900	4.649206	0.000008	0.001472
PPP1R42	3.440161	4.647888	0.000008	0.001472
BANP	3.431341	4.632165	0.000009	0.001569
HIST1H3D	3.430120	4.629989	0.000009	0.001571
SH3BGRL3	3.419446	4.610958	0.000010	0.001695
HIST1H2BJ	3.418731	4.609683	0.000010	0.001695
RCSD1	3.411092	4.596065	0.000010	0.001789
PIK3CG	3.410056	4.594218	0.000010	0.001789
UBE2H	3.408739	4.591869	0.000011	0.001793
PFKFB2	3.406410	4.587717	0.000011	0.001812
SEPT5	3.398442	4.573511	0.000011	0.001917
RAB36	3.369124	4.521244	0.000015	0.002412
WTAP	3.364378	4.512781	0.000015	0.002485
TSPAN33	3.357068	4.499750	0.000016	0.002614
CRKL	3.352361	4.491359	0.000017	0.002692
HIST1H2AG	3.343382	4.475349	0.000018	0.002852
HIST1H4I	3.343141	4.474920	0.000018	0.002852
ZNF627	3.339422	4.468290	0.000018	0.002914
MAP1LC3B	3.332129	4.455287	0.000020	0.003064
PIPOX	3.325920	4.444218	0.000021	0.003193
PRKAR2B	3.320386	4.434352	0.000021	0.003310
AC021097.2	3.311928	4.419273	0.000023	0.003512
RAB34	3.300313	4.398567	0.000025	0.003818
MTPN	3.291438	4.382743	0.000027	0.004062
HLA-DMA	3.283293	4.368223	0.000029	0.004281
AL139142.2	3.282771	4.367292	0.000029	0.004281
SAPCD2	3.275920	4.355078	0.000030	0.004477
SERPIND1	3.274233	4.352071	0.000031	0.004477
LRRC61	3.274161	4.351942	0.000031	0.004477
DCAF6	3.266434	4.338166	0.000033	0.004719
DCTN4	3.258225	4.323531	0.000035	0.004991
GLRX2	3.253566	4.315226	0.000036	0.005107
ZNF837	3.253398	4.314925	0.000036	0.005107
HIST3H2A	3.233478	4.279412	0.000042	0.005907
VILL	3.230153	4.273484	0.000043	0.006016
GSTT4	3.228442	4.270434	0.000044	0.006020
YDJC	3.227414	4.268601	0.000044	0.006020
PRELID2	3.227349	4.268486	0.000044	0.006020
HOXC9	3.225566	4.265307	0.000045	0.006061
AMN1	3.212522	4.242052	0.000049	0.006645
SLC4A2	3.209655	4.236940	0.000050	0.006745
SH3BGR	3.207703	4.233460	0.000051	0.006778
QRFP	3.207253	4.232658	0.000051	0.006778
EFCAB2	3.203647	4.226228	0.000053	0.006919
ANKRD45	3.193084	4.207398	0.000057	0.007442
