g.name	raw.score	z.score	p.value	q.value
ANKRD63	4.663733	11.122492	0.000000	0.000000
CLPB	4.654778	11.099872	0.000000	0.000000
ATP23	4.593933	10.946186	0.000000	0.000000
CHIT1	4.493456	10.692391	0.000000	0.000000
ASPG	4.421833	10.511482	0.000000	0.000000
CEBPE	4.309889	10.228724	0.000000	0.000000
ID1	4.236000	10.042090	0.000000	0.000000
SLC12A5	4.178889	9.897834	0.000000	0.000000
EPHB3	4.015456	9.485021	0.000000	0.000000
FLYWCH1	4.005233	9.459201	0.000000	0.000000
TTF2	3.933178	9.277197	0.000000	0.000000
FAM189B	3.782333	8.896183	0.000000	0.000000
WDR38	3.769944	8.864890	0.000000	0.000000
U2AF2	3.746267	8.805083	0.000000	0.000000
CCDC85A	3.743244	8.797449	0.000000	0.000000
DTL	3.698811	8.685216	0.000000	0.000000
TMEM161A	3.681844	8.642360	0.000000	0.000000
INTS7	3.666789	8.604331	0.000000	0.000000
SOCS1	3.640222	8.537227	0.000000	0.000000
TPBGL	3.603844	8.445341	0.000000	0.000000
CKAP2	3.574233	8.370547	0.000000	0.000000
PRICKLE4	3.572067	8.365075	0.000000	0.000000
SLC17A7	3.565011	8.347253	0.000000	0.000000
TOMM6	3.489367	8.156184	0.000000	0.000000
MRGBP	3.478644	8.129101	0.000000	0.000000
CD63	3.467533	8.101036	0.000000	0.000000
SRGAP1	3.461567	8.085965	0.000000	0.000000
PSMD6	3.442911	8.038843	0.000000	0.000000
LRIG2	3.367800	7.849122	0.000000	0.000000
AC026316.5	3.242411	7.532405	0.000000	0.000000
AL021546.1	3.235989	7.516183	0.000000	0.000000
CLDN11	3.228400	7.497014	0.000000	0.000000
CEACAM19	3.201189	7.428282	0.000000	0.000000
KMT5B	3.197189	7.418179	0.000000	0.000000
NCF4	3.173700	7.358849	0.000000	0.000000
EPOP	3.165233	7.337463	0.000000	0.000000
TMEM170A	3.120367	7.224135	0.000000	0.000000
ABHD14A-ACY1	3.119478	7.221890	0.000000	0.000000
ERCC4	3.117556	7.217035	0.000000	0.000000
PHLDA2	3.068000	7.091863	0.000000	0.000000
ABTB2	3.032989	7.003429	0.000000	0.000000
AMPD3	3.017511	6.964334	0.000000	0.000000
RNASE11	2.990789	6.896837	0.000000	0.000000
TRMO	2.982489	6.875873	0.000000	0.000000
FAM129A	2.952278	6.799563	0.000000	0.000000
SARS2	2.899300	6.665747	0.000000	0.000000
WNT3A	2.890589	6.643744	0.000000	0.000000
RPL23A	2.887600	6.636195	0.000000	0.000000
RABAC1	2.846511	6.532409	0.000000	0.000000
PNPO	2.837944	6.510771	0.000000	0.000000
STAT6	2.835467	6.504512	0.000000	0.000000
PRMT3	2.827922	6.485456	0.000000	0.000000
MTFR1L	2.825556	6.479478	0.000000	0.000000
TUBA4A	2.820922	6.467775	0.000000	0.000000
GP1BB	2.785467	6.378218	0.000000	0.000000
CHRDL2	2.782456	6.370613	0.000000	0.000000
TNFRSF14	2.780100	6.364663	0.000000	0.000000
GRK6	2.771556	6.343081	0.000000	0.000000
GGT7	2.764022	6.324052	0.000000	0.000000
ESYT1	2.751800	6.293180	0.000000	0.000000
TUBB4B	2.727133	6.230875	0.000000	0.000000
ADIRF	2.726444	6.229135	0.000000	0.000000
TRIM40	2.714267	6.198376	0.000000	0.000001
ARMC12	2.707422	6.181087	0.000000	0.000001
CAMK2N1	2.706389	6.178477	0.000000	0.000001
SOST	2.701689	6.166606	0.000000	0.000001
KRT9	2.700189	6.162817	0.000000	0.000001
KIAA1671	2.681767	6.116285	0.000000	0.000001
PIP4K2C	2.678322	6.107584	0.000000	0.000001
ARTN	2.657544	6.055102	0.000000	0.000001
COX6A1	2.642922	6.018168	0.000000	0.000002
ARL2-SNX15	2.634789	5.997624	0.000000	0.000002
C16orf86	2.622433	5.966416	0.000000	0.000002
VEGFA	2.617278	5.953394	0.000000	0.000002
FMO5	2.616700	5.951934	0.000000	0.000002
TIMP3	2.609656	5.934141	0.000000	0.000002
RAMP1	2.605956	5.924795	0.000000	0.000002
SSH2	2.603356	5.918228	0.000000	0.000002
PRKCE	2.598889	5.906945	0.000000	0.000003
TEX12	2.596167	5.900069	0.000000	0.000003
CCDC124	2.593244	5.892688	0.000000	0.000003
ADM5	2.593222	5.892632	0.000000	0.000003
POLR3D	2.591444	5.888142	0.000000	0.000003
DNAH7	2.589600	5.883483	0.000000	0.000003
CXCL17	2.588156	5.879834	0.000000	0.000003
AOC3	2.586011	5.874418	0.000000	0.000003
ATP1B3	2.583500	5.868075	0.000000	0.000003
FOXF2	2.575111	5.846886	0.000000	0.000003
MGRN1	2.574378	5.845033	0.000000	0.000003
NEUROG2	2.572256	5.839673	0.000000	0.000003
FMNL3	2.567611	5.827942	0.000000	0.000004
CDK9	2.563733	5.818147	0.000000	0.000004
MTMR6	2.552356	5.789408	0.000000	0.000004
DLG4	2.542522	5.764570	0.000000	0.000005
C3orf18	2.541244	5.761343	0.000000	0.000005
FGF1	2.538889	5.755393	0.000000	0.000005
C12orf57	2.531133	5.735803	0.000000	0.000006
RGMB	2.530567	5.734372	0.000000	0.000006
ARL2	2.527967	5.727804	0.000000	0.000006
FEM1A	2.522978	5.715203	0.000000	0.000006
LMO1	2.522122	5.713042	0.000000	0.000006
AP001781.2	2.508244	5.677989	0.000000	0.000008
KIF1B	2.503744	5.666622	0.000000	0.000008
INSM1	2.502822	5.664293	0.000000	0.000008
IGFBP3	2.489778	5.631344	0.000000	0.000010
NEURL3	2.480489	5.607881	0.000000	0.000011
G3BP2	2.479789	5.606113	0.000000	0.000011
USO1	2.471489	5.585148	0.000000	0.000012
TRIM46	2.468678	5.578048	0.000000	0.000013
MIP	2.466956	5.573698	0.000000	0.000013
NAXE	2.466811	5.573333	0.000000	0.000013
KLHDC8B	2.460389	5.557111	0.000000	0.000014
PHLPP1	2.458378	5.552031	0.000000	0.000014
TRPV6	2.454911	5.543275	0.000000	0.000015
FAM129B	2.452511	5.537213	0.000000	0.000015
BCL11B	2.446233	5.521356	0.000000	0.000016
AL163195.3	2.444089	5.515939	0.000000	0.000017
ZFP62	2.441267	5.508811	0.000000	0.000017
AL020996.2	2.431056	5.483019	0.000000	0.000020
NBPF1	2.426567	5.471680	0.000000	0.000021
TRIM56	2.421889	5.459865	0.000000	0.000022
IKZF2	2.417389	5.448498	0.000000	0.000023
CAVIN3	2.403511	5.413445	0.000000	0.000028
NRSN2	2.403289	5.412884	0.000000	0.000028
