g.name	raw.score	z.score	p.value	q.value
VAMP2	65.111234	27.507933	0.000000	0.000000
CUBN	59.074385	24.868181	0.000000	0.000000
C2orf91	58.010636	24.403032	0.000000	0.000000
SH3RF2	56.794535	23.871264	0.000000	0.000000
GATA6	52.548917	22.014769	0.000000	0.000000
GUCY1A1	47.697420	19.893341	0.000000	0.000000
MEOX1	40.939516	16.938291	0.000000	0.000000
PPP1R3G	39.399856	16.265039	0.000000	0.000000
VAX1	36.216987	14.873256	0.000000	0.000000
PDXK	33.912188	13.865429	0.000000	0.000000
HEXIM1	31.282752	12.715648	0.000000	0.000000
CALM1	30.614228	12.423320	0.000000	0.000000
RPS24	29.931540	12.124799	0.000000	0.000000
B3GLCT	29.694138	12.020989	0.000000	0.000000
FAF1	28.677626	11.576496	0.000000	0.000000
FAM118A	27.568989	11.091719	0.000000	0.000000
PYGO2	26.852990	10.778632	0.000000	0.000000
PKP2	26.780744	10.747041	0.000000	0.000000
LTBP4	26.556166	10.648839	0.000000	0.000000
B9D2	25.858528	10.343780	0.000000	0.000000
EPHB4	25.080537	10.003586	0.000000	0.000000
SNCA	24.170336	9.605579	0.000000	0.000000
FAM57A	23.608030	9.359698	0.000000	0.000000
PSMB9	23.575356	9.345411	0.000000	0.000000
CLYBL	23.569259	9.342745	0.000000	0.000000
HOXA4	23.174494	9.170125	0.000000	0.000000
AC008982.1	23.077323	9.127634	0.000000	0.000000
FLOT1	23.034833	9.109054	0.000000	0.000000
LHFPL2	23.003056	9.095159	0.000000	0.000000
HOXD3	22.820680	9.015411	0.000000	0.000000
SLC11A2	22.600715	8.919226	0.000000	0.000000
TMEM136	22.587009	8.913233	0.000000	0.000000
TMEM141	22.528357	8.887586	0.000000	0.000000
CCDC200	22.473609	8.863646	0.000000	0.000000
CCS	22.426742	8.843153	0.000000	0.000000
LIN37	22.351393	8.810205	0.000000	0.000000
ZNF629	22.329763	8.800746	0.000000	0.000000
AL355987.3	22.237976	8.760610	0.000000	0.000000
CDKN2C	21.292135	8.347020	0.000000	0.000000
WDR41	21.207889	8.310181	0.000000	0.000000
RPS16	21.156960	8.287911	0.000000	0.000000
MED13	21.126421	8.274557	0.000000	0.000000
ULBP3	21.062838	8.246754	0.000000	0.000000
ZC3H10	21.035844	8.234950	0.000000	0.000000
ESYT1	21.004731	8.221345	0.000000	0.000000
TCF7L2	20.974024	8.207918	0.000000	0.000000
SLC16A12	20.723178	8.098230	0.000000	0.000000
TMEM233	20.694745	8.085797	0.000000	0.000000
SOAT1	20.423552	7.967211	0.000000	0.000000
POLR2H	20.389174	7.952179	0.000000	0.000000
PRRC2B	20.007114	7.785114	0.000000	0.000000
HOXB4	19.749695	7.672552	0.000000	0.000000
FAM174B	19.457792	7.544911	0.000000	0.000000
MRI1	19.366579	7.505026	0.000000	0.000000
DYNC1I1	19.220071	7.440962	0.000000	0.000000
ARHGAP45	18.640196	7.187398	0.000000	0.000000
PRXL2A	18.425513	7.093523	0.000000	0.000000
C1orf185	18.207751	6.998301	0.000000	0.000000
STX5	18.109009	6.955124	0.000000	0.000000
AC012531.2	18.011394	6.912440	0.000000	0.000000
DDI2	17.920319	6.872615	0.000000	0.000000
AC025165.3	17.835979	6.835735	0.000000	0.000000
SPRR2F	17.747242	6.796933	0.000000	0.000000
ETFA	17.643387	6.751520	0.000000	0.000000
POLG2	17.540993	6.706746	0.000000	0.000000
RNF187	17.415713	6.651964	0.000000	0.000000
HELB	17.380937	6.636758	0.000000	0.000000
AGAP2	17.224432	6.568322	0.000000	0.000000
PEX12	17.016667	6.477472	0.000000	0.000000
GABARAP	16.939153	6.443578	0.000000	0.000000
LYPD3	16.910621	6.431102	0.000000	0.000000
THNSL1	16.829045	6.395430	0.000000	0.000000
PSG1	16.465327	6.236386	0.000000	0.000000
HOXC12	16.281810	6.156139	0.000000	0.000001
RPL41	16.271285	6.151537	0.000000	0.000001
ARRB2	16.139021	6.093701	0.000000	0.000001
GRXCR2	15.808236	5.949058	0.000000	0.000002
CCNB1IP1	15.686947	5.896021	0.000000	0.000003
OGT	15.669253	5.888285	0.000000	0.000003
EIF5	15.649327	5.879571	0.000000	0.000003
TPM1	15.601588	5.858696	0.000000	0.000003
ATL3	15.515077	5.820867	0.000000	0.000004
HIST1H1A	15.483993	5.807275	0.000000	0.000004
OCLN	15.430523	5.783894	0.000000	0.000005
FNIP2	15.363498	5.754586	0.000000	0.000006
GRIP1	15.355245	5.750977	0.000000	0.000006
CLCN2	15.006835	5.598627	0.000000	0.000014
METTL1	14.896744	5.550487	0.000000	0.000018
GTPBP3	14.886996	5.546224	0.000000	0.000018
