g.name	raw.score	z.score	p.value	q.value
PLCD3	9.253666	8.936382	0.000000	0.000000
FRS3	8.106657	7.668491	0.000000	0.000000
NDUFA4L2	7.962767	7.509437	0.000000	0.000000
TM7SF2	7.748075	7.272119	0.000000	0.000000
CCDC59	7.627650	7.139002	0.000000	0.000000
MECOM	7.537857	7.039746	0.000000	0.000000
TOMM6	7.527530	7.028330	0.000000	0.000000
ASB6	7.387949	6.874039	0.000000	0.000000
KDM3B	7.368213	6.852223	0.000000	0.000000
AQP6	7.345661	6.827294	0.000000	0.000000
PDE4A	7.345502	6.827119	0.000000	0.000000
ABCA3	7.306951	6.784505	0.000000	0.000000
RPL26	7.184954	6.649651	0.000000	0.000000
C1QL4	7.144919	6.605397	0.000000	0.000000
PDS5A	7.062730	6.514546	0.000000	0.000000
DHRS13	6.923331	6.360455	0.000000	0.000001
AC135178.2	6.799622	6.223710	0.000000	0.000002
METTL25	6.784571	6.207073	0.000000	0.000002
VPS36	6.769864	6.190815	0.000000	0.000002
MYC	6.690537	6.103128	0.000000	0.000003
KCNH1	6.559731	5.958537	0.000000	0.000007
COMTD1	6.552748	5.950818	0.000000	0.000007
AL590132.1	6.442131	5.828543	0.000000	0.000015
TESK1	6.413698	5.797114	0.000000	0.000017
RADIL	6.380369	5.760272	0.000000	0.000020
FIBP	6.262659	5.630156	0.000000	0.000040
AC037459.1	6.198195	5.558899	0.000000	0.000057
ARHGAP22	6.144469	5.499511	0.000000	0.000077
EXT2	6.130222	5.483763	0.000000	0.000081
ZNF219	6.102770	5.453417	0.000000	0.000092
STK17A	6.093882	5.443592	0.000000	0.000094
REX1BD	6.082121	5.430592	0.000000	0.000095
NFKB2	6.081511	5.429918	0.000000	0.000095
EGR1	6.031616	5.374764	0.000000	0.000125
SNAPC5	6.016897	5.358494	0.000000	0.000132
DAND5	6.008136	5.348809	0.000000	0.000135
FAM241B	6.004332	5.344605	0.000000	0.000135
RBM17	5.997788	5.337371	0.000000	0.000136
ARL2	5.931833	5.264465	0.000000	0.000195
GBA	5.910326	5.240692	0.000000	0.000216
GYS1	5.876164	5.202930	0.000001	0.000257
BCL2L1	5.870004	5.196120	0.000001	0.000260
NEK5	5.861546	5.186771	0.000001	0.000266
GNAI2	5.853287	5.177642	0.000001	0.000273
NEURL3	5.824194	5.145482	0.000001	0.000315
ERCC1	5.771778	5.087543	0.000001	0.000414
NEMF	5.766991	5.082251	0.000001	0.000416
SCRN2	5.724962	5.035793	0.000001	0.000516
RSAD1	5.707024	5.015964	0.000001	0.000558
CDC37	5.698357	5.006383	0.000001	0.000574
DDAH1	5.619510	4.919227	0.000002	0.000867
ARL2-SNX15	5.615719	4.915036	0.000002	0.000868
AC009163.4	5.602842	4.900803	0.000002	0.000913
LSM11	5.597375	4.894759	0.000003	0.000923
KCNJ11	5.588652	4.885117	0.000003	0.000950
TP53I3	5.575385	4.870452	0.000003	0.001003
EFHD1	5.571120	4.865737	0.000003	0.001008
MZT2A	5.545883	4.837840	0.000003	0.001134
HBQ1	5.516189	4.805017	0.000004	0.001306
FAM136A	5.503301	4.790770	0.000004	0.001375
VPS18	5.494468	4.781007	0.000004	0.001417
PRMT1	5.481065	4.766191	0.000005	0.001497
MRPS12	5.417650	4.696093	0.000006	0.002024
PCBP4	5.417245	4.695646	0.000007	0.002024
B3GALNT2	5.412564	4.690471	0.000007	0.002042
MAST1	5.409665	4.687267	0.000007	0.002042
RUVBL2	5.397040	4.673311	0.000007	0.002126
TEDC1	5.396080	4.672250	0.000007	0.002126
CENPS	5.390283	4.665843	0.000007	0.002159
SMIM12	5.385507	4.660562	0.000008	0.002181
RPL38	5.379696	4.654139	0.000008	0.002215
TRAF6	5.373955	4.647793	0.000008	0.002228
DTWD2	5.373184	4.646941	0.000008	0.002228
PCBD2	5.346511	4.617457	0.000009	0.002520
HAPLN3	5.326956	4.595841	0.000010	0.002746
CYB561D1	5.305976	4.572650	0.000011	0.003014
SLC25A51	5.296052	4.561680	0.000012	0.003115
DSCAML1	5.294263	4.559703	0.000012	0.003115
DTX4	5.291785	4.556963	0.000012	0.003115
CASKIN2	5.288136	4.552930	0.000013	0.003125
CDH22	5.286199	4.550789	0.000013	0.003125
PDE5A	5.265243	4.527624	0.000014	0.003429
DHX8	5.250441	4.511262	0.000015	0.003622
AL691442.1	5.249455	4.510172	0.000015	0.003622
PTMA	5.240002	4.499723	0.000016	0.003752
UBE3D	5.203135	4.458971	0.000019	0.004440
ZNHIT2	5.200259	4.455792	0.000019	0.004440
ARHGEF16	5.198964	4.454360	0.000020	0.004440
UPK2	5.180882	4.434373	0.000021	0.004798
CHD1L	5.176970	4.430048	0.000022	0.004836
CBX4	5.163490	4.415148	0.000023	0.005109
NPPC	5.154699	4.405430	0.000024	0.005275
FLT3LG	5.139461	4.388587	0.000026	0.005619
CACNB3	5.124039	4.371539	0.000028	0.005991
FAM3C	5.120435	4.367556	0.000029	0.006032
ARL4A	5.116683	4.363408	0.000029	0.006078
LRRC59	5.113117	4.359466	0.000030	0.006119
C18orf25	5.096077	4.340630	0.000032	0.006574
EPOR	5.078723	4.321447	0.000035	0.007054
EFNA4	5.077151	4.319710	0.000035	0.007054
KAZALD1	5.074420	4.316691	0.000036	0.007075
FBXO34	5.055339	4.295599	0.000039	0.007672
GRIN2C	5.047335	4.286751	0.000041	0.007892
ZNF639	5.043367	4.282365	0.000042	0.007957
AL355987.3	5.041519	4.280322	0.000042	0.007957
TMEM141	5.024906	4.261958	0.000045	0.008526
ANKRD46	5.010898	4.246475	0.000048	0.008882
KRTCAP2	5.010443	4.245971	0.000049	0.008882
SPECC1	5.010254	4.245762	0.000049	0.008882
MCAM	4.997487	4.231650	0.000052	0.009344
DNLZ	4.986534	4.219542	0.000054	0.009668
NECTIN2	4.986327	4.219313	0.000054	0.009668
