g.name	raw.score	z.score	p.value	q.value
TRIB1	15.314118	30.554335	0.000000	0.000000
MYC	14.743058	29.350694	0.000000	0.000000
CELSR3	8.125967	15.403641	0.000000	0.000000
C16orf92	7.585781	14.265073	0.000000	0.000000
DOC2A	7.257338	13.572803	0.000000	0.000000
SULT4A1	7.187058	13.424671	0.000000	0.000000
VGF	6.847378	12.708717	0.000000	0.000000
HS3ST2	6.748577	12.500470	0.000000	0.000000
EPHA10	6.715532	12.430821	0.000000	0.000000
TMEM121B	6.567432	12.118666	0.000000	0.000000
POU5F1B	6.415167	11.797733	0.000000	0.000000
CCDC105	6.208188	11.361476	0.000000	0.000000
MARCH9	5.868240	10.644956	0.000000	0.000000
SLC6A17	5.802050	10.505446	0.000000	0.000000
SLC12A5	5.782944	10.465177	0.000000	0.000000
BARHL1	5.661309	10.208803	0.000000	0.000000
SKOR1	5.505774	9.880975	0.000000	0.000000
ANK1	5.474907	9.815917	0.000000	0.000000
ZBTB22	5.420872	9.702024	0.000000	0.000000
LHX3	5.338407	9.528211	0.000000	0.000000
TSEN54	5.189822	9.215034	0.000000	0.000000
CHRNB2	5.111472	9.049893	0.000000	0.000000
OGFOD3	5.020034	8.857167	0.000000	0.000000
PPM1L	5.000095	8.815140	0.000000	0.000000
CDK5R2	4.945376	8.699806	0.000000	0.000000
OR4D2	4.931438	8.670430	0.000000	0.000000
MAPK11	4.924591	8.655998	0.000000	0.000000
DGAT1	4.918302	8.642743	0.000000	0.000000
ATP6V0B	4.906347	8.617545	0.000000	0.000000
SKOR2	4.896119	8.595986	0.000000	0.000000
ST8SIA3	4.843583	8.485255	0.000000	0.000000
RTN2	4.829250	8.455045	0.000000	0.000000
AC092143.1	4.817940	8.431205	0.000000	0.000000
CRH	4.764031	8.317581	0.000000	0.000000
MAPK8IP2	4.739601	8.266089	0.000000	0.000000
SLC39A3	4.692435	8.166675	0.000000	0.000000
LRIT2	4.666134	8.111241	0.000000	0.000000
TUBB3	4.657756	8.093580	0.000000	0.000000
SCG3	4.646381	8.069607	0.000000	0.000000
TMEM179	4.640958	8.058177	0.000000	0.000000
KCNH4	4.621594	8.017362	0.000000	0.000000
AC006538.2	4.604334	7.980983	0.000000	0.000000
CELF4	4.583131	7.936293	0.000000	0.000000
CHGB	4.498119	7.757110	0.000000	0.000000
HHATL	4.475696	7.709847	0.000000	0.000000
RTEL1-TNFRSF6B	4.449644	7.654936	0.000000	0.000000
RUNDC3A	4.414223	7.580280	0.000000	0.000000
OGDHL	4.412878	7.577444	0.000000	0.000000
GIT1	4.409650	7.570641	0.000000	0.000000
ECSIT	4.398937	7.548061	0.000000	0.000000
BSX	4.376717	7.501227	0.000000	0.000000
SLC4A2	4.375910	7.499525	0.000000	0.000000
KCNN4	4.363658	7.473702	0.000000	0.000000
SYN1	4.313967	7.368966	0.000000	0.000000
PCSK1	4.293980	7.326839	0.000000	0.000000
IGSF9	4.280190	7.297774	0.000000	0.000000
MARCH4	4.255876	7.246527	0.000000	0.000000
ADCYAP1	4.248063	7.230058	0.000000	0.000000
PGBD5	4.241802	7.216862	0.000000	0.000000
HEXDC	4.228476	7.188775	0.000000	0.000000
SCRT2	4.219578	7.170019	0.000000	0.000000
CACNG7	4.217924	7.166534	0.000000	0.000000
CLPS	4.199292	7.127263	0.000000	0.000000
LHX5	4.160490	7.045477	0.000000	0.000000
NCAN	4.159757	7.043933	0.000000	0.000000
RAB11FIP4	4.135591	6.992997	0.000000	0.000000
RIMKLA	4.133946	6.989530	0.000000	0.000000
SRM	4.125117	6.970921	0.000000	0.000000
ZFR2	4.105561	6.929702	0.000000	0.000000
DISP2	4.097207	6.912094	0.000000	0.000000
BICDL1	4.094123	6.905594	0.000000	0.000000
KCNC1	4.007235	6.722457	0.000000	0.000000
ANKRD34C	3.973476	6.651303	0.000000	0.000000
SEZ6	3.952998	6.608140	0.000000	0.000000
CPLX3	3.950738	6.603377	0.000000	0.000000
CACNG2	3.895164	6.486243	0.000000	0.000000
SST	3.885614	6.466114	0.000000	0.000000
SLC35F1	3.878975	6.452120	0.000000	0.000000
SLC8B1	3.867913	6.428803	0.000000	0.000000
CHKB	3.863933	6.420415	0.000000	0.000000
SCN3B	3.844924	6.380350	0.000000	0.000000
CHPF	3.841074	6.372236	0.000000	0.000000
DNMT3A	3.821923	6.331869	0.000000	0.000000
SIRT6	3.814626	6.316489	0.000000	0.000000
BSN	3.814108	6.315398	0.000000	0.000000
PRSS22	3.813424	6.313957	0.000000	0.000000
UNC13A	3.800784	6.287314	0.000000	0.000000
AC010616.2	3.774371	6.231643	0.000000	0.000000
GPS2	3.771140	6.224833	0.000000	0.000000
STXBP5L	3.758001	6.197140	0.000000	0.000000
SPR	3.757822	6.196763	0.000000	0.000000
FGF18	3.754311	6.189361	0.000000	0.000000
LHFPL5	3.746248	6.172367	0.000000	0.000000
VWC2L	3.727442	6.132729	0.000000	0.000001
NMBR	3.726123	6.129949	0.000000	0.000001
IPO13	3.717368	6.111496	0.000000	0.000001
TNR	3.714334	6.105101	0.000000	0.000001
SCGN	3.712364	6.100948	0.000000	0.000001
SRRM3	3.692922	6.059970	0.000000	0.000001
MAP4K5	3.676600	6.025567	0.000000	0.000001
SMIM17	3.663739	5.998460	0.000000	0.000001
SPEF1	3.662702	5.996273	0.000000	0.000001
COL5A3	3.654478	5.978940	0.000000	0.000001
CPLX1	3.642443	5.953574	0.000000	0.000002
PRUNE2	3.636533	5.941117	0.000000	0.000002
ADAM29	3.626600	5.920180	0.000000	0.000002
NSG2	3.620442	5.907201	0.000000	0.000002
DIABLO	3.612125	5.889671	0.000000	0.000002
FBLL1	3.608989	5.883061	0.000000	0.000002
DRD2	3.595981	5.855643	0.000000	0.000003
TPH2	3.570526	5.801993	0.000000	0.000004
GPR6	3.554852	5.768956	0.000000	0.000004
CASKIN2	3.546859	5.752109	0.000000	0.000005
SMPD3	3.543160	5.744312	0.000000	0.000005
TRIM67	3.541718	5.741273	0.000000	0.000005
HMGN2	3.533071	5.723047	0.000000	0.000005
VSX1	3.529330	5.715161	0.000000	0.000005
NPTX2	3.515327	5.685648	0.000000	0.000006
BEX1	3.474690	5.599996	0.000000	0.000010
TMEM198	3.442910	5.533013	0.000000	0.000015
NXPH1	3.428819	5.503312	0.000000	0.000017
NEUROD4	3.414930	5.474037	0.000000	0.000020
RAB39A	3.409325	5.462224	0.000000	0.000021
CHGA	3.390795	5.423168	0.000000	0.000026
SLC35F2	3.384867	5.410672	0.000000	0.000028
HRH3	3.379012	5.398332	0.000000	0.000030
SRRM4	3.372768	5.385171	0.000000	0.000032
SYNJ1	3.354714	5.347118	0.000000	0.000038
DDX25	3.350344	5.337907	0.000000	0.000040
BARHL2	3.323400	5.281117	0.000000	0.000054
SEC14L5	3.312399	5.257930	0.000000	0.000060
SCRT1	3.298599	5.228842	0.000000	0.000070
IGSF9B	3.242477	5.110552	0.000001	0.000127
ANKHD1	3.241871	5.109276	0.000001	0.000127
C6orf47	3.225305	5.074360	0.000001	0.000151
