g.name	raw.score	z.score	p.value	q.value
SDF2L1	31.995739	15.257165	0.000000	0.000000
YDJC	21.820779	9.826561	0.000000	0.000000
PPM1F	20.749432	9.254759	0.000000	0.000000
NUP214	19.852105	8.775836	0.000000	0.000000
ZNF280B	19.096726	8.372673	0.000000	0.000000
ZNF280A	18.857691	8.245095	0.000000	0.000000
CCDC116	18.038326	7.807781	0.000000	0.000000
NBPF1	17.960816	7.766413	0.000000	0.000000
SNAP29	17.381274	7.457098	0.000000	0.000000
MRPL40	17.368475	7.450267	0.000000	0.000000
HSPA1B	17.144561	7.330759	0.000000	0.000000
RTL10	16.309558	6.885099	0.000000	0.000000
PPIL2	16.290141	6.874736	0.000000	0.000000
GNB1L	16.232062	6.843738	0.000000	0.000000
COMT	15.720134	6.570510	0.000000	0.000000
BCR	15.691366	6.555156	0.000000	0.000000
TXNRD2	15.671193	6.544389	0.000000	0.000000
PI4KA	15.653204	6.534788	0.000000	0.000000
TRMT2A	15.273645	6.332209	0.000000	0.000001
RAB36	15.224569	6.306016	0.000000	0.000001
CLIC1	14.982333	6.176729	0.000000	0.000002
RSPH14	14.865829	6.114549	0.000000	0.000003
HIST1H4E	14.836398	6.098841	0.000000	0.000003
FAM155A	14.640897	5.994498	0.000000	0.000005
LAMC3	14.614355	5.980331	0.000000	0.000005
MSH5-SAPCD1	14.510839	5.925083	0.000000	0.000007
MSH5	14.390862	5.861048	0.000000	0.000010
PRAME	14.287634	5.805953	0.000000	0.000013
HIST1H4I	14.268003	5.795476	0.000000	0.000013
AIF1L	14.176395	5.746582	0.000000	0.000017
DGCR8	14.017531	5.661793	0.000000	0.000027
TOP3B	13.609969	5.444268	0.000000	0.000088
LRRC74B	13.356602	5.309041	0.000000	0.000177
PRKAR2B	13.284158	5.270375	0.000000	0.000211
KLHL22	13.104427	5.174449	0.000001	0.000339
CDC45	13.044676	5.142559	0.000001	0.000389
MED15	12.790898	5.007111	0.000001	0.000752
AC007731.5	12.662987	4.938842	0.000002	0.001029
GTPBP2	12.492385	4.847789	0.000003	0.001567
YPEL1	12.468517	4.835050	0.000003	0.001626
CRKL	12.399438	4.798181	0.000004	0.001857
HIST1H3C	12.398310	4.797579	0.000004	0.001857
ARVCF	12.316371	4.753846	0.000005	0.002237
HIST1H3D	12.275370	4.731963	0.000005	0.002426
LY6G5B	12.191698	4.687305	0.000007	0.002929
IGLL5	12.151312	4.665750	0.000007	0.003170
PSMD5	12.128476	4.653562	0.000008	0.003286
KMT2E	12.042664	4.607762	0.000010	0.003979
GSC2	12.032750	4.602471	0.000010	0.003996
UFD1	12.005140	4.587735	0.000011	0.004192
TMEM167B	11.953811	4.560340	0.000012	0.004660
USP41	11.892076	4.527390	0.000014	0.005311
ADAMTS14	11.878189	4.519978	0.000015	0.005390
HIST1H2AG	11.731095	4.441471	0.000021	0.007523
CCDC71L	11.708168	4.429234	0.000022	0.007801
CREG1	11.644140	4.395061	0.000025	0.008911
HIST1H3B	11.622278	4.383393	0.000027	0.009218
