g.name	raw.score	z.score	p.value	q.value
ATG4B	13.383894	10.612318	0.000000	0.000000
IMP4	13.287654	10.530161	0.000000	0.000000
CCDC115	13.113880	10.381817	0.000000	0.000000
SLMAP	12.810124	10.122512	0.000000	0.000000
VPS35L	12.043260	9.467870	0.000000	0.000000
PTMA	12.013529	9.442489	0.000000	0.000000
FBXL19	11.748881	9.216569	0.000000	0.000000
PTPA	11.244870	8.786314	0.000000	0.000000
HCFC1	10.889938	8.483322	0.000000	0.000000
PTBP1	10.843569	8.443739	0.000000	0.000000
MPDU1	10.716104	8.334926	0.000000	0.000000
NR1H3	10.584002	8.222156	0.000000	0.000000
PHF12	10.504760	8.154510	0.000000	0.000000
ZNF143	10.182512	7.879419	0.000000	0.000000
TMEM131	10.077030	7.789373	0.000000	0.000000
SLC39A7	10.026049	7.745852	0.000000	0.000000
THAP4	9.950175	7.681082	0.000000	0.000000
HACD2	9.564334	7.351704	0.000000	0.000000
TBC1D17	9.443494	7.248547	0.000000	0.000000
DCAF6	9.416557	7.225553	0.000000	0.000000
UFD1	9.396169	7.208148	0.000000	0.000000
SLC39A9	9.384697	7.198355	0.000000	0.000000
CRAT	9.286941	7.114904	0.000000	0.000000
TM9SF4	9.261589	7.093262	0.000000	0.000000
SEPT2	9.191194	7.033168	0.000000	0.000000
PSMC5	9.099444	6.954845	0.000000	0.000000
PCIF1	8.926303	6.807041	0.000000	0.000000
USF1	8.809048	6.706944	0.000000	0.000000
OXSR1	8.579420	6.510920	0.000000	0.000000
TXNDC15	8.534430	6.472513	0.000000	0.000000
TPGS1	8.514960	6.455893	0.000000	0.000000
BROX	8.471154	6.418497	0.000000	0.000000
DEDD	8.469091	6.416736	0.000000	0.000000
SON	8.338596	6.305338	0.000000	0.000001
TCP11L1	8.317267	6.287130	0.000000	0.000001
PRKCSH	8.193531	6.181501	0.000000	0.000001
ZNF524	8.152853	6.146776	0.000000	0.000001
WDR34	8.110753	6.110837	0.000000	0.000002
TOR1AIP1	8.110544	6.110658	0.000000	0.000002
ACP2	8.072535	6.078212	0.000000	0.000002
FUZ	8.017084	6.030875	0.000000	0.000002
BUD23	8.000422	6.016651	0.000000	0.000003
USP31	7.971268	5.991764	0.000000	0.000003
PIGV	7.966374	5.987586	0.000000	0.000003
