g.name	raw.score	z.score	p.value	q.value
UBE2G1	2.004229	12.077409	0.000000	0.000000
HOXA13	1.949328	11.694308	0.000000	0.000000
TAPBPL	1.731344	10.173212	0.000000	0.000000
AC002310.5	1.682822	9.834626	0.000000	0.000000
USP48	1.545708	8.877838	0.000000	0.000000
CDC37	1.538553	8.827917	0.000000	0.000000
RILPL2	1.519549	8.695307	0.000000	0.000000
C19orf85	1.477407	8.401237	0.000000	0.000000
DDA1	1.456893	8.258091	0.000000	0.000000
DUSP22	1.316972	7.281721	0.000000	0.000000
ATP5MC3	1.269668	6.951631	0.000000	0.000000
EFCAB2	1.255439	6.852339	0.000000	0.000000
RING1	1.250514	6.817973	0.000000	0.000000
DUSP10	1.226775	6.652321	0.000000	0.000000
SPATS1	1.168577	6.246217	0.000000	0.000002
RBM39	1.166696	6.233088	0.000000	0.000002
CHD2	1.158704	6.177319	0.000000	0.000002
IRF2BP2	1.158561	6.176327	0.000000	0.000002
PRCC	1.113368	5.860964	0.000000	0.000014
LY6E	1.094933	5.732326	0.000000	0.000028
TBC1D22A	1.091802	5.710482	0.000000	0.000030
TSPOAP1	1.078111	5.614941	0.000000	0.000049
CCR4	1.075660	5.597841	0.000000	0.000052
SPATA12	1.067866	5.543451	0.000000	0.000066
HSD17B8	1.067565	5.541355	0.000000	0.000066
C6orf223	1.052988	5.439636	0.000000	0.000111
NFKBIE	1.043083	5.370518	0.000000	0.000155
BATF	1.027542	5.262069	0.000000	0.000266
FAM199X	1.026134	5.252250	0.000000	0.000270
COX4I1	1.025320	5.246568	0.000000	0.000270
LAPTM5	1.016561	5.185449	0.000001	0.000360
TRIM69	1.003953	5.097465	0.000001	0.000549
ENO3	1.000545	5.073690	0.000001	0.000601
KDM8	0.995692	5.039820	0.000001	0.000693
CCDC71	0.993929	5.027519	0.000001	0.000714
IKZF3	0.993249	5.022775	0.000001	0.000714
TACSTD2	0.987178	4.980411	0.000002	0.000860
FAM180B	0.983731	4.956360	0.000002	0.000935
KLHL24	0.983273	4.953161	0.000002	0.000935
ISCU	0.979099	4.924035	0.000002	0.001053
RPS19BP1	0.976545	4.906218	0.000002	0.001122
FBXO31	0.974585	4.892537	0.000003	0.001172
ASB7	0.973043	4.881781	0.000003	0.001208
PFKFB3	0.970079	4.861095	0.000003	0.001306
ARL10	0.960640	4.795231	0.000004	0.001756
HIST1H4I	0.959273	4.785688	0.000004	0.001799
VEGFB	0.956743	4.768036	0.000005	0.001916
FUZ	0.942680	4.669903	0.000007	0.002983
SEPT2	0.938285	4.639233	0.000008	0.003372
CPEB4	0.931668	4.593062	0.000010	0.004091
ETV6	0.928498	4.570942	0.000012	0.004440
MYO18A	0.926356	4.555993	0.000012	0.004664
CD53	0.924727	4.544630	0.000013	0.004820
SOCS1	0.924103	4.540272	0.000013	0.004827
PIK3R6	0.920395	4.514401	0.000015	0.005330
ST8SIA4	0.916672	4.488419	0.000017	0.005864
AKNA	0.916237	4.485385	0.000017	0.005864
NAA50	0.915328	4.479042	0.000018	0.005931
RFTN1	0.914427	4.472753	0.000018	0.005999
KANK2	0.911794	4.454384	0.000020	0.006405
CIRBP	0.909186	4.436181	0.000021	0.006832
AL034430.1	0.904324	4.402256	0.000025	0.007811
DENND3	0.902387	4.388741	0.000026	0.008160
MLLT6	0.898458	4.361326	0.000030	0.008994
EIF1	0.898190	4.359450	0.000030	0.008994
PTMA	0.897320	4.353382	0.000031	0.009097
