g.name	raw.score	z.score	p.value	q.value
BMP7	50.519375	25.285942	0.000000	0.000000
ZNF217	49.330043	24.659516	0.000000	0.000000
BCAS4	44.870463	22.310639	0.000000	0.000000
NACA2	42.471498	21.047095	0.000000	0.000000
NCOA3	41.703519	20.642598	0.000000	0.000000
TBX2	41.290730	20.425180	0.000000	0.000000
BRIP1	39.653843	19.563026	0.000000	0.000000
ZMYND8	39.395033	19.426710	0.000000	0.000000
TBX4	37.130127	18.233775	0.000000	0.000000
RPS6KB1	35.678740	17.469324	0.000000	0.000000
TUBD1	34.241474	16.712311	0.000000	0.000000
BCAS1	33.755259	16.456220	0.000000	0.000000
TRIM37	32.698771	15.899764	0.000000	0.000000
RIPOR3	31.778240	15.414917	0.000000	0.000000
PPM1D	31.694895	15.371019	0.000000	0.000000
CYP24A1	31.666971	15.356311	0.000000	0.000000
C17orf64	30.728399	14.861961	0.000000	0.000000
APPBP2	29.139265	14.024959	0.000000	0.000000
CA4	28.924295	13.911733	0.000000	0.000000
PFDN4	28.695571	13.791264	0.000000	0.000000
BCAS3	28.410489	13.641110	0.000000	0.000000
HEATR6	27.187622	12.997021	0.000000	0.000000
RNFT1	26.283163	12.520640	0.000000	0.000000
PSMD6	25.874483	12.305386	0.000000	0.000000
SULF2	24.695185	11.684245	0.000000	0.000000
USP32	24.015427	11.326215	0.000000	0.000000
AC005702.1	23.914567	11.273091	0.000000	0.000000
TEX14	22.738725	10.653771	0.000000	0.000000
AC011195.2	22.605860	10.583790	0.000000	0.000000
DOK5	22.520202	10.538674	0.000000	0.000000
RAD51C	21.872550	10.197553	0.000000	0.000000
ADAMTS9	17.189555	7.731002	0.000000	0.000000
ATXN7	16.746116	7.497442	0.000000	0.000000
PPM1E	16.637494	7.440230	0.000000	0.000000
KRT8	15.551256	6.868105	0.000000	0.000000
ARFGEF2	15.417327	6.797563	0.000000	0.000000
PREX1	15.053569	6.605971	0.000000	0.000000
HSPB1	14.883556	6.516424	0.000000	0.000000
PRICKLE2	14.834152	6.490403	0.000000	0.000000
TRIM33	14.678026	6.408171	0.000000	0.000000
N4BP3	14.112521	6.110317	0.000000	0.000001
ATXN7	13.394376	5.732068	0.000000	0.000014
KRT18	13.155143	5.606063	0.000000	0.000027
CSDE1	13.031806	5.541101	0.000000	0.000038
H3F3B	12.791946	5.414765	0.000000	0.000074
RSBN1	12.775228	5.405960	0.000000	0.000076
TCHH	12.770326	5.403378	0.000000	0.000076
GRHL2	12.620851	5.324649	0.000000	0.000113
THOC7	12.589580	5.308179	0.000000	0.000121
MARCH10	12.331497	5.172245	0.000001	0.000242
MYC	12.233207	5.120476	0.000001	0.000310
DDX5	12.188598	5.096980	0.000001	0.000339
DENND2C	12.185820	5.095517	0.000001	0.000339
PPP1R3D	12.149545	5.076411	0.000001	0.000367
PRR11	12.112014	5.056643	0.000001	0.000398
HIPK1	11.798852	4.891699	0.000003	0.000888
MYO5C	11.736851	4.859043	0.000003	0.001023
AP4B1	11.695305	4.837161	0.000003	0.001119
SMIM6	11.591717	4.782601	0.000004	0.001430
DCLRE1B	11.537020	4.753791	0.000005	0.001613
NBPF1	11.525249	4.747591	0.000005	0.001613
ATP9A	11.524255	4.747068	0.000005	0.001613
RMND5B	11.422540	4.693494	0.000007	0.002045
PRMT6	11.398738	4.680958	0.000007	0.002135
B3GNTL1	11.299359	4.628614	0.000009	0.002683
TRIB1	11.136855	4.543023	0.000013	0.003913
BCL9L	11.099938	4.523579	0.000014	0.004211
RORC	11.063970	4.504635	0.000016	0.004483
STC2	11.061455	4.503310	0.000016	0.004483
SKA2	10.785509	4.357968	0.000030	0.008415
