g.name	raw.score	z.score	p.value	q.value
IGFBP1	6.479305	7.419059	0.000000	0.000000
ID1	6.094648	6.878232	0.000000	0.000000
AJUBA	5.940978	6.662172	0.000000	0.000000
AL132780.3	5.935513	6.654489	0.000000	0.000000
AHCY	5.878999	6.575031	0.000000	0.000001
SRP54	5.467055	5.995838	0.000000	0.000021
NRL	5.395333	5.894996	0.000000	0.000032
NFKBIA	5.380223	5.873752	0.000000	0.000032
TMEM37	5.319828	5.788837	0.000000	0.000047
ZMYND8	5.286745	5.742322	0.000000	0.000050
DCAF11	5.285654	5.740788	0.000000	0.000050
PNN	5.260594	5.705553	0.000000	0.000057
PCK2	5.212028	5.637270	0.000000	0.000077
APOB	4.954803	5.275611	0.000000	0.000504
AP4S1	4.947990	5.266032	0.000000	0.000504
EMC9	4.924840	5.233484	0.000000	0.000561
TINF2	4.863683	5.147497	0.000001	0.000825
DUSP6	4.765403	5.009316	0.000001	0.001571
STRN3	4.752660	4.991398	0.000002	0.001628
BPIFB2	4.709188	4.930277	0.000002	0.002094
HECTD1	4.636346	4.827861	0.000003	0.003287
NEDD8	4.603493	4.781670	0.000004	0.003885
ROCK2	4.594499	4.769025	0.000005	0.003885
GMPR2	4.591771	4.765189	0.000005	0.003885
CBLN3	4.570718	4.735589	0.000005	0.004167
BCL2L1	4.567512	4.731081	0.000006	0.004167
NEDD8-MDP1	4.563598	4.725578	0.000006	0.004167
APOC3	4.481496	4.610142	0.000010	0.006888
TTC6	4.434331	4.543828	0.000013	0.009008
KHNYN	4.420611	4.524538	0.000014	0.009379
RBM39	4.417547	4.520230	0.000015	0.009379
PPP1R3E	4.410702	4.510606	0.000015	0.009397
TRAPPC6B	4.406170	4.504235	0.000016	0.009397
RBCK1	4.402665	4.499307	0.000016	0.009397
PSME1	4.392568	4.485109	0.000017	0.009730
