g.name	raw.score	z.score	p.value	q.value
HMBS	4.336643	22.762137	0.000000	0.000000
OR1L4	3.383857	17.519996	0.000000	0.000000
BCR	3.063929	15.759778	0.000000	0.000000
GUCA1B	2.886857	14.785547	0.000000	0.000000
FAM89B	2.316786	11.649066	0.000000	0.000000
COPZ1	2.124357	10.590341	0.000000	0.000000
FLVCR1	1.799357	8.802221	0.000000	0.000000
NUP214	1.772786	8.656027	0.000000	0.000000
YDJC	1.703286	8.273645	0.000000	0.000000
RANBP1	1.698571	8.247707	0.000000	0.000000
RSPH14	1.685714	8.176968	0.000000	0.000000
ZNF280B	1.683857	8.166750	0.000000	0.000000
UBE2E1	1.495857	7.132391	0.000000	0.000000
HIST1H1E	1.491286	7.107240	0.000000	0.000000
PREPL	1.465571	6.965762	0.000000	0.000000
DGCR8	1.454214	6.903276	0.000000	0.000000
SLFN14	1.444357	6.849043	0.000000	0.000000
LAMC3	1.367500	6.426182	0.000000	0.000000
FRS3	1.359000	6.379416	0.000000	0.000001
MOV10	1.355643	6.360945	0.000000	0.000001
FAM78A	1.347714	6.317323	0.000000	0.000001
CAMKMT	1.345929	6.307498	0.000000	0.000001
CDC45	1.345571	6.305533	0.000000	0.000001
NFE2	1.344857	6.301603	0.000000	0.000001
PRAME	1.297571	6.041441	0.000000	0.000004
UFD1	1.275214	5.918434	0.000000	0.000007
CCDC91	1.258214	5.824902	0.000000	0.000012
GPX3	1.231714	5.679101	0.000000	0.000027
TMEM63B	1.212643	5.574172	0.000000	0.000047
TXNRD2	1.202214	5.516795	0.000000	0.000063
TANGO2	1.198786	5.497931	0.000000	0.000068
C6orf48	1.197929	5.493216	0.000000	0.000068
SDE2	1.194500	5.474352	0.000000	0.000073
ARHGEF12	1.191286	5.456667	0.000000	0.000078
CLDN5	1.176000	5.372567	0.000000	0.000119
SEPT5-GP1BB	1.164643	5.310081	0.000000	0.000162
MAS1L	1.135286	5.148560	0.000001	0.000367
RAB36	1.132857	5.135198	0.000001	0.000383
FOXO3	1.120429	5.066818	0.000001	0.000529
HIST1H4I	1.088286	4.889970	0.000003	0.001245
THUMPD1	1.084357	4.868356	0.000003	0.001351
KLHL22	1.063929	4.755960	0.000005	0.002266
MKRN2	1.062571	4.748493	0.000005	0.002294
LAPTM4B	1.058786	4.727664	0.000006	0.002440
IQUB	1.058500	4.726092	0.000006	0.002440
SPC25	1.050429	4.681684	0.000007	0.002943
LRRC8D	1.045143	4.652602	0.000008	0.003301
MAT2A	1.043357	4.642778	0.000008	0.003384
SDF2	1.027286	4.554354	0.000012	0.004981
HIST1H2BC	1.023071	4.531167	0.000014	0.005425
MED15	1.018500	4.506016	0.000016	0.005961
ZNF22	1.008286	4.449818	0.000020	0.007435
PI4KA	1.008000	4.448246	0.000020	0.007435
CUL1	1.000429	4.406588	0.000024	0.008778
MSH5-SAPCD1	0.998143	4.394013	0.000026	0.009112
TRMT2A	0.996500	4.384974	0.000027	0.009315
