g.name	raw.score	z.score	p.value	q.value
SYT8	15.407086	18.767222	0.000000	0.000000
PPM1N	13.554968	16.368794	0.000000	0.000000
ALDH16A1	8.806784	10.220060	0.000000	0.000000
PPP1R14B	8.672974	10.046781	0.000000	0.000000
CDC37	8.578895	9.924952	0.000000	0.000000
FXYD1	8.545989	9.882340	0.000000	0.000000
GDF5	8.347454	9.625243	0.000000	0.000000
PHOSPHO1	8.315691	9.584111	0.000000	0.000000
RNF224	8.244064	9.491357	0.000000	0.000000
TNFAIP8L1	8.234581	9.479077	0.000000	0.000000
KISS1R	8.229528	9.472534	0.000000	0.000000
DPEP2	8.144867	9.362901	0.000000	0.000000
PTGER1	8.142208	9.359457	0.000000	0.000000
B3GAT3	8.006507	9.183729	0.000000	0.000000
ZNHIT2	7.967661	9.133425	0.000000	0.000000
HOXD3	7.830325	8.955580	0.000000	0.000000
RTN4RL2	7.816362	8.937497	0.000000	0.000000
FPGS	7.778263	8.888161	0.000000	0.000000
HAPLN1	7.690340	8.774304	0.000000	0.000000
INS-IGF2	7.646275	8.717241	0.000000	0.000000
C1QBP	7.613515	8.674818	0.000000	0.000000
ANKRD63	7.551779	8.594872	0.000000	0.000000
INS	7.501369	8.529593	0.000000	0.000000
PDE2A	7.460727	8.476963	0.000000	0.000000
FOXC2	7.429059	8.435954	0.000000	0.000000
ELAVL1	7.387311	8.381892	0.000000	0.000000
SEMA3B	7.342511	8.323877	0.000000	0.000000
IMPDH2	7.337028	8.316776	0.000000	0.000000
CERS2	7.322959	8.298558	0.000000	0.000000
SLC25A51	7.207476	8.149011	0.000000	0.000000
GPR61	7.203723	8.144152	0.000000	0.000000
CNIH2	7.197007	8.135454	0.000000	0.000000
AAAS	7.178633	8.111661	0.000000	0.000000
GRB7	7.127186	8.045040	0.000000	0.000000
PAFAH1B3	7.046433	7.940466	0.000000	0.000000
MAPKAPK3	7.031265	7.920825	0.000000	0.000000
DDX39B	7.004997	7.886809	0.000000	0.000000
C9orf50	6.954622	7.821575	0.000000	0.000000
HAPLN3	6.951060	7.816962	0.000000	0.000000
TMEM88	6.913202	7.767938	0.000000	0.000000
SMIM24	6.906566	7.759343	0.000000	0.000000
