g.name	raw.score	z.score	p.value	q.value
PRMT1	1.299066	11.539037	0.000000	0.000000
TBC1D10B	1.234524	10.906790	0.000000	0.000000
PMEL	1.234062	10.902264	0.000000	0.000000
CIC	1.202386	10.591964	0.000000	0.000000
SDF2L1	1.189800	10.468675	0.000000	0.000000
RRAS	1.177272	10.345954	0.000000	0.000000
GARNL3	1.143954	10.019569	0.000000	0.000000
ABHD2	1.136193	9.943542	0.000000	0.000000
YDJC	1.122186	9.806331	0.000000	0.000000
BCR	1.094470	9.534827	0.000000	0.000000
DDAH2	1.024320	8.847643	0.000000	0.000000
DKKL1	1.023804	8.842591	0.000000	0.000000
RPL23A	1.014112	8.747649	0.000000	0.000000
KAT6B	1.009367	8.701169	0.000000	0.000000
GTPBP3	1.004658	8.655034	0.000000	0.000000
CIRBP	0.995066	8.561076	0.000000	0.000000
SWI5	0.991858	8.529645	0.000000	0.000000
STIP1	0.980712	8.420467	0.000000	0.000000
GP1BB	0.974376	8.358395	0.000000	0.000000
RBM15	0.973154	8.346425	0.000000	0.000000
ZNF48	0.971260	8.327876	0.000000	0.000000
FBXO24	0.971205	8.327333	0.000000	0.000000
ANO8	0.947486	8.094982	0.000000	0.000000
KHSRP	0.946571	8.086018	0.000000	0.000000
MRPL40	0.938415	8.006125	0.000000	0.000000
RSPH14	0.923412	7.859152	0.000000	0.000000
CCDC159	0.912589	7.753138	0.000000	0.000000
UFD1	0.903640	7.665473	0.000000	0.000000
PPM1B	0.883453	7.467722	0.000000	0.000000
AC024592.3	0.866418	7.300847	0.000000	0.000000
TOMM40	0.862535	7.262814	0.000000	0.000000
SEPT5	0.847358	7.114137	0.000000	0.000000
TNNI3	0.844676	7.087864	0.000000	0.000000
G3BP1	0.836028	7.003146	0.000000	0.000000
TLCD1	0.827492	6.919533	0.000000	0.000000
SLC4A2	0.816104	6.807971	0.000000	0.000000
TAPBP	0.807858	6.727194	0.000000	0.000000
MAP3K12	0.806089	6.709873	0.000000	0.000000
NDUFA11	0.791455	6.566510	0.000000	0.000000
CCDC9	0.790550	6.557645	0.000000	0.000000
MAD2L1BP	0.783497	6.488556	0.000000	0.000000
DBP	0.783096	6.484633	0.000000	0.000000
ICE1	0.780156	6.455832	0.000000	0.000000
MBOAT7	0.780092	6.455203	0.000000	0.000000
TMEM52	0.774166	6.397153	0.000000	0.000000
LRCH4	0.753397	6.193702	0.000000	0.000001
TSEN34	0.751014	6.170359	0.000000	0.000001
GTPBP2	0.749511	6.155633	0.000000	0.000001
C3	0.740679	6.069119	0.000000	0.000002
MAPK1	0.740067	6.063119	0.000000	0.000002
SRPK3	0.733412	5.997935	0.000000	0.000002
SEPT5-GP1BB	0.720614	5.872558	0.000000	0.000005
TSKS	0.717576	5.842800	0.000000	0.000006
TCF3	0.716307	5.830370	0.000000	0.000006
MEPCE	0.713912	5.806908	0.000000	0.000007
RANBP1	0.712046	5.788628	0.000000	0.000007
SUCO	0.711383	5.782131	0.000000	0.000008
NEK8	0.698869	5.659548	0.000000	0.000015
FAM78A	0.697489	5.646031	0.000000	0.000016
GPR108	0.690929	5.581773	0.000000	0.000022
TANGO2	0.687983	5.552906	0.000000	0.000026
RAB34	0.685801	5.531539	0.000000	0.000029
NR2C2	0.684646	5.520222	0.000000	0.000030
DCAF11	0.683211	5.506167	0.000000	0.000032
SLC30A1	0.682878	5.502906	0.000000	0.000032
APOM	0.679822	5.472963	0.000000	0.000037
SNAP29	0.677246	5.447731	0.000000	0.000042
LENG9	0.676191	5.437399	0.000000	0.000044
HNRNPUL1	0.674223	5.418120	0.000000	0.000048
TEAD2	0.668277	5.359870	0.000000	0.000065
ARVCF	0.666454	5.342018	0.000000	0.000070
STK17A	0.665901	5.336602	0.000000	0.000071
PGD	0.665552	5.333178	0.000000	0.000072
ABHD8	0.655726	5.236924	0.000000	0.000117
LIN37	0.652829	5.208547	0.000001	0.000133
ZNF687	0.652719	5.207471	0.000001	0.000133
SEPT9	0.648625	5.167361	0.000001	0.000162
AL031847.2	0.645640	5.138122	0.000001	0.000186
DNASE2	0.644820	5.130089	0.000001	0.000191
BICRA	0.644604	5.127973	0.000001	0.000191
DCAF6	0.643306	5.115262	0.000001	0.000202
HECTD3	0.641743	5.099945	0.000001	0.000215
MIDN	0.641515	5.097718	0.000001	0.000215
CDC45	0.640610	5.088852	0.000001	0.000223
HDAC6	0.639519	5.078156	0.000001	0.000232
C6orf47	0.639238	5.075412	0.000001	0.000232
BAZ2A	0.639126	5.074309	0.000001	0.000232
PSENEN	0.637604	5.059406	0.000001	0.000247
RASSF7	0.635057	5.034448	0.000001	0.000277
TBC1D17	0.634059	5.024676	0.000001	0.000288
CDK2	0.632342	5.007860	0.000001	0.000310
SLC17A7	0.630185	4.986721	0.000002	0.000340
ZCWPW1	0.627536	4.960778	0.000002	0.000383
RAB11B	0.626717	4.952755	0.000002	0.000395
NUP214	0.625607	4.941875	0.000002	0.000412
PRR36	0.622508	4.911521	0.000002	0.000474
HSP90AB1	0.621841	4.904985	0.000002	0.000484
HIST1H3D	0.620184	4.888757	0.000003	0.000519
AC008403.1	0.618667	4.873894	0.000003	0.000552
RAB3A	0.617596	4.863403	0.000003	0.000575
TUBB	0.616944	4.857022	0.000003	0.000588
SLC25A1	0.615762	4.845435	0.000003	0.000616
CCM2	0.613885	4.827056	0.000003	0.000666
CLIC1	0.612737	4.815804	0.000004	0.000697
HSD11B1L	0.612149	4.810042	0.000004	0.000710
NFKBIL1	0.611357	4.802287	0.000004	0.000730
STX10	0.610432	4.793231	0.000004	0.000755
C19orf81	0.609000	4.779201	0.000004	0.000800
CFD	0.604907	4.739102	0.000005	0.000959
KLF16	0.604032	4.730536	0.000006	0.000990
SNAPC2	0.603795	4.728206	0.000006	0.000992
ZNF558	0.603429	4.724626	0.000006	0.001000
ICAM5	0.602691	4.717397	0.000006	0.001026
