g.name	raw.score	z.score	p.value	q.value
CYB5R3	19.743527	10.872929	0.000000	0.000000
USP49	17.420648	9.407231	0.000000	0.000000
ZNF566	17.147341	9.234779	0.000000	0.000000
PDSS1	16.714034	8.961370	0.000000	0.000000
RNF19B	16.411020	8.770173	0.000000	0.000000
GPR162	16.138407	8.598159	0.000000	0.000000
LRP3	15.952998	8.481169	0.000000	0.000000
CCL28	15.828594	8.402672	0.000000	0.000000
COA7	15.755573	8.356597	0.000000	0.000000
ZNF568	15.507554	8.200101	0.000000	0.000000
PPP6R2	15.473675	8.178725	0.000000	0.000000
TLCD1	15.315349	8.078823	0.000000	0.000000
TRIM39	15.281373	8.057385	0.000000	0.000000
NEK8	15.023746	7.894827	0.000000	0.000000
ZNF829	15.003388	7.881981	0.000000	0.000000
NBPF1	14.642099	7.654014	0.000000	0.000000
PRR11	14.490173	7.558151	0.000000	0.000000
SPOP	14.238464	7.399327	0.000000	0.000000
E2F8	13.475591	6.917967	0.000000	0.000000
DPF1	13.365274	6.848359	0.000000	0.000000
SKA2	13.362420	6.846558	0.000000	0.000000
B4GALT7	13.169955	6.725116	0.000000	0.000000
NLGN1	13.143796	6.708610	0.000000	0.000000
DSTYK	13.044243	6.645794	0.000000	0.000000
HNRNPL	12.804735	6.494668	0.000000	0.000000
RUFY2	12.689832	6.422166	0.000000	0.000000
ZNF382	12.580613	6.353251	0.000000	0.000001
FBXO27	12.473902	6.285918	0.000000	0.000001
ZNF790	12.356680	6.211953	0.000000	0.000001
HOXA11	12.112388	6.057809	0.000000	0.000003
ZNF146	11.986942	5.978654	0.000000	0.000004
FMO5	11.925673	5.939995	0.000000	0.000005
ZNF570	11.915486	5.933567	0.000000	0.000005
ADAMTS10	11.884224	5.913841	0.000000	0.000006
TMED5	11.864308	5.901274	0.000000	0.000006
UBE2QL1	11.731964	5.817767	0.000000	0.000010
GALNT10	11.579777	5.721740	0.000000	0.000017
ZNF184	11.551054	5.703617	0.000000	0.000018
CHST15	11.538601	5.695759	0.000000	0.000018
FRAS1	11.342995	5.572335	0.000000	0.000036
ATP2B4	11.335985	5.567911	0.000000	0.000036
SPG21	11.264129	5.522571	0.000000	0.000045
ZNF703	11.043461	5.383334	0.000000	0.000094
RAB2B	11.017975	5.367253	0.000000	0.000100
DYNLRB1	11.009661	5.362006	0.000000	0.000101
PAXBP1	10.982810	5.345064	0.000000	0.000108
AC012309.1	10.852204	5.262654	0.000000	0.000164
DLL3	10.823943	5.244821	0.000000	0.000176
LETM2	10.554919	5.075072	0.000001	0.000414
BHLHE40	10.543179	5.067664	0.000001	0.000421
FAM43A	10.495537	5.037603	0.000001	0.000481
DHRS13	10.473840	5.023912	0.000001	0.000505
RPS16	10.442794	5.004323	0.000001	0.000537
NRP1	10.442464	5.004115	0.000001	0.000537
SUPT5H	10.435192	4.999526	0.000001	0.000540
ENO1	10.386822	4.969006	0.000002	0.000617
CCDC18	10.271760	4.896404	0.000002	0.000868
PKM	10.195357	4.848194	0.000003	0.001069
PDXK	10.192707	4.846522	0.000003	0.001069
ZNF747	10.157663	4.824410	0.000004	0.001170
FYN	10.108867	4.793621	0.000004	0.001334
TUBGCP6	10.073608	4.771373	0.000005	0.001460
AL513165.2	9.974033	4.708543	0.000006	0.001935
RAB5B	9.927187	4.678984	0.000007	0.002189
HEXIM1	9.913644	4.670438	0.000007	0.002243
FAAP20	9.903313	4.663920	0.000008	0.002277
COX20	9.885453	4.652650	0.000008	0.002364
TDRKH	9.798607	4.597852	0.000010	0.003001
SERTAD1	9.789393	4.592038	0.000011	0.003038
ITSN1	9.779963	4.586088	0.000011	0.003077
SKIDA1	9.768757	4.579017	0.000011	0.003134
HOXA3	9.713512	4.544158	0.000013	0.003623
MRPL14	9.681893	4.524207	0.000014	0.003869
HNRNPF	9.677732	4.521582	0.000015	0.003869
AC093827.5	9.673512	4.518919	0.000015	0.003869
DDIT4	9.671655	4.517747	0.000015	0.003869
POLG	9.660362	4.510622	0.000015	0.003943
ARID1A	9.633644	4.493763	0.000016	0.004200
POLR2I	9.613904	4.481307	0.000017	0.004385
HOXB4	9.609199	4.478339	0.000018	0.004388
WDR74	9.601473	4.473463	0.000018	0.004429
UNK	9.584027	4.462455	0.000019	0.004596
HMGA2	9.540719	4.435129	0.000021	0.005128
USF3	9.501734	4.410530	0.000024	0.005649
IFNAR1	9.486819	4.401119	0.000025	0.005819
SRRM5	9.465540	4.387692	0.000026	0.006101
GPC6	9.393695	4.342359	0.000032	0.007350
WDR62	9.361914	4.322306	0.000035	0.007926
SPTBN4	9.330830	4.302692	0.000038	0.008521
GBA	9.327053	4.300309	0.000038	0.008521
SARS2	9.318715	4.295048	0.000039	0.008576
ZNF428	9.316554	4.293684	0.000040	0.008576
KAT6B	9.288471	4.275965	0.000043	0.009153
ZNF260	9.259696	4.257808	0.000046	0.009785
