g.name	raw.score	z.score	p.value	q.value
DUSP1	2.099848	7.290055	0.000000	0.000000
PLEKHG2	1.927968	6.518352	0.000000	0.000002
PCED1B	1.826746	6.063888	0.000000	0.000021
AKR1B10	1.790628	5.901725	0.000000	0.000043
AMIGO2	1.772470	5.820200	0.000000	0.000058
FTH1	1.749046	5.715033	0.000000	0.000092
PON2	1.727966	5.620387	0.000000	0.000137
ZNF281	1.661542	5.322158	0.000000	0.000624
SUPT5H	1.621563	5.142664	0.000001	0.001361
RPS16	1.619781	5.134663	0.000001	0.001361
ITGB1	1.599395	5.043132	0.000001	0.001988
KYNU	1.545640	4.801784	0.000004	0.005809
NBPF1	1.543861	4.793798	0.000004	0.005809
CCDC80	1.527766	4.721535	0.000006	0.007564
FGL1	1.525226	4.710131	0.000006	0.007564
