g.name	raw.score	z.score	p.value	q.value
ID1	3.620535	10.237921	0.000000	0.000000
AHSG	3.453673	9.707091	0.000000	0.000000
PCK1	3.392659	9.512993	0.000000	0.000000
FLOT1	3.297986	9.211814	0.000000	0.000000
AJUBA	2.865799	7.836921	0.000000	0.000000
CTDSP1	2.858919	7.815035	0.000000	0.000000
AL132780.3	2.700810	7.312050	0.000000	0.000000
DCAF11	2.609983	7.023109	0.000000	0.000000
DEPP1	2.555122	6.848581	0.000000	0.000000
UBC	2.553154	6.842320	0.000000	0.000000
NR1D1	2.532845	6.777714	0.000000	0.000000
SP5	2.497623	6.665663	0.000000	0.000000
CLU	2.487250	6.632664	0.000000	0.000000
PNN	2.448719	6.510089	0.000000	0.000000
TRIB1	2.445692	6.500458	0.000000	0.000000
SMARCD2	2.443156	6.492389	0.000000	0.000000
APOB	2.363624	6.239378	0.000000	0.000002
PCK2	2.349738	6.195204	0.000000	0.000002
ZNF341	2.300773	6.039434	0.000000	0.000005
CLDN6	2.297113	6.027791	0.000000	0.000005
IER3	2.288077	5.999047	0.000000	0.000006
AL121845.2	2.281169	5.977070	0.000000	0.000006
FOSL2	2.268219	5.935872	0.000000	0.000007
PABPN1	2.254462	5.892109	0.000000	0.000009
SLC2A4RG	2.198561	5.714274	0.000000	0.000025
DHRS2	2.175822	5.641936	0.000000	0.000036
CIRBP	2.168137	5.617487	0.000000	0.000039
TINF2	2.167726	5.616181	0.000000	0.000039
NFKBIA	2.159351	5.589538	0.000000	0.000044
APOA2	2.148571	5.555242	0.000000	0.000051
CEBPB	2.138649	5.523680	0.000000	0.000058
EMC9	2.137758	5.520843	0.000000	0.000058
ZFP36L2	2.132754	5.504925	0.000000	0.000060
ZMYND8	2.132701	5.504758	0.000000	0.000060
C6orf47	2.124310	5.478062	0.000000	0.000067
NR0B2	2.107099	5.423310	0.000000	0.000088
RHOB	2.103106	5.410608	0.000000	0.000092
FBXO33	2.096486	5.389548	0.000000	0.000100
KRT8	2.079526	5.335594	0.000000	0.000131
VAMP5	2.058638	5.269144	0.000000	0.000181
DUSP1	2.053261	5.252039	0.000000	0.000194
NRL	2.049997	5.241656	0.000000	0.000200
EFNA1	2.047080	5.232374	0.000000	0.000202
SLC50A1	2.046550	5.230691	0.000000	0.000202
RNF31	2.030657	5.180131	0.000001	0.000257
SOX12	2.004451	5.096762	0.000001	0.000385
PRPSAP1	2.003358	5.093285	0.000001	0.000385
CSNK2B	1.973286	4.997620	0.000002	0.000604
STAT3	1.972855	4.996249	0.000002	0.000604
MDP1	1.940249	4.892518	0.000003	0.000989
MAT2A	1.905952	4.783414	0.000004	0.001644
DDAH2	1.894785	4.747887	0.000005	0.001910
BPIFB2	1.879404	4.698958	0.000006	0.002362
TTC6	1.876720	4.690420	0.000007	0.002414
TP53INP2	1.859329	4.635094	0.000009	0.003069
AXIN2	1.855382	4.622537	0.000009	0.003195
IRF2BP2	1.852017	4.611831	0.000010	0.003299
RNPEPL1	1.842718	4.582248	0.000011	0.003601
PSME1	1.842697	4.582184	0.000011	0.003601
PSME2	1.842220	4.580666	0.000011	0.003601
FOXA1	1.841478	4.578305	0.000011	0.003601
MIDN	1.833597	4.553234	0.000013	0.003973
AL136295.1	1.824625	4.524692	0.000014	0.004452
CTGF	1.816066	4.497464	0.000016	0.004956
ARHGDIA	1.812925	4.487472	0.000017	0.005007
HEXIM1	1.812770	4.486978	0.000017	0.005007
P4HB	1.811748	4.483727	0.000017	0.005007
DUSP6	1.811177	4.481910	0.000017	0.005007
CBLN3	1.800843	4.449035	0.000020	0.005671
FTL	1.799484	4.444710	0.000020	0.005671
JUND	1.799387	4.444405	0.000020	0.005671
KHNYN	1.798431	4.441361	0.000021	0.005671
BCL2L2-PABPN1	1.794695	4.429478	0.000022	0.005897
TUBB3	1.780054	4.382899	0.000027	0.007144
ZNF219	1.767343	4.342462	0.000032	0.008365
SIVA1	1.766787	4.340695	0.000032	0.008365
CHMP4A	1.764251	4.332627	0.000033	0.008552
APOA1	1.759407	4.317216	0.000036	0.009025
HCFC1R1	1.755790	4.305712	0.000038	0.009366
LBX2	1.752603	4.295572	0.000039	0.009662
