g.name	raw.score	z.score	p.value	q.value
SDF2L1	20.116488	12.981113	0.000000	0.000000
BCR	19.510525	12.547051	0.000000	0.000000
RPL23A	18.192488	11.602919	0.000000	0.000000
UBE2H	18.049135	11.500233	0.000000	0.000000
LY6G6C	17.850997	11.358303	0.000000	0.000000
SUSD1	16.937373	10.703859	0.000000	0.000000
TAF10	15.584013	9.734424	0.000000	0.000000
LCA5	15.322710	9.547248	0.000000	0.000000
TXNRD2	15.253479	9.497656	0.000000	0.000000
RNF182	15.108317	9.393675	0.000000	0.000000
NBEAL2	14.892594	9.239149	0.000000	0.000000
YPEL1	14.797040	9.170702	0.000000	0.000000
TLCD2	14.544261	8.989632	0.000000	0.000000
PIM1	14.229719	8.764320	0.000000	0.000000
CAPN2	13.390706	8.163321	0.000000	0.000000
PLCXD1	13.295693	8.095261	0.000000	0.000000
PLK3	13.291409	8.092193	0.000000	0.000000
PRR14	13.096096	7.952287	0.000000	0.000000
GP1BB	13.047023	7.917135	0.000000	0.000000
DDAH2	12.968168	7.860650	0.000000	0.000000
ARVCF	12.795657	7.737077	0.000000	0.000000
TANGO2	12.738974	7.696474	0.000000	0.000000
SEPT5-GP1BB	12.622479	7.613027	0.000000	0.000000
HCN2	12.549762	7.560939	0.000000	0.000000
TAF12	12.474442	7.506986	0.000000	0.000000
MAPK1	12.458498	7.495565	0.000000	0.000000
NEK1	12.177340	7.294166	0.000000	0.000000
CLCN3	12.174406	7.292064	0.000000	0.000000
PI4KA	12.154865	7.278067	0.000000	0.000000
OPN1SW	12.108330	7.244733	0.000000	0.000000
MAPK13	12.072611	7.219147	0.000000	0.000000
C6orf141	12.003069	7.169333	0.000000	0.000000
PPP1R15B	11.999960	7.167106	0.000000	0.000000
RCC1	11.889003	7.087626	0.000000	0.000000
DEFB131B	11.761601	6.996365	0.000000	0.000000
HIST1H4K	11.750917	6.988713	0.000000	0.000000
MYCL	11.691686	6.946284	0.000000	0.000000
YDJC	11.676142	6.935150	0.000000	0.000000
P2RX6	11.481317	6.795593	0.000000	0.000000
HSPA1A	11.458858	6.779505	0.000000	0.000000
FIBCD1	11.267109	6.642152	0.000000	0.000000
IZUMO1	11.045901	6.483697	0.000000	0.000000
RPS9	11.020059	6.465186	0.000000	0.000000
CCT8L2	10.889356	6.371562	0.000000	0.000000
ZNF280B	10.833997	6.331907	0.000000	0.000000
GLRX2	10.824221	6.324904	0.000000	0.000000
SNAP29	10.678231	6.220329	0.000000	0.000001
SIRT4	10.664653	6.210603	0.000000	0.000001
NUP214	10.539868	6.121217	0.000000	0.000001
AL355312.5	10.482294	6.079976	0.000000	0.000001
NBPF1	10.360485	5.992722	0.000000	0.000002
SVBP	10.320587	5.964143	0.000000	0.000003
AIF1L	10.245812	5.910580	0.000000	0.000004
PRAF2	10.157881	5.847594	0.000000	0.000006
STXBP5	10.146908	5.839733	0.000000	0.000006
HNRNPA1	10.089462	5.798584	0.000000	0.000007
OIT3	9.990838	5.727938	0.000000	0.000010
MDM4	9.975462	5.716924	0.000000	0.000011
LAMC3	9.973875	5.715787	0.000000	0.000011
FANCC	9.923743	5.679876	0.000000	0.000013
PLEKHA4	9.886429	5.653148	0.000000	0.000015
ATP8B4	9.872492	5.643164	0.000000	0.000016
YWHAG	9.777647	5.575225	0.000000	0.000022
RABGAP1L	9.766023	5.566899	0.000000	0.000023
NKAPL	9.736287	5.545599	0.000000	0.000026
TENT5C	9.716828	5.531660	0.000000	0.000027
CBX5	9.669472	5.497738	0.000000	0.000032
STAT5B	9.662211	5.492537	0.000000	0.000033
ZFP36	9.619020	5.461598	0.000000	0.000038
RAB36	9.582868	5.435702	0.000000	0.000043
HSPA1L	9.581300	5.434579	0.000000	0.000043
BCL3	9.569901	5.426413	0.000000	0.000045
NUP153	9.546997	5.410007	0.000000	0.000048
SPTAN1	9.470139	5.354952	0.000000	0.000064
COMT	9.408149	5.310547	0.000000	0.000080
HAGH	9.388677	5.296599	0.000000	0.000085
RPL37	9.369386	5.282781	0.000000	0.000090
FAM155A	9.311779	5.241516	0.000000	0.000110
DOK3	9.289353	5.225452	0.000000	0.000118
HIST1H4I	9.273614	5.214178	0.000000	0.000124
QRFP	9.249855	5.197159	0.000001	0.000134
ID1	9.152010	5.127071	0.000001	0.000190
HBG1	9.096452	5.087274	0.000001	0.000230
C10orf55	9.025238	5.036262	0.000001	0.000294
TTC26	9.000851	5.018794	0.000001	0.000317
HIST1H3D	8.983066	5.006054	0.000001	0.000334
CCDC116	8.951244	4.983259	0.000002	0.000370
PDZK1IP1	8.923752	4.963566	0.000002	0.000404
RADIL	8.919096	4.960231	0.000002	0.000406
SERPIND1	8.910937	4.954386	0.000002	0.000413
IGLL5	8.883917	4.935032	0.000002	0.000450
ZNF280A	8.870231	4.925228	0.000002	0.000467
OOSP4A	8.863719	4.920564	0.000002	0.000472
HIST1H3H	8.857739	4.916280	0.000002	0.000477
YWHAQ	8.813983	4.884937	0.000003	0.000551
CYP3A43	8.797568	4.873178	0.000003	0.000577
HSPA1B	8.779000	4.859878	0.000003	0.000609
SH3BGRL3	8.762911	4.848353	0.000003	0.000638
CCDC12	8.668168	4.780487	0.000004	0.000875
PPIL2	8.660663	4.775111	0.000004	0.000887
PRCC	8.658439	4.773518	0.000004	0.000887
CPED1	8.606568	4.736361	0.000005	0.001048
SLC30A7	8.593591	4.727066	0.000006	0.001085
EHD1	8.456835	4.629105	0.000009	0.001699
TMEM270	8.426347	4.607266	0.000010	0.001861
EPHA2	8.418865	4.601907	0.000010	0.001890
TBPL1	8.402766	4.590375	0.000011	0.001974
NFE2	8.366762	4.564585	0.000012	0.002201
SLC7A4	8.359165	4.559143	0.000012	0.002235
HBS1L	8.328901	4.537464	0.000013	0.002445
EIF1B	8.325719	4.535185	0.000014	0.002448
C6orf48	8.314363	4.527050	0.000014	0.002504
ERMAP	8.313228	4.526237	0.000014	0.002504
LY6G5B	8.306360	4.521317	0.000015	0.002538
COPZ1	8.298934	4.515998	0.000015	0.002557
ZFP90	8.298634	4.515783	0.000015	0.002557
SYNGAP1	8.260891	4.488747	0.000017	0.002864
GPR61	8.256162	4.485360	0.000017	0.002883
ATP5F1B	8.252805	4.482955	0.000017	0.002889
LMLN2	8.240026	4.473802	0.000018	0.002985
ZC3H3	8.208541	4.451248	0.000020	0.003274
EFNA1	8.174089	4.426570	0.000022	0.003623
IL36A	8.156224	4.413773	0.000023	0.003803
MTHFD2	8.150479	4.409657	0.000024	0.003841
MPZL1	8.147980	4.407867	0.000024	0.003841
SERTAD1	8.123769	4.390524	0.000026	0.004112
SH2B3	8.088234	4.365070	0.000029	0.004561
KIF18B	8.083716	4.361834	0.000029	0.004590
LRRC61	8.068096	4.350645	0.000031	0.004782
PPP1R42	8.057574	4.343108	0.000032	0.004903
SERTAD3	8.036947	4.328333	0.000034	0.005187
FMNL1	8.016719	4.313843	0.000036	0.005481
RSPH14	7.999152	4.301259	0.000038	0.005742
SLC2A1	7.991584	4.295838	0.000039	0.005834
SLC25A1	7.945739	4.262999	0.000045	0.006664
AC022400.6	7.893333	4.225459	0.000053	0.007681
MZF1	7.891901	4.224433	0.000053	0.007681
USP15	7.891825	4.224379	0.000053	0.007681
CR1L	7.883970	4.218753	0.000054	0.007757
SERPINB6	7.883789	4.218623	0.000054	0.007757
ZNF852	7.850244	4.194594	0.000060	0.008521
ZNF77	7.843634	4.189859	0.000062	0.008631
DND1	7.841297	4.188185	0.000062	0.008631
SEPT5	7.819521	4.172587	0.000066	0.009082
PRUNE1	7.818729	4.172019	0.000066	0.009082
JMJD8	7.817353	4.171034	0.000067	0.009082
SRA1	7.802059	4.160078	0.000070	0.009441
