g.name	raw.score	z.score	p.value	q.value
RHOF	6.258309	6.807380	0.000000	0.000000
NEMF	6.153579	6.628061	0.000000	0.000001
BCL6	5.938223	6.259329	0.000000	0.000006
COMTD1	5.476890	5.469434	0.000000	0.000508
ZFP36	5.425786	5.381934	0.000000	0.000597
TMBIM1	5.423267	5.377621	0.000000	0.000597
RBM17	5.291304	5.151673	0.000001	0.001715
DHX8	5.214181	5.019624	0.000001	0.002984
KDM3B	5.165933	4.937013	0.000002	0.004051
VPS18	5.084102	4.796903	0.000004	0.007284
FIBP	5.035693	4.714016	0.000006	0.009902
