g.name	raw.score	z.score	p.value	q.value
PTMA	12.193327	6.431017	0.000000	0.000004
ADAMTS1	11.650149	6.057391	0.000000	0.000029
ATP8B2	11.029899	5.630752	0.000000	0.000259
ZFP36L2	10.618686	5.347899	0.000000	0.000833
HIST2H2AC	10.613106	5.344060	0.000000	0.000833
LUC7L2	10.394216	5.193497	0.000001	0.001579
BOLA1	10.345118	5.159725	0.000001	0.001645
HIST2H2AB	10.238011	5.086051	0.000001	0.001950
RDH5	10.233535	5.082972	0.000001	0.001950
BAZ2A	10.114265	5.000932	0.000001	0.002681
PRR14	10.033251	4.945207	0.000002	0.003119
HLA-DMA	10.005427	4.926068	0.000002	0.003119
FMC1	9.999228	4.921804	0.000002	0.003119
MAP3K5	9.963518	4.897241	0.000002	0.003284
CEBPB	9.867818	4.831414	0.000003	0.003911
GPSM3	9.861198	4.826860	0.000003	0.003911
JUN	9.856720	4.823780	0.000004	0.003911
GPR108	9.826002	4.802651	0.000004	0.004102
BCL6	9.803657	4.787281	0.000004	0.004195
AJUBA	9.769846	4.764024	0.000005	0.004465
TIPARP	9.682031	4.703620	0.000006	0.005670
FBRS	9.668389	4.694236	0.000007	0.005670
HIST2H2BE	9.640470	4.675032	0.000007	0.005945
HIC1	9.611396	4.655033	0.000008	0.006266
RHOB	9.552279	4.614369	0.000009	0.007274
TOR1AIP1	9.497605	4.576762	0.000011	0.008319
MYC	9.477855	4.563177	0.000012	0.008319
EEF2	9.473134	4.559930	0.000012	0.008319
PLK2	9.464331	4.553874	0.000013	0.008319
TEDC1	9.434659	4.533465	0.000014	0.008793
TRIP10	9.425923	4.527456	0.000014	0.008793
MISP3	9.413502	4.518912	0.000015	0.008863
