g.name	raw.score	z.score	p.value	q.value
ZNF217	58.084098	19.523288	0.000000	0.000000
BMP7	53.519546	17.878065	0.000000	0.000000
TBX4	53.280611	17.791944	0.000000	0.000000
NACA2	51.592185	17.183377	0.000000	0.000000
CYP24A1	46.188456	15.235685	0.000000	0.000000
BCAS1	44.589590	14.659398	0.000000	0.000000
HEATR6	42.492351	13.903480	0.000000	0.000000
BCAS4	41.660487	13.603648	0.000000	0.000000
ZMYND8	40.996828	13.364442	0.000000	0.000000
PFDN4	40.350643	13.131534	0.000000	0.000000
TUBD1	40.204150	13.078733	0.000000	0.000000
RIPOR3	40.197468	13.076325	0.000000	0.000000
BRIP1	39.250529	12.735015	0.000000	0.000000
SULF2	39.031026	12.655898	0.000000	0.000000
APPBP2	37.612035	12.144445	0.000000	0.000000
C17orf64	36.384833	11.702118	0.000000	0.000000
USP32	35.863576	11.514239	0.000000	0.000000
RPS6KB1	35.032065	11.214534	0.000000	0.000000
PSMD6	35.020271	11.210283	0.000000	0.000000
PARD6B	34.880896	11.160047	0.000000	0.000000
CA4	34.770273	11.120175	0.000000	0.000000
RNFT1	33.642741	10.713773	0.000000	0.000000
TRIM37	31.245245	9.849632	0.000000	0.000000
NCOA3	30.797457	9.688234	0.000000	0.000000
AC005702.1	29.679965	9.285451	0.000000	0.000000
PRICKLE2	28.869363	8.993282	0.000000	0.000000
DOK5	28.610103	8.899836	0.000000	0.000000
BCAS3	28.349141	8.805776	0.000000	0.000000
PPM1E	28.052990	8.699032	0.000000	0.000000
THOC7	27.200924	8.391918	0.000000	0.000000
TEX14	25.563534	7.801746	0.000000	0.000000
AC011195.2	25.177066	7.662449	0.000000	0.000000
RAD51C	24.225051	7.319310	0.000000	0.000000
TRIM33	23.394658	7.020008	0.000000	0.000000
PREX1	22.125898	6.562702	0.000000	0.000000
ADAMTS9	21.636835	6.386427	0.000000	0.000000
CSDE1	20.207644	5.871297	0.000000	0.000007
PPP1R3D	19.701821	5.688981	0.000000	0.000019
CLTC	19.028012	5.446117	0.000000	0.000072
PRR11	18.990958	5.432761	0.000000	0.000076
BCAS2	18.965011	5.423409	0.000000	0.000078
ATXN7	18.752096	5.346667	0.000000	0.000115
C3orf49	18.540250	5.270310	0.000000	0.000168
SKA2	18.240296	5.162196	0.000001	0.000289
DENND2C	18.224859	5.156632	0.000001	0.000291
INTS2	18.028247	5.085767	0.000001	0.000409
PRELID3B	17.497548	4.894484	0.000003	0.001040
ESRP2	17.133135	4.763137	0.000005	0.001921
ATXN7	16.759043	4.628301	0.000009	0.003547
STRADA	16.736471	4.620166	0.000009	0.003611
HIPK1	16.533802	4.547116	0.000013	0.004949
UNK	16.503542	4.536210	0.000014	0.005103
RRM2B	16.456192	4.519143	0.000015	0.005410
B3GNTL1	16.355704	4.482924	0.000017	0.006253
NIPAL2	16.265669	4.450472	0.000020	0.007099
CKS2	16.189996	4.423197	0.000023	0.007872
SMARCD2	16.178629	4.419100	0.000023	0.007877
RABGGTA	16.058663	4.375860	0.000028	0.009366
MCL1	16.025819	4.364022	0.000029	0.009698
