g.name	raw.score	z.score	p.value	q.value
RFTN1	26.833083	9.705591	0.000000	0.000000
BHLHE40	23.354009	8.236278	0.000000	0.000000
RAB34	23.007084	8.089761	0.000000	0.000000
TSPOAP1	22.845526	8.021531	0.000000	0.000000
PDE4A	22.564318	7.902769	0.000000	0.000000
UBC	22.322396	7.800598	0.000000	0.000000
CDC37	21.324591	7.379196	0.000000	0.000000
CSK	21.275818	7.358598	0.000000	0.000000
TNFRSF13C	21.020582	7.250804	0.000000	0.000000
CFLAR	20.521985	7.040233	0.000000	0.000000
TNFRSF13B	20.189470	6.899802	0.000000	0.000000
LAPTM5	19.922910	6.787226	0.000000	0.000000
SCIMP	19.894878	6.775387	0.000000	0.000000
ANGPTL6	19.673193	6.681763	0.000000	0.000000
SMG9	19.142450	6.457615	0.000000	0.000000
FCMR	18.995989	6.395761	0.000000	0.000001
RHOH	18.865712	6.340741	0.000000	0.000001
PSMB8	18.852332	6.335090	0.000000	0.000001
RPL23A	18.818884	6.320964	0.000000	0.000001
ORAI2	18.585131	6.222243	0.000000	0.000002
LTA	18.441290	6.161495	0.000000	0.000002
TNFSF9	18.357928	6.126289	0.000000	0.000003
ODF3B	18.185619	6.053518	0.000000	0.000004
TMSB4X	18.061715	6.001190	0.000000	0.000005
LSP1	17.904413	5.934757	0.000000	0.000007
FGR	17.854612	5.913724	0.000000	0.000008
KDM6B	17.621549	5.815295	0.000000	0.000013
PSMB9	17.575511	5.795852	0.000000	0.000014
TRAF1	17.335326	5.694415	0.000000	0.000025
HIST1H4I	17.120492	5.603684	0.000000	0.000040
PROB1	16.819421	5.476533	0.000000	0.000079
AGBL3	16.798866	5.467852	0.000000	0.000080
VAMP2	16.651804	5.405744	0.000000	0.000109
ZFP36	16.595846	5.382111	0.000000	0.000120
DNAJC18	16.541824	5.359296	0.000000	0.000132
TPCN1	16.511507	5.346492	0.000000	0.000134
IQCD	16.508771	5.345337	0.000000	0.000134
DUSP22	16.498982	5.341203	0.000000	0.000134
NRROS	16.462649	5.325858	0.000000	0.000141
MSC	16.411769	5.304370	0.000000	0.000151
NEK8	16.409776	5.303528	0.000000	0.000151
UBALD2	16.327261	5.268680	0.000000	0.000178
BAZ2A	16.263035	5.241555	0.000000	0.000200
PIGX	16.088918	5.168021	0.000001	0.000287
CCR7	16.060246	5.155912	0.000001	0.000298
C12orf42	16.004710	5.132457	0.000001	0.000327
TNF	15.998518	5.129842	0.000001	0.000327
MDFIC	15.985629	5.124399	0.000001	0.000329
DENND2D	15.847776	5.066180	0.000001	0.000433
STX5	15.753363	5.026306	0.000001	0.000515
TNFRSF8	15.747984	5.024034	0.000001	0.000515
JARID2	15.719639	5.012063	0.000001	0.000536
LTB	15.705225	5.005976	0.000001	0.000543
ASTL	15.689669	4.999406	0.000001	0.000550
IL10	15.585971	4.955612	0.000002	0.000672
JUND	15.555362	4.942685	0.000002	0.000703
VASP	15.484159	4.912614	0.000002	0.000801
HSH2D	15.418921	4.885062	0.000003	0.000901
PPAN	15.374007	4.866093	0.000003	0.000972
BMF	15.357026	4.858922	0.000003	0.000990
EGR3	15.345146	4.853904	0.000003	0.000996
ZBTB32	15.338009	4.850890	0.000003	0.000996
MZB1	15.324860	4.845337	0.000003	0.001001
CD79A	15.319927	4.843254	0.000003	0.001001
PPAN-P2RY11	15.299478	4.834618	0.000003	0.001028
CD27	15.271930	4.822983	0.000004	0.001071
JUNB	15.218152	4.800271	0.000004	0.001160
ASB2	15.217838	4.800139	0.000004	0.001160
PTP4A2	15.181173	4.784654	0.000004	0.001231
PPP1R18	15.135214	4.765244	0.000005	0.001332
DENND3	15.127277	4.761892	0.000005	0.001334
C17orf99	15.091588	4.746819	0.000005	0.001413
CHI3L2	14.974175	4.697233	0.000006	0.001762
MKNK2	14.885785	4.659903	0.000008	0.002069
TAPBPL	14.766523	4.609535	0.000010	0.002579
PMAIP1	14.661249	4.565075	0.000012	0.003120
TVP23A	14.653708	4.561890	0.000012	0.003125
FLOT1	14.642548	4.557177	0.000012	0.003152
ZFP36L2	14.619943	4.547630	0.000013	0.003250
IL21R	14.599776	4.539113	0.000013	0.003336
DUSP2	14.420084	4.463224	0.000019	0.004637
USP3	14.404941	4.456829	0.000019	0.004669
HIST1H3D	14.403482	4.456213	0.000019	0.004669
TRIM69	14.384191	4.448065	0.000020	0.004784
ANXA6	14.312050	4.417598	0.000023	0.005411
CHRNA6	14.268233	4.399093	0.000025	0.005803
TEX54	14.255297	4.393630	0.000026	0.005875
CCR6	14.239231	4.386845	0.000026	0.005984
CIITA	14.219936	4.378696	0.000027	0.006102
ADPRH	14.216554	4.377268	0.000028	0.006102
GPR132	14.205805	4.372728	0.000028	0.006156
SART3	14.188030	4.365221	0.000029	0.006292
RFX1	14.093338	4.325230	0.000035	0.007406
IZUMO4	14.066692	4.313976	0.000036	0.007615
CIRBP	14.066400	4.313853	0.000036	0.007615
IRF5	13.964675	4.270892	0.000044	0.009062
PLK3	13.957554	4.267884	0.000044	0.009084
BLK	13.951620	4.265378	0.000045	0.009088
HLA-DMB	13.926543	4.254788	0.000047	0.009411
BATF	13.920813	4.252367	0.000047	0.009414
ZC3HAV1	13.897524	4.242532	0.000049	0.009718
