g.name	raw.score	z.score	p.value	q.value
DHRS2	2.801773	8.443588	0.000000	0.000000
IGFBP1	2.714641	8.123711	0.000000	0.000000
PCK2	2.532261	7.454165	0.000000	0.000000
EMC9	2.490536	7.300987	0.000000	0.000000
DCAF11	2.489611	7.297589	0.000000	0.000000
NRL	2.376441	6.882126	0.000000	0.000000
RNF31	2.265719	6.475647	0.000000	0.000001
AJUBA	2.218613	6.302714	0.000000	0.000002
FLOT1	2.217134	6.297285	0.000000	0.000002
AL132780.3	2.199134	6.231204	0.000000	0.000003
WDR74	2.194495	6.214170	0.000000	0.000003
PSME2	2.179569	6.159374	0.000000	0.000004
ZMYND8	2.166907	6.112891	0.000000	0.000004
APOB	2.131518	5.982972	0.000000	0.000009
TINF2	2.120700	5.943260	0.000000	0.000011
BPIFB2	2.111772	5.910481	0.000000	0.000012
PPP1R3E	2.096668	5.855033	0.000000	0.000016
KHNYN	2.091922	5.837610	0.000000	0.000017
SRP54	2.084410	5.810032	0.000000	0.000019
AHSG	2.081481	5.799281	0.000000	0.000019
NFKBIA	2.062319	5.728933	0.000000	0.000027
CBLN3	2.048705	5.678955	0.000000	0.000034
PNN	2.046004	5.669039	0.000000	0.000035
SP5	2.028165	5.603547	0.000000	0.000048
BCL2L2-PABPN1	2.006165	5.522783	0.000000	0.000073
DHRS1	1.985602	5.447292	0.000000	0.000106
NOP9	1.983787	5.440628	0.000000	0.000106
JPH4	1.976058	5.412255	0.000000	0.000119
IER3	1.965330	5.372869	0.000000	0.000143
AL136295.1	1.953750	5.330357	0.000000	0.000169
PSME1	1.953343	5.328864	0.000000	0.000169
FABP1	1.947906	5.308904	0.000000	0.000183
CTDSP1	1.945169	5.298858	0.000000	0.000183
AP1G2	1.944761	5.297357	0.000000	0.000183
HEATR5A	1.934473	5.259590	0.000000	0.000214
APOA2	1.933889	5.257447	0.000000	0.000214
ZNFX1	1.928788	5.238720	0.000000	0.000230
CHMP4A	1.909358	5.167389	0.000001	0.000324
HOMEZ	1.897464	5.123723	0.000001	0.000396
TRAPPC6B	1.893914	5.110690	0.000001	0.000413
IPO4	1.886655	5.084041	0.000001	0.000462
NR0B2	1.879538	5.057913	0.000001	0.000515
NEDD8	1.864262	5.001832	0.000001	0.000667
LTB4R2	1.859576	4.984629	0.000002	0.000711
GMPR2	1.852676	4.959300	0.000002	0.000789
MDP1	1.848107	4.942525	0.000002	0.000839
NEDD8-MDP1	1.833509	4.888934	0.000003	0.001069
TLE3	1.826828	4.864407	0.000003	0.001180
BCL2L2	1.823988	4.853981	0.000003	0.001217
DEPP1	1.817044	4.828488	0.000003	0.001349
HECTD1	1.801970	4.773150	0.000005	0.001726
HIST1H3B	1.799543	4.764238	0.000005	0.001767
ACIN1	1.784154	4.707745	0.000006	0.002266
TCEA2	1.771751	4.662209	0.000008	0.002754
C14orf119	1.763832	4.633137	0.000009	0.003097
TM9SF1	1.753223	4.594191	0.000010	0.003641
RBM39	1.750777	4.585211	0.000011	0.003729
SOX18	1.743934	4.560088	0.000012	0.004112
CEBPB	1.737798	4.537565	0.000013	0.004480
RABGGTA	1.730490	4.510735	0.000015	0.004975
MRPS23	1.724452	4.488568	0.000017	0.005408
AL121845.2	1.718559	4.466935	0.000019	0.005864
ZFHX2	1.708717	4.430802	0.000022	0.006779
THTPA	1.689222	4.359234	0.000030	0.009105
POLDIP3	1.688518	4.356650	0.000030	0.009105
PRMT5	1.685416	4.345261	0.000032	0.009424
