g.name	raw.score	z.score	p.value	q.value
AXIN2	4.693182	8.032183	0.000000	0.000000
AHCY	4.269371	7.149802	0.000000	0.000000
DHX16	4.045888	6.684506	0.000000	0.000001
AJUBA	3.994012	6.576498	0.000000	0.000001
AL132780.3	3.846708	6.269810	0.000000	0.000005
RBM39	3.824541	6.223657	0.000000	0.000005
NRL	3.804119	6.181139	0.000000	0.000006
PCK2	3.787167	6.145844	0.000000	0.000006
DCAF11	3.786518	6.144493	0.000000	0.000006
HECTD1	3.755844	6.080629	0.000000	0.000007
RBCK1	3.722035	6.010237	0.000000	0.000010
PNN	3.662975	5.887273	0.000000	0.000020
VAMP5	3.650552	5.861409	0.000000	0.000021
ZMYND8	3.565345	5.684007	0.000000	0.000055
ID1	3.553667	5.659692	0.000000	0.000059
HEATR5A	3.546384	5.644528	0.000000	0.000060
CEBPB	3.540768	5.632837	0.000000	0.000060
RALGAPA1	3.525637	5.601334	0.000000	0.000068
EMC9	3.512412	5.573799	0.000000	0.000075
BCL2L1	3.493236	5.533874	0.000000	0.000089
TFB1M	3.470154	5.485816	0.000000	0.000110
SRC	3.398310	5.336237	0.000000	0.000237
CARHSP1	3.365120	5.267135	0.000000	0.000327
FOXA1	3.331304	5.196730	0.000001	0.000439
AL163636.2	3.330351	5.194745	0.000001	0.000439
TTC6	3.320670	5.174588	0.000001	0.000469
STRN3	3.286059	5.102528	0.000001	0.000654
ANG	3.274144	5.077720	0.000001	0.000686
TMEM37	3.273686	5.076766	0.000001	0.000686
SRP54	3.271560	5.072341	0.000001	0.000686
RAPH1	3.256244	5.040453	0.000001	0.000773
SCFD1	3.254113	5.036016	0.000001	0.000773
AP4S1	3.245727	5.018557	0.000001	0.000818
RNASE4	3.241942	5.010676	0.000001	0.000826
TINF2	3.205270	4.934323	0.000002	0.001173
IGFBP1	3.192439	4.907610	0.000002	0.001301
NFKBIA	3.181768	4.885392	0.000003	0.001411
MRPL2	3.124422	4.765997	0.000005	0.002444
ZNFX1	3.093906	4.702461	0.000006	0.003217
HHLA3	3.064882	4.642033	0.000008	0.004160
PSME1	3.052899	4.617086	0.000009	0.004556
ANKRD13C	3.049374	4.609745	0.000010	0.004600
TGM2	3.044509	4.599617	0.000010	0.004708
AL135905.2	3.040959	4.592225	0.000011	0.004760
NEDD8	3.008666	4.524992	0.000014	0.006323
SPATA2	3.001405	4.509872	0.000015	0.006623
GMPR2	2.995109	4.496765	0.000016	0.006876
TRAPPC6B	2.989777	4.485664	0.000017	0.007030
DHRS1	2.988278	4.482542	0.000017	0.007030
NOP9	2.985984	4.477766	0.000018	0.007039
MGME1	2.979678	4.464636	0.000019	0.007318
BPIFB2	2.975347	4.455619	0.000019	0.007472
RNF31	2.969932	4.444346	0.000021	0.007708
DHRS2	2.967043	4.438331	0.000021	0.007770
NEDD8-MDP1	2.953974	4.411120	0.000024	0.008514
SNX5	2.953172	4.409451	0.000024	0.008514
