g.name	raw.score	z.score	p.value	q.value
PROSER3	21.466003	5.924605	0.000000	0.000095
HIST1H2AD	21.173023	5.829011	0.000000	0.000111
HSPB6	20.879050	5.733094	0.000000	0.000122
EIF3L	20.807762	5.709834	0.000000	0.000122
CREB3L4	20.751903	5.691608	0.000000	0.000122
GEMIN2	20.382205	5.570983	0.000000	0.000207
MDM4	20.100092	5.478935	0.000000	0.000301
HIST1H3D	20.001085	5.446631	0.000000	0.000319
ZNF687	19.881060	5.407469	0.000000	0.000355
TAF6L	19.609302	5.318800	0.000000	0.000520
USP48	19.483279	5.277681	0.000000	0.000593
GPR15	19.430700	5.260526	0.000000	0.000599
MYL12B	19.333062	5.228668	0.000000	0.000651
AL031777.3	19.260074	5.204854	0.000001	0.000651
PSENEN	19.255644	5.203408	0.000001	0.000651
HIST1H3B	19.205816	5.187150	0.000001	0.000651
AL136295.5	19.190302	5.182088	0.000001	0.000651
IARS2	18.881706	5.081400	0.000001	0.001034
ZNF473	18.671336	5.012760	0.000001	0.001390
UBC	18.387538	4.920163	0.000002	0.002096
PTPRCAP	18.084839	4.821398	0.000004	0.003157
PLD1	18.072468	4.817362	0.000004	0.003157
SPATA17	17.782323	4.722693	0.000006	0.004338
THAP9	17.776181	4.720689	0.000006	0.004338
CAB39L	17.761273	4.715825	0.000006	0.004338
HIST1H3F	17.758681	4.714979	0.000006	0.004338
MRPL10	17.741452	4.709357	0.000006	0.004338
PRR14	17.447694	4.613510	0.000010	0.006548
UNG	17.366427	4.586994	0.000011	0.007151
HIST1H2AH	17.338729	4.577957	0.000011	0.007212
HIST1H2BF	17.256954	4.551275	0.000013	0.007892
HIST1H2BK	17.232693	4.543359	0.000013	0.007933
RFX3	17.166997	4.521924	0.000014	0.008486
AZI2	17.090233	4.496878	0.000016	0.009229
