g.name	raw.score	z.score	p.value	q.value
TLE4	3.438074	14.705365	0.000000	0.000000
WEE1	2.709394	11.228138	0.000000	0.000000
IRF2BP2	2.600809	10.709975	0.000000	0.000000
PCDH9	2.510606	10.279535	0.000000	0.000000
AC119674.2	2.307819	9.311845	0.000000	0.000000
TPD52L1	2.262511	9.095635	0.000000	0.000000
SOBP	2.184298	8.722408	0.000000	0.000000
HEXB	1.921840	7.469974	0.000000	0.000000
DACH1	1.921128	7.466573	0.000000	0.000000
ASXL3	1.795436	6.866780	0.000000	0.000000
BAMBI	1.733904	6.573153	0.000000	0.000000
GPC6	1.727479	6.542490	0.000000	0.000000
GNB1	1.719202	6.502995	0.000000	0.000000
SLC2A8	1.711128	6.464464	0.000000	0.000000
PFDN1	1.694383	6.384559	0.000000	0.000001
NTN1	1.665394	6.246223	0.000000	0.000002
TBC1D19	1.626500	6.060625	0.000000	0.000005
HOXB4	1.585287	5.863960	0.000000	0.000015
SSPN	1.583362	5.854771	0.000000	0.000015
CXorf58	1.557489	5.731310	0.000000	0.000029
MAP3K14	1.537862	5.637648	0.000000	0.000047
ATXN1	1.534340	5.620844	0.000000	0.000050
ID3	1.524479	5.573785	0.000000	0.000062
PPP1R14C	1.481660	5.369454	0.000000	0.000182
ZC3HAV1	1.474585	5.335695	0.000000	0.000209
NBPF1	1.470809	5.317673	0.000000	0.000221
AGAP3	1.464734	5.288686	0.000000	0.000249
SMS	1.453181	5.233555	0.000000	0.000309
PLK3	1.453149	5.233403	0.000000	0.000309
MAF	1.441096	5.175885	0.000001	0.000404
TEX46	1.426287	5.105220	0.000001	0.000554
HSPA1B	1.425000	5.099077	0.000001	0.000554
HOXC11	1.424043	5.094508	0.000001	0.000554
IFI35	1.423053	5.089787	0.000001	0.000554
TRIO	1.411947	5.036788	0.000001	0.000704
UTP11	1.384160	4.904189	0.000002	0.001323
ERRFI1	1.381819	4.893020	0.000003	0.001359
REV3L	1.347160	4.727627	0.000006	0.002932
AC009133.6	1.340053	4.693715	0.000007	0.003352
TCHH	1.338287	4.685288	0.000007	0.003391
FABP7	1.336585	4.677166	0.000007	0.003391
AC012309.1	1.335585	4.672394	0.000007	0.003391
LCA5	1.335170	4.670414	0.000007	0.003391
SIX1	1.328021	4.636300	0.000009	0.003884
NRP1	1.325351	4.623558	0.000009	0.003957
ISL1	1.325160	4.622644	0.000009	0.003957
TCF7L2	1.322713	4.610968	0.000010	0.004088
CALHM4	1.317117	4.584265	0.000011	0.004525
WDR44	1.303585	4.519692	0.000015	0.005845
MSL1	1.303457	4.519082	0.000015	0.005845
PARP16	1.298511	4.495477	0.000016	0.006170
UNC5C	1.298287	4.494410	0.000016	0.006170
JOSD1	1.298234	4.494157	0.000016	0.006170
HTR3B	1.295021	4.478825	0.000018	0.006371
PDE7B	1.295000	4.478724	0.000018	0.006371
KLHL14	1.293670	4.472378	0.000018	0.006438
RBM26	1.289213	4.451108	0.000020	0.006930
TMEM100	1.288564	4.448011	0.000020	0.006930
SLC44A5	1.284723	4.429685	0.000022	0.007389
GPR1	1.282691	4.419988	0.000023	0.007585
HOXD3	1.276330	4.389631	0.000026	0.008528
HAND1	1.274457	4.380696	0.000027	0.008726
PRDM1	1.272191	4.369883	0.000028	0.009003
C1orf100	1.270255	4.360644	0.000030	0.009227
