g.name	raw.score	z.score	p.value	q.value
ARMC12	8.114399	6.403893	0.000000	0.000005
FIBP	7.863343	6.130113	0.000000	0.000018
C12orf57	7.636044	5.882241	0.000000	0.000050
ABCA2	7.633631	5.879609	0.000000	0.000050
ERCC1	7.558096	5.797238	0.000000	0.000067
BCL9L	7.449820	5.679160	0.000000	0.000113
BCL6	7.413728	5.639802	0.000000	0.000123
ADRM1	7.375904	5.598554	0.000000	0.000138
NBPF1	7.294881	5.510198	0.000000	0.000203
FKBP5	7.245744	5.456613	0.000000	0.000247
PTMA	7.203116	5.410127	0.000000	0.000292
UPK2	7.152289	5.354699	0.000000	0.000349
TBX6	7.146285	5.348152	0.000000	0.000349
ZNHIT2	7.073561	5.268845	0.000000	0.000497
PTPN6	7.047894	5.240855	0.000000	0.000539
PSMB8	7.004111	5.193109	0.000001	0.000651
SLC17A7	6.965162	5.150634	0.000001	0.000747
CHIT1	6.960048	5.145057	0.000001	0.000747
ZFP36	6.776761	4.945181	0.000002	0.001945
ENKD1	6.754742	4.921169	0.000002	0.002086
TM7SF2	6.739815	4.904891	0.000002	0.002157
S100A2	6.676386	4.835721	0.000003	0.002889
CBLN3	6.664656	4.822928	0.000004	0.002945
UNC13D	6.643305	4.799645	0.000004	0.003163
GPSM3	6.632057	4.787379	0.000004	0.003225
PRICKLE4	6.607168	4.760237	0.000005	0.003412
TAP1	6.607022	4.760078	0.000005	0.003412
TOMM6	6.599961	4.752378	0.000005	0.003417
PSMB9	6.459659	4.599376	0.000010	0.006586
ATP6V1G2-DDX39B	6.458176	4.597760	0.000010	0.006586
ESYT1	6.437282	4.574975	0.000011	0.007083
NR4A1	6.416373	4.552173	0.000013	0.007622
ZC3H10	6.395584	4.529502	0.000014	0.008200
ZFP36L2	6.367088	4.498427	0.000016	0.009165
AL365205.1	6.351548	4.481480	0.000017	0.009615
