g.name	raw.score	z.score	p.value	q.value
NEMP1	43.512959	9.102050	0.000000	0.000000
TBX18	38.600331	7.952524	0.000000	0.000000
GGA3	35.989555	7.341617	0.000000	0.000000
TEX54	35.307867	7.182106	0.000000	0.000000
TAPBP	35.248433	7.168199	0.000000	0.000000
ITGA3	33.125494	6.671443	0.000000	0.000000
ZIC2	32.384840	6.498134	0.000000	0.000001
ALOXE3	31.085192	6.194024	0.000000	0.000005
LBR	30.362253	6.024860	0.000000	0.000010
HOXC6	30.324317	6.015984	0.000000	0.000010
ADGRF3	30.306039	6.011707	0.000000	0.000010
MEIS3	30.254645	5.999681	0.000000	0.000010
TRMT1	30.171123	5.980137	0.000000	0.000010
HID1	29.881571	5.912384	0.000000	0.000015
ARHGAP23	29.670093	5.862899	0.000000	0.000018
PKMYT1	29.646132	5.857292	0.000000	0.000018
SSBP4	29.452094	5.811889	0.000000	0.000020
SHISA7	29.427402	5.806111	0.000000	0.000020
BEGAIN	29.426154	5.805819	0.000000	0.000020
SLC38A10	29.306365	5.777789	0.000000	0.000022
DPCD	28.944735	5.693169	0.000000	0.000035
JARID2	28.874458	5.676725	0.000000	0.000036
CSKMT	28.768693	5.651977	0.000000	0.000040
PLCB3	28.614207	5.615828	0.000000	0.000046
C11orf98	28.592620	5.610777	0.000000	0.000046
SLC9A5	28.521707	5.594183	0.000000	0.000049
KIF26A	28.495426	5.588034	0.000000	0.000049
CEP170B	28.406021	5.567113	0.000000	0.000053
MAZ	28.268359	5.534901	0.000000	0.000061
HOXA3	28.176746	5.513464	0.000000	0.000066
SWSAP1	28.022804	5.477443	0.000000	0.000078
BBC3	28.005529	5.473401	0.000000	0.000078
SYNGR4	27.935452	5.457003	0.000000	0.000082
AP001458.2	27.735314	5.410172	0.000000	0.000103
GRIK5	27.528609	5.361804	0.000000	0.000130
NUCKS1	27.453401	5.344206	0.000000	0.000139
SYNGAP1	27.399029	5.331483	0.000000	0.000144
ZNF428	27.318409	5.312619	0.000000	0.000156
KAZALD1	27.283758	5.304510	0.000000	0.000158
TMEM143	27.246591	5.295813	0.000000	0.000162
XRCC3	27.210898	5.287462	0.000000	0.000165
SIN3A	27.179552	5.280127	0.000000	0.000167
MAG	27.096158	5.260613	0.000000	0.000181
ECEL1	26.743816	5.178167	0.000001	0.000270
NXPH4	26.725773	5.173945	0.000001	0.000270
APC2	26.713726	5.171126	0.000001	0.000270
HOXB13	26.608150	5.146422	0.000001	0.000300
GSK3A	26.581369	5.140155	0.000001	0.000303
RASIP1	26.416688	5.101621	0.000001	0.000362
MYO9A	26.365578	5.089661	0.000001	0.000377
MIA-RAB4B	26.154635	5.040302	0.000001	0.000465
MIA	26.154635	5.040302	0.000001	0.000465
DALRD3	26.121973	5.032659	0.000001	0.000475
COMMD7	25.942114	4.990573	0.000002	0.000575
DDI2	25.890771	4.978559	0.000002	0.000599
ELOVL1	25.852989	4.969719	0.000002	0.000615
AC006064.6	25.808331	4.959269	0.000002	0.000637
SLC25A29	25.600508	4.910640	0.000002	0.000753
CPNE5	25.599355	4.910370	0.000002	0.000753
APOE	25.597839	4.910015	0.000002	0.000753
HNRNPU	25.588676	4.907871	0.000002	0.000753
RRAD	25.588672	4.907870	0.000002	0.000753
CNIH3	25.566713	4.902732	0.000002	0.000753
MRPL54	25.561836	4.901591	0.000002	0.000753
VSTM2L	25.509014	4.889230	0.000003	0.000788
SIPA1L3	25.479323	4.882283	0.000003	0.000803
GMFG	25.435234	4.871966	0.000003	0.000832
IVNS1ABP	25.376669	4.858263	0.000003	0.000876
PGPEP1L	25.363333	4.855142	0.000003	0.000877
CTDSP2	25.342322	4.850226	0.000003	0.000885
LENEP	25.317879	4.844506	0.000003	0.000897
FOXA3	25.276456	4.834813	0.000003	0.000927
AL672043.1	25.243779	4.827167	0.000003	0.000949
TRIB1	25.196828	4.816181	0.000004	0.000987
WDR62	25.129069	4.800325	0.000004	0.001051
CBR3	25.008029	4.772003	0.000005	0.001188
RAB34	24.870801	4.739892	0.000005	0.001366
CHCHD10	24.842082	4.733172	0.000005	0.001392
AL358075.4	24.821874	4.728444	0.000006	0.001405
YDJC	24.787803	4.720471	0.000006	0.001441
PAF1	24.708215	4.701848	0.000006	0.001554
FMNL3	24.666369	4.692056	0.000007	0.001607
UFSP1	24.655246	4.689454	0.000007	0.001607
TMEM179	24.482777	4.649097	0.000008	0.001894
SLC35B2	24.463209	4.644518	0.000008	0.001913
ZNF575	24.350261	4.618089	0.000009	0.002137
EFNA3	24.319564	4.610906	0.000010	0.002184
RDH5	24.240015	4.592292	0.000011	0.002352
RARA	24.221000	4.587842	0.000011	0.002374
CENPX	24.208646	4.584952	0.000011	0.002380
ZFYVE21	24.124492	4.565260	0.000012	0.002576
SAMD4B	24.112289	4.562405	0.000012	0.002581
JMJD8	24.100581	4.559665	0.000012	0.002586
MEGF11	24.066850	4.551772	0.000013	0.002652
TMEM44	24.047822	4.547320	0.000013	0.002678
GATD1	23.903631	4.513580	0.000015	0.003089
CLP1	23.881650	4.508437	0.000015	0.003119
MSL1	23.875013	4.506884	0.000015	0.003119
SLC29A2	23.742945	4.475980	0.000018	0.003522
SHC1	23.740301	4.475362	0.000018	0.003522
LPCAT4	23.712127	4.468769	0.000018	0.003592
ZSWIM6	23.695493	4.464877	0.000019	0.003620
PIGQ	23.622401	4.447774	0.000020	0.003869
BCL7C	23.598013	4.442067	0.000021	0.003930
NHLRC4	23.579799	4.437805	0.000021	0.003968
FOXF1	23.514686	4.422569	0.000023	0.004205
SLC12A7	23.500584	4.419269	0.000023	0.004227
PTH2	23.401180	4.396009	0.000025	0.004604
PPP1R13L	23.391548	4.393756	0.000026	0.004604
RPL23A	23.391302	4.393698	0.000026	0.004604
TMEM243	23.374912	4.389863	0.000026	0.004640
ERN1	23.339019	4.381464	0.000027	0.004771
MAFK	23.309253	4.374499	0.000028	0.004876
WDR37	23.263291	4.363744	0.000029	0.005066
CACNA1H	23.242608	4.358904	0.000030	0.005130
MAFG	23.144801	4.336018	0.000033	0.005618
AMDHD1	23.116797	4.329465	0.000034	0.005731
WBP1	23.106223	4.326991	0.000034	0.005744
ZNF580	23.059845	4.316139	0.000036	0.005920
CUTA	23.021157	4.307086	0.000037	0.006105
NRCAM	23.002283	4.302670	0.000038	0.006172
SH3PXD2A	22.874473	4.272763	0.000043	0.006960
CIRBP	22.835332	4.263604	0.000045	0.007179
PRKCD	22.821023	4.260256	0.000046	0.007224
PLEKHJ1	22.812579	4.258280	0.000046	0.007228
SLC35A2	22.769919	4.248298	0.000048	0.007483
ZFPM1	22.752049	4.244116	0.000049	0.007530
CYP51A1	22.747921	4.243151	0.000049	0.007530
DYRK1B	22.644582	4.218970	0.000054	0.008278
DDAH2	22.565318	4.200423	0.000059	0.008882
DMAC2	22.546509	4.196021	0.000060	0.008952
CRACR2B	22.542048	4.194977	0.000060	0.008952
MADCAM1	22.518128	4.189380	0.000062	0.009097
COL1A1	22.470693	4.178281	0.000065	0.009459
GPT	22.415422	4.165348	0.000068	0.009911
