g.name	raw.score	z.score	p.value	q.value
HDGF	4.344474	11.285481	0.000000	0.000000
FBXL19	4.197554	10.861875	0.000000	0.000000
CDCA3	3.973605	10.216179	0.000000	0.000000
USP5	3.909761	10.032105	0.000000	0.000000
ZNF140	3.300753	8.276198	0.000000	0.000000
PHF12	3.135887	7.800852	0.000000	0.000000
TSPOAP1	2.877589	7.056120	0.000000	0.000000
H3F3B	2.822922	6.898502	0.000000	0.000000
UNK	2.748752	6.684654	0.000000	0.000000
MMACHC	2.699377	6.542293	0.000000	0.000000
AP2S1	2.691641	6.519991	0.000000	0.000000
VCPIP1	2.683476	6.496448	0.000000	0.000000
GPR108	2.662827	6.436912	0.000000	0.000001
CYB561D2	2.648756	6.396343	0.000000	0.000001
INTS9	2.642844	6.379297	0.000000	0.000001
CCDC163	2.621828	6.318702	0.000000	0.000001
LYSMD1	2.571507	6.173618	0.000000	0.000002
NCLN	2.501857	5.972800	0.000000	0.000007
HMBOX1	2.497819	5.961157	0.000000	0.000008
PHF23	2.470480	5.882332	0.000000	0.000012
SNX17	2.409528	5.706595	0.000000	0.000031
POLDIP3	2.398621	5.675146	0.000000	0.000034
EIF2B4	2.398034	5.673455	0.000000	0.000034
CCDC90B	2.382083	5.627465	0.000000	0.000042
CEP170	2.365408	5.579386	0.000000	0.000053
PRPF31	2.353808	5.545941	0.000000	0.000062
PEX14	2.350009	5.534988	0.000000	0.000063
TMEM115	2.342397	5.513041	0.000000	0.000069
RANBP10	2.323134	5.457500	0.000000	0.000090
TOR1AIP1	2.307396	5.412125	0.000000	0.000112
Z84492.1	2.301813	5.396027	0.000000	0.000118
FEM1A	2.290771	5.364192	0.000000	0.000136
TSNAXIP1	2.280002	5.333141	0.000000	0.000156
PAFAH2	2.240921	5.220463	0.000000	0.000274
AAMP	2.195328	5.089007	0.000001	0.000525
HTRA2	2.162587	4.994606	0.000002	0.000823
ZSCAN22	2.158082	4.981620	0.000002	0.000855
PPP1R12B	2.154911	4.972475	0.000002	0.000871
TRIP10	2.145157	4.944354	0.000002	0.000977
HSD11B1L	2.135819	4.917430	0.000002	0.001088
SGK3	2.131263	4.904294	0.000002	0.001133
C1orf174	2.129628	4.899580	0.000002	0.001133
MUS81	2.106095	4.831730	0.000003	0.001540
NEDD8-MDP1	2.101921	4.819695	0.000004	0.001596
C8orf44	2.083182	4.765666	0.000005	0.002022
ENY2	2.077251	4.748564	0.000005	0.002147
CRTC2	2.074850	4.741643	0.000005	0.002172
TPGS1	2.038450	4.636692	0.000009	0.003419
CALCOCO1	2.037588	4.634208	0.000009	0.003419
HIKESHI	2.036810	4.631965	0.000009	0.003419
ING4	2.034752	4.626029	0.000009	0.003446
TSC2	2.027417	4.604883	0.000010	0.003728
NDC1	2.009996	4.554654	0.000012	0.004580
TSSC4	2.007630	4.547831	0.000013	0.004580
SIRT2	2.007565	4.547643	0.000013	0.004580
NFKBIB	2.006299	4.543994	0.000013	0.004580
GSPT1	2.004244	4.538069	0.000013	0.004624
USP48	1.998329	4.521014	0.000015	0.004910
TMTC3	1.979736	4.467406	0.000018	0.006144
ELOC	1.977115	4.459851	0.000019	0.006235
SYMPK	1.976044	4.456763	0.000019	0.006235
TRIM41	1.971154	4.442662	0.000021	0.006533
GMPR2	1.956732	4.401080	0.000025	0.007729
ENO3	1.953779	4.392566	0.000026	0.007901
PRCC	1.950160	4.382132	0.000027	0.008145
NEDD8	1.943959	4.364254	0.000029	0.008676
TCEANC2	1.937025	4.344261	0.000032	0.009326
RPL23A	1.934712	4.337594	0.000033	0.009461
ST3GAL2	1.932641	4.331622	0.000034	0.009565
CEP95	1.930459	4.325330	0.000035	0.009565
ZFYVE1	1.929723	4.323209	0.000035	0.009565
CEP290	1.929319	4.322044	0.000035	0.009565
