g.name	raw.score	z.score	p.value	q.value
BMP7	45.317517	27.478764	0.000000	0.000000
TBX2	43.001073	26.003676	0.000000	0.000000
ZMYND8	40.848632	24.633022	0.000000	0.000000
PARD6B	40.244710	24.248450	0.000000	0.000000
BCAS4	38.659936	23.239282	0.000000	0.000000
ZNF217	37.180359	22.297102	0.000000	0.000000
TBX4	36.966771	22.161091	0.000000	0.000000
BRIP1	34.893629	20.840934	0.000000	0.000000
BCAS1	33.248378	19.793255	0.000000	0.000000
RPS6KB1	32.024288	19.013766	0.000000	0.000000
TUBD1	31.709839	18.813528	0.000000	0.000000
NACA2	29.955947	17.696667	0.000000	0.000000
CYP24A1	29.874308	17.644680	0.000000	0.000000
RIPOR3	29.148278	17.182352	0.000000	0.000000
TRIM37	28.364935	16.683526	0.000000	0.000000
APPBP2	28.308110	16.647341	0.000000	0.000000
PPM1D	28.181147	16.566492	0.000000	0.000000
BCAS3	27.257048	15.978034	0.000000	0.000000
RNFT1	26.721166	15.636790	0.000000	0.000000
NCOA3	26.413177	15.440665	0.000000	0.000000
PSMD6	26.049896	15.209332	0.000000	0.000000
CA4	25.768858	15.030369	0.000000	0.000000
PFDN4	25.598435	14.921846	0.000000	0.000000
SULF2	23.984324	13.893996	0.000000	0.000000
HEATR6	23.753971	13.747310	0.000000	0.000000
RAD51C	23.384703	13.512163	0.000000	0.000000
C17orf64	22.502094	12.950126	0.000000	0.000000
TEX14	21.952138	12.599920	0.000000	0.000000
AC011195.2	21.820461	12.516069	0.000000	0.000000
USP32	20.890380	11.923802	0.000000	0.000000
DOK5	19.873311	11.276143	0.000000	0.000000
AC005702.1	19.149565	10.815268	0.000000	0.000000
ADAMTS9	16.869284	9.363208	0.000000	0.000000
PPM1E	15.067230	8.215677	0.000000	0.000000
PRICKLE2	14.626999	7.935343	0.000000	0.000000
PREX1	14.034918	7.558311	0.000000	0.000000
ATXN7	13.665879	7.323311	0.000000	0.000000
THOC7	12.585997	6.635653	0.000000	0.000000
AP4B1	12.211274	6.397033	0.000000	0.000000
HIPK1	12.206426	6.393946	0.000000	0.000000
DCLRE1B	12.150335	6.358227	0.000000	0.000000
TRIM33	11.832495	6.155830	0.000000	0.000001
SALL4	11.811114	6.142215	0.000000	0.000001
ARFGEF2	10.332802	5.200840	0.000001	0.000242
DENND2C	10.319373	5.192289	0.000001	0.000247
C3orf49	9.975171	4.973105	0.000002	0.000736
OSBPL2	9.858289	4.898675	0.000002	0.001041
TMEM189-UBE2V1	9.765102	4.839335	0.000003	0.001361
ATP9A	9.721955	4.811859	0.000004	0.001522
CSDE1	9.517811	4.681862	0.000007	0.002764
ATXN7	9.495232	4.667484	0.000007	0.002898
PRMT6	9.406403	4.610919	0.000010	0.003696
TMEM189	9.204395	4.482282	0.000017	0.006507
H3F3B	9.197751	4.478051	0.000018	0.006509
UBE2V1	9.173504	4.462610	0.000019	0.006847
NBPF1	9.129386	4.434517	0.000021	0.007620
NTNG1	9.102747	4.417553	0.000023	0.008070
C3orf14	9.084675	4.406046	0.000024	0.008344
SYNPR	9.067067	4.394833	0.000026	0.008618
TSEN54	9.054940	4.387110	0.000026	0.008766
KCND3	9.047395	4.382306	0.000027	0.008806
