g.name	raw.score	z.score	p.value	q.value
ZNF384	22.508187	6.912572	0.000000	0.000000
ISY1	19.998666	6.064335	0.000000	0.000028
ING4	19.992159	6.062136	0.000000	0.000028
TSSC4	19.710483	5.966927	0.000000	0.000037
RPS18	18.916750	5.698640	0.000000	0.000141
WDR83OS	18.572559	5.582301	0.000000	0.000227
SPATA2	18.248889	5.472898	0.000000	0.000253
AC010422.5	18.198921	5.456008	0.000000	0.000253
VPS52	18.175319	5.448031	0.000000	0.000253
STK11IP	18.131450	5.433203	0.000000	0.000253
ARHGAP1	18.114095	5.427337	0.000000	0.000253
EIF1AD	18.089582	5.419051	0.000000	0.000253
ZNF408	18.056327	5.407811	0.000000	0.000253
ISY1-RAB43	18.055440	5.407511	0.000000	0.000253
DPM1	18.020103	5.395567	0.000000	0.000253
ANAPC15	17.875919	5.346832	0.000000	0.000294
C16orf91	17.867782	5.344081	0.000000	0.000294
TPRKB	17.639851	5.267039	0.000000	0.000418
ZNF668	17.589756	5.250107	0.000000	0.000422
CSTF2T	17.574752	5.245035	0.000000	0.000422
PPIP5K2	17.539884	5.233249	0.000000	0.000425
GIN1	17.516988	5.225510	0.000000	0.000425
AURKAIP1	17.332759	5.163240	0.000001	0.000562
COA6	17.233342	5.129636	0.000001	0.000640
TBP	17.034277	5.062350	0.000001	0.000850
BANF1	17.022408	5.058339	0.000001	0.000850
LRRC29	16.989619	5.047256	0.000001	0.000865
UBE3B	16.954752	5.035471	0.000001	0.000886
MED19	16.929220	5.026840	0.000001	0.000893
PPIL3	16.867901	5.006114	0.000001	0.000958
CCAR2	16.834336	4.994769	0.000002	0.000981
NGDN	16.762943	4.970638	0.000002	0.001051
TMEM208	16.756000	4.968291	0.000002	0.001051
PHB2	16.737161	4.961923	0.000002	0.001053
ERH	16.694164	4.947390	0.000002	0.001100
MAP3K11	16.609306	4.918707	0.000002	0.001232
NIF3L1	16.552538	4.899519	0.000002	0.001317
UBE2M	16.526661	4.890773	0.000003	0.001338
PRRG2	16.483126	4.876058	0.000003	0.001401
GTF2H3	16.395189	4.846334	0.000003	0.001573
ZMPSTE24	16.348796	4.830653	0.000003	0.001573
NME7	16.341469	4.828176	0.000003	0.001573
BLZF1	16.340283	4.827776	0.000003	0.001573
CHMP2A	16.339034	4.827353	0.000003	0.001573
SNRPB	16.324279	4.822366	0.000004	0.001575
AHSA1	16.269872	4.803976	0.000004	0.001662
BUD31	16.264415	4.802131	0.000004	0.001662
ZNF646	16.180502	4.773768	0.000004	0.001865
LTN1	16.165328	4.768640	0.000005	0.001872
VIRMA	16.152170	4.764192	0.000005	0.001874
SKIV2L	16.130694	4.756933	0.000005	0.001901
EIF2B1	16.085039	4.741501	0.000005	0.002007
XRCC4	16.064788	4.734656	0.000005	0.002034
ZNF226	16.003077	4.713798	0.000006	0.002203
MOCS3	15.965523	4.701104	0.000006	0.002296
RPL27	15.899161	4.678673	0.000007	0.002505
GNL1	15.864733	4.667036	0.000007	0.002557
YJU2	15.863967	4.666777	0.000007	0.002557
NELFE	15.839112	4.658376	0.000008	0.002614
MAP3K7	15.819638	4.651794	0.000008	0.002650
KAT5	15.789019	4.641444	0.000008	0.002735
RPS14	15.771363	4.635477	0.000009	0.002767
SFSWAP	15.750352	4.628375	0.000009	0.002814
PFDN6	15.707663	4.613946	0.000010	0.002961
KCTD10	15.613258	4.582036	0.000011	0.003337
EMG1	15.610862	4.581226	0.000011	0.003337
RPL41	15.601009	4.577896	0.000011	0.003338
WDR46	15.512510	4.547982	0.000013	0.003751
PPME1	15.506234	4.545861	0.000013	0.003751
GGA1	15.496477	4.542563	0.000013	0.003754
SEC24C	15.480775	4.537256	0.000014	0.003791
LRIF1	15.384944	4.504864	0.000016	0.004328
COG8	15.323127	4.483970	0.000017	0.004689
ZSCAN22	15.296831	4.475081	0.000018	0.004765
TRAPPC4	15.294642	4.474341	0.000018	0.004765
KHDC4	15.282569	4.470261	0.000018	0.004789
NSA2	15.264175	4.464043	0.000019	0.004860
