g.name	raw.score	z.score	p.value	q.value
HSPA1B	26.998867	10.893926	0.000000	0.000000
HIST1H2BL	25.910026	10.409834	0.000000	0.000000
HIST1H2AI	23.850750	9.494292	0.000000	0.000000
HOXB8	23.426159	9.305521	0.000000	0.000000
CCDC116	22.878923	9.062223	0.000000	0.000000
SDF2L1	22.672017	8.970233	0.000000	0.000000
SCX	22.366187	8.834263	0.000000	0.000000
ANKLE2	21.655727	8.518397	0.000000	0.000000
FAM83H	20.815778	8.144961	0.000000	0.000000
FTL	20.178912	7.861814	0.000000	0.000000
HIST1H3H	19.855454	7.718006	0.000000	0.000000
PIK3CB	19.321407	7.480572	0.000000	0.000000
WT1	18.811149	7.253714	0.000000	0.000000
POLR2E	18.615325	7.166652	0.000000	0.000000
HMG20B	18.526129	7.126996	0.000000	0.000000
MAPK1	17.744486	6.779482	0.000000	0.000000
HIST1H4G	17.678075	6.749956	0.000000	0.000000
SCAP	17.373927	6.614733	0.000000	0.000000
R3HDM4	17.357331	6.607355	0.000000	0.000000
KISS1R	17.296836	6.580459	0.000000	0.000000
FOSL1	17.162422	6.520700	0.000000	0.000000
BCR	16.996796	6.447063	0.000000	0.000000
ARID3A	16.973266	6.436602	0.000000	0.000000
AIF1	16.841756	6.378133	0.000000	0.000000
CEP170	16.654114	6.294709	0.000000	0.000001
KRI1	16.578583	6.261128	0.000000	0.000001
CRACR2B	16.554294	6.250330	0.000000	0.000001
EGR1	16.525277	6.237429	0.000000	0.000001
CBX4	16.120484	6.057460	0.000000	0.000003
HLCS	15.942366	5.978270	0.000000	0.000004
HMX3	15.873533	5.947667	0.000000	0.000005
TET1	15.671538	5.857861	0.000000	0.000008
HIST1H4F	15.669168	5.856808	0.000000	0.000008
SMARCC1	15.560704	5.808585	0.000000	0.000011
HOXB9	15.546426	5.802237	0.000000	0.000011
ZNF280A	15.529955	5.794914	0.000000	0.000011
MEAF6	15.482760	5.773932	0.000000	0.000012
CALR	15.209077	5.652254	0.000000	0.000024
CFD	15.111557	5.608897	0.000000	0.000029
P2RX6	15.045917	5.579714	0.000000	0.000033
DXO	15.041448	5.577727	0.000000	0.000033
BPNT1	15.003824	5.561000	0.000000	0.000036
SWSAP1	14.911423	5.519919	0.000000	0.000044
TRIM7	14.610094	5.385949	0.000000	0.000088
SMAD6	14.605018	5.383693	0.000000	0.000088
IZUMO1	14.571534	5.368806	0.000000	0.000092
DGCR8	14.567183	5.366871	0.000000	0.000092
CCDC78	14.501552	5.337692	0.000000	0.000106
PLIN5	14.475271	5.326008	0.000000	0.000110
HNRNPF	14.443397	5.311837	0.000000	0.000116
BEST4	14.374321	5.281126	0.000000	0.000134
TOMM20	14.340919	5.266276	0.000000	0.000142
NBPF1	14.311293	5.253104	0.000000	0.000150
HAGHL	14.267916	5.233819	0.000000	0.000163
ARVCF	14.214017	5.209856	0.000001	0.000181
FHL3	14.175265	5.192627	0.000001	0.000195
ATF4	13.984020	5.107601	0.000001	0.000297
REPIN1	13.959793	5.096829	0.000001	0.000308
IQANK1	13.902143	5.071199	0.000001	0.000345
SEPT5-GP1BB	13.850467	5.048224	0.000001	0.000381
PRDM8	13.841624	5.044292	0.000001	0.000383
SECTM1	13.821879	5.035514	0.000001	0.000393
HIST1H2AL	13.760282	5.008128	0.000001	0.000438
LEPROTL1	13.759713	5.007875	0.000001	0.000438
NSD3	13.683150	4.973835	0.000002	0.000511
MPC2	13.632321	4.951237	0.000002	0.000559
RNF224	13.629316	4.949901	0.000002	0.000559
PXT1	13.605508	4.939316	0.000002	0.000580
SNAPC2	13.574675	4.925608	0.000002	0.000608
