g.name	raw.score	z.score	p.value	q.value
PTMA	4.925105	12.047429	0.000000	0.000000
VEGFA	4.758457	11.617595	0.000000	0.000000
MYO1F	4.747452	11.589210	0.000000	0.000000
AL928654.3	4.076231	9.857941	0.000000	0.000000
KRTCAP2	3.974267	9.594948	0.000000	0.000000
PDLIM7	3.943625	9.515914	0.000000	0.000000
HECTD3	3.849650	9.273526	0.000000	0.000000
USP32	3.757626	9.036170	0.000000	0.000000
C17orf50	3.631315	8.710377	0.000000	0.000000
COL1A1	3.556474	8.517340	0.000000	0.000000
EXOC3L2	3.427490	8.184655	0.000000	0.000000
NDUFA4L2	3.405963	8.129131	0.000000	0.000000
SPNS1	3.320584	7.908912	0.000000	0.000000
CHIT1	3.312189	7.887262	0.000000	0.000000
PDE4A	3.309143	7.879403	0.000000	0.000000
ADM	3.224049	7.659922	0.000000	0.000000
TMEM179B	3.155540	7.483219	0.000000	0.000000
YJEFN3	3.105087	7.353086	0.000000	0.000000
AL365205.1	3.093143	7.322279	0.000000	0.000000
ZFHX2	3.082999	7.296115	0.000000	0.000000
TNNI2	3.060832	7.238939	0.000000	0.000000
TOMM6	3.048562	7.207291	0.000000	0.000000
DNAJC7	3.014702	7.119957	0.000000	0.000000
NCKIPSD	2.999425	7.080553	0.000000	0.000000
C16orf95	2.992975	7.063917	0.000000	0.000000
ALG9	2.971193	7.007734	0.000000	0.000000
CLPB	2.965515	6.993090	0.000000	0.000000
VPS18	2.965025	6.991826	0.000000	0.000000
CTXN1	2.946938	6.945175	0.000000	0.000000
EFNA4	2.944294	6.938354	0.000000	0.000000
GRIN2C	2.943709	6.936847	0.000000	0.000000
AL691442.1	2.943266	6.935703	0.000000	0.000000
GADD45B	2.887824	6.792703	0.000000	0.000000
RIPOR1	2.869472	6.745367	0.000000	0.000000
RPL23A	2.859591	6.719883	0.000000	0.000000
SENP3	2.858653	6.717462	0.000000	0.000000
LRRK1	2.852831	6.702446	0.000000	0.000000
TPD52	2.852359	6.701229	0.000000	0.000000
TRIM46	2.844514	6.680996	0.000000	0.000000
PRPH	2.812349	6.598032	0.000000	0.000000
EFNA3	2.789131	6.538145	0.000000	0.000000
CMTM5	2.786467	6.531274	0.000000	0.000000
LTF	2.780700	6.516401	0.000000	0.000000
SARS2	2.771945	6.493819	0.000000	0.000000
ATP5F1D	2.762457	6.469346	0.000000	0.000000
DHH	2.727042	6.378000	0.000000	0.000000
HAP1	2.725564	6.374188	0.000000	0.000000
C9orf116	2.720553	6.361264	0.000000	0.000000
TAOK3	2.697504	6.301814	0.000000	0.000000
HS6ST1	2.688360	6.278229	0.000000	0.000000
MYO7A	2.685599	6.271107	0.000000	0.000000
ATP8B2	2.680430	6.257776	0.000000	0.000000
CYP46A1	2.663322	6.213649	0.000000	0.000001
ID1	2.658428	6.201025	0.000000	0.000001
LRRC23	2.645312	6.167195	0.000000	0.000001
GBA2	2.642445	6.159801	0.000000	0.000001
ACD	2.633385	6.136434	0.000000	0.000001
NPPC	2.618080	6.096956	0.000000	0.000001
BCR	2.615169	6.089447	0.000000	0.000001
AP5B1	2.612991	6.083830	0.000000	0.000001
ZPR1	2.611699	6.080499	0.000000	0.000001
RILP	2.605519	6.064558	0.000000	0.000001
MSN	2.591992	6.029668	0.000000	0.000002
TMEM253	2.576448	5.989576	0.000000	0.000002
PPM1J	2.573842	5.982856	0.000000	0.000002
RGP1	2.560410	5.948209	0.000000	0.000002
FXYD3	2.559615	5.946160	0.000000	0.000002
SPATC1	2.548660	5.917903	0.000000	0.000003
MESP1	2.541953	5.900603	0.000000	0.000003
HCFC1R1	2.533457	5.878691	0.000000	0.000004
WNT1	2.528331	5.865468	0.000000	0.000004
P3H3	2.512834	5.825497	0.000000	0.000005
AC009879.2	2.510938	5.820607	0.000000	0.000005
WDR25	2.508795	5.815080	0.000000	0.000005
NECTIN2	2.504434	5.803832	0.000000	0.000005
JADE2	2.492513	5.773083	0.000000	0.000006
POMGNT1	2.492018	5.771807	0.000000	0.000006
ATP5MC2	2.491429	5.770289	0.000000	0.000006
HAPLN3	2.491135	5.769529	0.000000	0.000006
APC2	2.480458	5.741992	0.000000	0.000007
NYAP1	2.468831	5.712002	0.000000	0.000008
IFFO1	2.465070	5.702301	0.000000	0.000008
FADS3	2.462495	5.695659	0.000000	0.000009
RNF207	2.457975	5.684001	0.000000	0.000009
HSD11B1L	2.455294	5.677086	0.000000	0.000009
GRIN2A	2.450253	5.664084	0.000000	0.000010
PRX	2.444653	5.649641	0.000000	0.000011
ADSSL1	2.440770	5.639625	0.000000	0.000011
RIMS3	2.424249	5.597011	0.000000	0.000014
SEMA6B	2.423099	5.594045	0.000000	0.000014
CALM1	2.414427	5.571678	0.000000	0.000016
MTHFSD	2.412766	5.567393	0.000000	0.000016
CIZ1	2.412094	5.565660	0.000000	0.000016
HES2	2.386473	5.499575	0.000000	0.000023
U2AF2	2.369012	5.454540	0.000000	0.000029
TESK1	2.352724	5.412528	0.000000	0.000036
TUBA1B	2.350556	5.406937	0.000000	0.000036
SLC35E4	2.350113	5.405794	0.000000	0.000036
CTSW	2.331358	5.357420	0.000000	0.000047
BAK1	2.329050	5.351466	0.000000	0.000048
ATP23	2.326114	5.343894	0.000000	0.000049
RNF224	2.321652	5.332386	0.000000	0.000052
NNMT	2.320442	5.329264	0.000000	0.000052
TSPAN32	2.319059	5.325696	0.000000	0.000052
RAB34	2.319006	5.325561	0.000000	0.000052
BCL2L12	2.316770	5.319793	0.000000	0.000053
S100A10	2.316681	5.319563	0.000000	0.000053
PSMB8	2.304032	5.286937	0.000000	0.000062
EXOSC2	2.293565	5.259941	0.000000	0.000071
ESRRA	2.287571	5.244481	0.000000	0.000076
SHISA4	2.269916	5.198944	0.000001	0.000096
ZNF385C	2.261939	5.178368	0.000001	0.000106
LRIG2	2.250745	5.149495	0.000001	0.000122
SCNN1G	2.243445	5.130667	0.000001	0.000133
IL22RA1	2.238211	5.117166	0.000001	0.000141
MPC1	2.224068	5.080689	0.000001	0.000167
TMEM170A	2.224063	5.080674	0.000001	0.000167
ABHD14A-ACY1	2.223029	5.078009	0.000001	0.000168
HBA2	2.214196	5.055227	0.000001	0.000187
SOCS1	2.206129	5.034420	0.000001	0.000206
CASC10	2.196275	5.009002	0.000001	0.000232
MAST1	2.192466	4.999178	0.000001	0.000242
SLC27A5	2.189620	4.991836	0.000002	0.000249
WDR38	2.185803	4.981992	0.000002	0.000259
DZIP1L	2.184798	4.979399	0.000002	0.000259
PLEKHJ1	2.184642	4.978998	0.000002	0.000259
TNNT2	2.180956	4.969491	0.000002	0.000269
TMEM161A	2.180503	4.968323	0.000002	0.000269
PSMD6	2.179753	4.966388	0.000002	0.000269
ARL2-SNX15	2.178465	4.963064	0.000002	0.000272
UBXN11	2.162217	4.921157	0.000002	0.000332
ENOPH1	2.158515	4.911609	0.000002	0.000345
DNAH7	2.156889	4.907413	0.000002	0.000350
SEPT5	2.156333	4.905981	0.000002	0.000350
