g.name	raw.score	z.score	p.value	q.value
DUSP1	10.189700	6.936816	0.000000	0.000000
RPS16	9.427268	6.237384	0.000000	0.000009
SUPT5H	9.378268	6.192433	0.000000	0.000009
HNRNPL	9.275378	6.098045	0.000000	0.000013
BHLHE40	9.177163	6.007944	0.000000	0.000017
CIC	9.175402	6.006330	0.000000	0.000017
NBPF1	9.077562	5.916574	0.000000	0.000025
EGR1	9.039884	5.882009	0.000000	0.000027
PLEKHG2	9.017893	5.861836	0.000000	0.000027
HNRNPUL1	8.811954	5.672913	0.000000	0.000074
ASPH	8.604071	5.482208	0.000000	0.000197
DBP	8.457587	5.347828	0.000000	0.000377
AC008982.1	8.436200	5.328207	0.000000	0.000389
WDR81	8.390906	5.286657	0.000000	0.000452
NR1D1	8.300775	5.203973	0.000001	0.000654
SERPINE1	8.249349	5.156796	0.000001	0.000786
KRT86	8.158198	5.073177	0.000001	0.001138
CEP95	8.082078	5.003347	0.000001	0.001533
EID3	8.011414	4.938522	0.000002	0.002011
C19orf33	7.902964	4.839033	0.000003	0.003114
KDM6B	7.849859	4.790316	0.000004	0.003748
PSMB3	7.840403	4.781642	0.000004	0.003748
AXL	7.777118	4.723586	0.000006	0.004460
PPP1R15A	7.774889	4.721541	0.000006	0.004460
GSK3A	7.772330	4.719193	0.000006	0.004460
SIRT2	7.762259	4.709955	0.000006	0.004486
NFKBIB	7.641525	4.599197	0.000010	0.007244
SERTAD1	7.625945	4.584904	0.000011	0.007468
