g.name	raw.score	z.score	p.value	q.value
NBPF1	19.702436	11.991436	0.000000	0.000000
HRH3	16.047970	9.488530	0.000000	0.000000
BBC3	15.501396	9.114187	0.000000	0.000000
TMEM205	14.748960	8.598851	0.000000	0.000000
DNAJC18	14.421426	8.374526	0.000000	0.000000
PPP1R14A	14.135634	8.178790	0.000000	0.000000
PEX11G	12.793208	7.259376	0.000000	0.000000
ADIG	12.531554	7.080172	0.000000	0.000000
ZNF792	12.510020	7.065423	0.000000	0.000000
SLFN14	12.301198	6.922403	0.000000	0.000000
LTBP4	12.278168	6.906630	0.000000	0.000000
RABEP2	11.851129	6.614155	0.000000	0.000000
AC138894.1	11.346238	6.268360	0.000000	0.000002
C19orf47	11.230109	6.188825	0.000000	0.000003
DNAJB12	10.996723	6.028981	0.000000	0.000006
FXYD7	10.952119	5.998432	0.000000	0.000007
PLD3	10.723059	5.841552	0.000000	0.000017
LSM14A	10.607891	5.762674	0.000000	0.000026
SUPT5H	10.556842	5.727711	0.000000	0.000030
ACP7	10.441624	5.648799	0.000000	0.000045
OSBPL7	10.353248	5.588271	0.000000	0.000060
PRRC2B	10.287059	5.542940	0.000000	0.000074
GBA	10.206614	5.487843	0.000000	0.000096
NELFB	10.178376	5.468504	0.000000	0.000102
CIRBP	10.142802	5.444139	0.000000	0.000112
DYRK1B	9.958545	5.317943	0.000000	0.000212
ZNF574	9.949436	5.311704	0.000000	0.000212
TTBK1	9.845297	5.240381	0.000000	0.000298
GSTT2B	9.827683	5.228317	0.000000	0.000307
KLK6	9.628970	5.092221	0.000001	0.000600
RINL	9.558802	5.044163	0.000001	0.000742
C19orf70	9.509149	5.010156	0.000001	0.000853
TFE3	9.394426	4.931584	0.000002	0.001224
ZNF233	9.329871	4.887371	0.000003	0.001477
RAB34	9.296248	4.864342	0.000003	0.001607
EPHA2	9.209337	4.804818	0.000004	0.002085
AC092073.1	9.129604	4.750210	0.000005	0.002635
MEGF8	9.034356	4.684976	0.000007	0.003431
AL020996.2	9.031960	4.683335	0.000007	0.003431
IFNL1	9.022079	4.676567	0.000007	0.003455
DDR1	8.974416	4.643923	0.000008	0.003927
FXYD3	8.900703	4.593438	0.000010	0.004843
ZBTB32	8.845257	4.555464	0.000012	0.005631
RAB4A	8.767386	4.502131	0.000016	0.006934
RPS9	8.763812	4.499683	0.000016	0.006934
MMGT1	8.718505	4.468652	0.000018	0.007800
RPS16	8.700059	4.456019	0.000019	0.008080
STRA6	8.656307	4.426054	0.000022	0.009042
