g.name	raw.score	z.score	p.value	q.value
RBM17	15.630285	10.022225	0.000000	0.000000
DHX8	14.888761	9.469226	0.000000	0.000000
KDM3B	14.880315	9.462928	0.000000	0.000000
TDRD7	14.004705	8.809933	0.000000	0.000000
VPS18	13.869500	8.709103	0.000000	0.000000
RRP1	13.857226	8.699949	0.000000	0.000000
AAAS	13.726619	8.602548	0.000000	0.000000
CCDC59	13.616988	8.520790	0.000000	0.000000
FLT3LG	12.926153	8.005593	0.000000	0.000000
MRPS12	12.791606	7.905253	0.000000	0.000000
COG2	12.666338	7.811833	0.000000	0.000000
COMTD1	12.619834	7.777153	0.000000	0.000000
SLC25A51	12.366227	7.588023	0.000000	0.000000
RNF224	12.345400	7.572491	0.000000	0.000000
DTWD2	12.344546	7.571854	0.000000	0.000000
FAM98C	12.295501	7.535279	0.000000	0.000000
MAPK8IP3	12.261075	7.509605	0.000000	0.000000
NDUFAB1	12.097462	7.387589	0.000000	0.000000
MZT2A	11.942386	7.271939	0.000000	0.000000
LSM11	11.923502	7.257857	0.000000	0.000000
DHRS13	11.797568	7.163940	0.000000	0.000000
FBXO34	11.691261	7.084661	0.000000	0.000000
SF3A2	11.606588	7.021515	0.000000	0.000000
ANKRD63	11.489549	6.934232	0.000000	0.000000
AC006538.2	11.431684	6.891079	0.000000	0.000000
MAPK1IP1L	11.369897	6.845001	0.000000	0.000000
ZNF343	11.218723	6.732261	0.000000	0.000000
DNAJC11	11.203517	6.720921	0.000000	0.000000
RGS9	11.098656	6.642720	0.000000	0.000000
VPS36	11.006647	6.574104	0.000000	0.000000
ARL2-SNX15	10.993765	6.564497	0.000000	0.000000
CENPS	10.982350	6.555984	0.000000	0.000000
IPO9	10.958165	6.537948	0.000000	0.000000
CYB561D1	10.894725	6.490637	0.000000	0.000000
TCTN3	10.890108	6.487193	0.000000	0.000000
AHCYL1	10.876791	6.477262	0.000000	0.000000
RPS17	10.864347	6.467982	0.000000	0.000000
CIDEB	10.832393	6.444152	0.000000	0.000000
RUVBL2	10.795251	6.416453	0.000000	0.000000
LTB4R	10.679282	6.329968	0.000000	0.000000
EML3	10.675827	6.327392	0.000000	0.000000
SYCE3	10.666898	6.320733	0.000000	0.000000
TPR	10.652015	6.309633	0.000000	0.000000
FIBP	10.642757	6.302729	0.000000	0.000000
STK17A	10.635689	6.297458	0.000000	0.000000
KHK	10.597830	6.269225	0.000000	0.000001
DDX18	10.579412	6.255489	0.000000	0.000001
PPIF	10.522192	6.212817	0.000000	0.000001
PARP3	10.432921	6.146242	0.000000	0.000001
ZNF398	10.422777	6.138677	0.000000	0.000001
VPS4A	10.405880	6.126076	0.000000	0.000001
IBA57	10.390419	6.114546	0.000000	0.000001
RPL38	10.378583	6.105719	0.000000	0.000001
ARL2	10.347057	6.082208	0.000000	0.000001
KCNIP2	10.335633	6.073688	0.000000	0.000001
PPM1N	10.321994	6.063517	0.000000	0.000001
THEM6	10.319625	6.061751	0.000000	0.000001
DHX34	10.313600	6.057258	0.000000	0.000001
TSSC4	10.280817	6.032809	0.000000	0.000002
HTD2	10.243309	6.004837	0.000000	0.000002
RPP14	10.174348	5.953409	0.000000	0.000003
RAB8A	10.172761	5.952225	0.000000	0.000003
DNMT3A	10.168623	5.949139	0.000000	0.000003
TRAPPC5	10.095446	5.894567	0.000000	0.000004
CLEC16A	10.088768	5.889587	0.000000	0.000004
B3GALNT2	10.051876	5.862074	0.000000	0.000004
IRAK2	10.039375	5.852752	0.000000	0.000004
AL358113.1	9.978307	5.807210	0.000000	0.000006
C15orf48	9.916484	5.761104	0.000000	0.000007
CARMIL2	9.915524	5.760389	0.000000	0.000007
RPL5	9.898137	5.747422	0.000000	0.000008
PINK1	9.891637	5.742575	0.000000	0.000008
ASB6	9.846646	5.709022	0.000000	0.000009
TMEM88	9.840122	5.704156	0.000000	0.000009
SNRPE	9.823127	5.691483	0.000000	0.000010
PDE4A	9.786901	5.664466	0.000000	0.000011
TRPC4AP	9.770918	5.652547	0.000000	0.000012
ZBTB34	9.747818	5.635320	0.000000	0.000013
BPTF	9.745305	5.633446	0.000000	0.000013
ENDOG	9.744951	5.633182	0.000000	0.000013
RPS15	9.741933	5.630931	0.000000	0.000013
SPECC1	9.726015	5.619060	0.000000	0.000014
ALKBH2	9.713261	5.609549	0.000000	0.000014
ZNF425	9.688704	5.591236	0.000000	0.000015
BCAS4	9.688513	5.591093	0.000000	0.000015
HINT3	9.680953	5.585455	0.000000	0.000016
RPL26	9.585726	5.514438	0.000000	0.000023
SUDS3	9.572048	5.504238	0.000000	0.000024
RELT	9.567743	5.501028	0.000000	0.000024
RNF214	9.548652	5.486790	0.000000	0.000026
PTGER1	9.545737	5.484616	0.000000	0.000026
ZNF839	9.535796	5.477203	0.000000	0.000026
SH3GLB1	9.527685	5.471154	0.000000	0.000027
CEP135	9.493734	5.445835	0.000000	0.000031
DNPH1	9.478315	5.434336	0.000000	0.000032
GYS1	9.474727	5.431660	0.000000	0.000032
