g.name	raw.score	z.score	p.value	q.value
DCAF11	14.856540	6.597903	0.000000	0.000003
NRL	13.186508	5.719371	0.000000	0.000313
IPO4	12.519352	5.368408	0.000000	0.001462
AJUBA	12.315965	5.261415	0.000000	0.001937
SRP54	12.082097	5.138387	0.000001	0.002484
ID1	12.076805	5.135604	0.000001	0.002484
TM9SF1	11.903139	5.044245	0.000001	0.003190
EMC9	11.875616	5.029767	0.000001	0.003190
AL132780.3	11.623759	4.897275	0.000002	0.005199
TINF2	11.600561	4.885072	0.000003	0.005199
ZMYND8	11.565605	4.866683	0.000003	0.005199
