g.name	raw.score	z.score	p.value	q.value
DUSP6	15.766061	9.598479	0.000000	0.000000
SP5	13.367085	7.948898	0.000000	0.000000
SPHK1	12.716453	7.501511	0.000000	0.000000
ID1	12.672630	7.471378	0.000000	0.000000
AHCY	12.475674	7.335947	0.000000	0.000000
NR0B2	11.700618	6.803004	0.000000	0.000000
APOB	11.513840	6.674571	0.000000	0.000000
AL163636.2	11.495697	6.662096	0.000000	0.000000
HNMT	11.453187	6.632865	0.000000	0.000000
ZMYND8	11.373936	6.578371	0.000000	0.000000
AJUBA	11.244331	6.489252	0.000000	0.000001
CP	11.228291	6.478223	0.000000	0.000001
ANG	11.179958	6.444988	0.000000	0.000001
INSIG2	11.113848	6.399529	0.000000	0.000001
RNASE4	11.087164	6.381181	0.000000	0.000001
F2	10.959815	6.293613	0.000000	0.000001
NRL	10.832543	6.206099	0.000000	0.000002
NFKBIA	10.809131	6.190000	0.000000	0.000002
EFNA1	10.734821	6.138903	0.000000	0.000003
IGFBP1	10.548188	6.010571	0.000000	0.000005
AL132780.3	10.545924	6.009014	0.000000	0.000005
DHCR24	10.516930	5.989077	0.000000	0.000006
APOA1	10.363106	5.883305	0.000000	0.000011
FABP1	10.323942	5.856375	0.000000	0.000012
CLIC1	10.312934	5.848806	0.000000	0.000012
NR1D1	10.273284	5.821542	0.000000	0.000013
BPIFB2	10.180708	5.757884	0.000000	0.000019
DCAF11	10.120195	5.716275	0.000000	0.000023
IRF2BP2	10.023579	5.649840	0.000000	0.000032
PHF10	10.013653	5.643015	0.000000	0.000032
TMEM37	9.930964	5.586156	0.000000	0.000043
DUSP1	9.866818	5.542048	0.000000	0.000053
DSP	9.852221	5.532011	0.000000	0.000055
MAP1LC3B	9.790353	5.489469	0.000000	0.000067
DEPP1	9.668784	5.405876	0.000000	0.000102
PTP4A1	9.607855	5.363980	0.000000	0.000125
BHLHE40	9.597663	5.356972	0.000000	0.000126
GPT2	9.524140	5.306416	0.000000	0.000161
LRMDA	9.410285	5.228127	0.000000	0.000237
SH3D19	9.372486	5.202136	0.000001	0.000264
HECTD1	9.358186	5.192303	0.000001	0.000271
APOC3	9.285075	5.142030	0.000001	0.000343
TM4SF1	9.249092	5.117288	0.000001	0.000381
FLOT1	9.230423	5.104450	0.000001	0.000397
ID2	9.147154	5.047193	0.000001	0.000519
CAPZA2	9.057794	4.985748	0.000002	0.000683
MSH5	9.055346	4.984065	0.000002	0.000683
ROCK2	9.023015	4.961833	0.000002	0.000746
DSE	8.912815	4.886057	0.000003	0.001062
MT2A	8.860392	4.850010	0.000003	0.001229
TMEM212	8.857271	4.847864	0.000003	0.001229
APOA2	8.823707	4.824785	0.000004	0.001332
FOXA1	8.821513	4.823276	0.000004	0.001332
ACOX1	8.787171	4.799662	0.000004	0.001463
MOGAT1	8.781939	4.796065	0.000004	0.001463
TSPYL4	8.751035	4.774815	0.000004	0.001590
AL139353.1	8.726891	4.758212	0.000005	0.001677
A2M	8.724085	4.756283	0.000005	0.001677
SMPDL3A	8.697423	4.737950	0.000005	0.001773
BCL2L1	8.696738	4.737479	0.000005	0.001773
MIDN	8.676385	4.723484	0.000006	0.001863
SERPINA11	8.649628	4.705085	0.000006	0.001999
TTC6	8.641639	4.699592	0.000006	0.002019
DTD2	8.615501	4.681619	0.000007	0.002142
SLC51B	8.612826	4.679779	0.000007	0.002142
AL121722.1	8.608776	4.676994	0.000007	0.002142
IER3	8.549768	4.636420	0.000009	0.002549
FOXA2	8.541806	4.630944	0.000009	0.002576
TEN1-CDK3	8.496621	4.599874	0.000010	0.002896
BAHCC1	8.495801	4.599311	0.000010	0.002896
RBMS1	8.487552	4.593639	0.000010	0.002931
TEN1	8.469782	4.581420	0.000011	0.003057
CEBPB	8.459556	4.574388	0.000011	0.003113
ZNRF1	8.436060	4.558231	0.000012	0.003306
MSH5-SAPCD1	8.421542	4.548249	0.000013	0.003414
TXNDC11	8.398001	4.532061	0.000014	0.003626
SMLR1	8.392988	4.528614	0.000014	0.003635
SPATA20	8.291827	4.459054	0.000019	0.004905
NCOA4	8.266009	4.441301	0.000021	0.005242
SYNCRIP	8.255123	4.433815	0.000021	0.005351
ADGRG6	8.213371	4.405107	0.000024	0.006000
AGT	8.201460	4.396916	0.000025	0.006144
ABCF1	8.179752	4.381990	0.000027	0.006481
TLE3	8.156724	4.366155	0.000029	0.006863
SERPINE1	8.125898	4.344959	0.000032	0.007368
PCK2	8.125185	4.344468	0.000032	0.007368
SERPINF1	8.096483	4.324732	0.000035	0.007933
CTGF	8.052665	4.294602	0.000039	0.008931
SYNJ2	8.042386	4.287533	0.000041	0.009071
ADH4	8.039781	4.285743	0.000041	0.009071
