g.name	raw.score	z.score	p.value	q.value
LTBP4	15.962704	12.865308	0.000000	0.000000
BBC3	15.099903	12.087050	0.000000	0.000000
KDM6B	14.910138	11.915880	0.000000	0.000000
P4HB	14.152170	11.232183	0.000000	0.000000
SAMD11	11.741804	9.058003	0.000000	0.000000
DBP	11.700825	9.021040	0.000000	0.000000
HOXC8	11.487055	8.828216	0.000000	0.000000
DEFA5	11.384054	8.735308	0.000000	0.000000
STUB1	11.236464	8.602180	0.000000	0.000000
RAB34	11.048634	8.432754	0.000000	0.000000
TEDC2	10.887485	8.287396	0.000000	0.000000
CEP170B	10.656195	8.078769	0.000000	0.000000
RCC1	10.203914	7.670807	0.000000	0.000000
ACAP3	10.195785	7.663474	0.000000	0.000000
TMEM107	9.927796	7.421745	0.000000	0.000000
LENEP	9.874253	7.373448	0.000000	0.000000
CBARP	9.823569	7.327731	0.000000	0.000000
GRIN3B	9.609299	7.134456	0.000000	0.000000
STX5	9.582712	7.110475	0.000000	0.000000
WDR90	9.415505	6.959652	0.000000	0.000000
AJM1	9.378593	6.926357	0.000000	0.000000
CCNB1IP1	9.356344	6.906288	0.000000	0.000000
RPS9	9.328184	6.880888	0.000000	0.000000
PLEKHN1	9.059434	6.638471	0.000000	0.000000
ARHGDIA	9.052680	6.632379	0.000000	0.000000
GAMT	8.964682	6.553004	0.000000	0.000000
SCNM1	8.963633	6.552058	0.000000	0.000000
ATP5F1D	8.920322	6.512991	0.000000	0.000000
LRRC45	8.909967	6.503651	0.000000	0.000000
MRPS34	8.904314	6.498551	0.000000	0.000000
ISG15	8.822172	6.424458	0.000000	0.000000
SLC34A3	8.820649	6.423084	0.000000	0.000000
FAM69B	8.778927	6.385451	0.000000	0.000000
HID1	8.759540	6.367963	0.000000	0.000000
PPP1R14A	8.728902	6.340328	0.000000	0.000000
RHBDL1	8.663392	6.281237	0.000000	0.000001
EME2	8.635386	6.255975	0.000000	0.000001
LIN37	8.623184	6.244968	0.000000	0.000001
POLG2	8.566532	6.193867	0.000000	0.000001
TNFAIP8L2	8.538854	6.168901	0.000000	0.000001
KLF16	8.533591	6.164154	0.000000	0.000001
CYSRT1	8.395988	6.040034	0.000000	0.000002
BORCS6	8.196450	5.860049	0.000000	0.000006
RNF224	8.184487	5.849258	0.000000	0.000007
SNAPC2	8.164066	5.830838	0.000000	0.000007
THOC6	8.108936	5.781110	0.000000	0.000010
TEX54	8.092298	5.766103	0.000000	0.000010
SHMT2	8.088276	5.762475	0.000000	0.000010
NBPF1	8.049578	5.727569	0.000000	0.000012
CCDC116	7.989293	5.673190	0.000000	0.000016
CASKIN1	7.953035	5.640486	0.000000	0.000019
RHOF	7.944008	5.632343	0.000000	0.000020
INHBE	7.942132	5.630651	0.000000	0.000020
HCFC1R1	7.893540	5.586821	0.000000	0.000025
JMJD8	7.836284	5.535175	0.000000	0.000032
MRPL10	7.828077	5.527772	0.000000	0.000033
PTOV1	7.821902	5.522202	0.000000	0.000033
PRRG2	7.786502	5.490270	0.000000	0.000039
SPOCK2	7.760424	5.466748	0.000000	0.000044
SLC9A5	7.734162	5.443060	0.000000	0.000049
DPF1	7.722713	5.432732	0.000000	0.000051
PGP	7.691437	5.404521	0.000000	0.000058
LMOD1	7.680338	5.394510	0.000000	0.000061
RHOT2	7.623468	5.343212	0.000000	0.000078
